cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,fort Nécessité,Nécessité,fort de la Nécessité,,,,,,,
1,Manongahela,Manonghahela,Manongahéla,Manongohela,Manangahela,,,,,
2,Ouais,Français,Mauvaise,Françaises,Laisse,Anglais,J'avais,sais,Albion,
3,Renard-Bleu,Le Renard-Bleu,Renard-,,,,,,,
4,atepelt,Créateur,Ponce-Pilate,Caudebec,,,,,,
5,Le Proscrit,Proscrit,,,,,,,,
6,Regardez,Niagara,Dormez,N',regardez,Accordez,Beauregard,,,
7,Curieux,Seigneurie,Furieuse,Chérie,,,,,,
8,fier,Singuliers,cap Rosier,Vierge,,,,,,
9,Océan,Séance,Och,créances,Blancs,J',,,,
10,Pardon,Pardonnez,Sonne,Palamède,Abandonnez,Pardonne,,,,
11,sachet,Marches,Lâches,huche,Riche,blottis,Séchez,Bouche,Cher,
12,Arrivés,Arrivées,,,,,,,,
13,Risque-Tout,Emparez,Partout,Poitou,Particularité,,,,,
14,l'Aigle-Volant,l'Aigle,Aigle-Volant,Aigle-,L'Aigle-Volant,Maigre,L'Aigle,,,
15,Placée,lac Érié,Eh,Lovelace,,,,,,
16,taillis,Téocalis,Caen,Or,English,,,,,
17,Gascon,Consentez,Contrecœur,Votre,contentez,Wacondah,,,,
18,Bien-Aimé,croyez-le bien,toldos,Bientôt,,,,,,
19,M. de Grigny,Est,Grigny,Carignan,baron de Grigny,nuancés de gris,,,,
20,Duquesne,briquet,Karnac celtique,Chichimèques,océan Atlantique,Quels,Mexique,golfe du Mexique,,
21,Totem,Alleghanys,Alleghany,Eux,alluma,monts Alleghanys,Opossum,,,
22,Comptez,Notez,hâtez,Acceptez,remettez-le-moi,Restez,,,,
23,Nick,J'ai tué un chien !,Québec,Tiens,miens,Penserez,,,,
24,de Versailles,égorgille,Versailles,Bas,jura,Castille,Jumonville,Menneville,,
25,Ajoutez,ajoutez,Anjou,Écoutez,,,,,,
26,Nouvelle-France,Nouvelle-Hollande,Holà,Nouvelle-Orléans,,,,,,
27,Peaux-Rouges,Le Peau,Peau-Rouge,Rameau-d'Or,Bordeaux,Eau-Jaune,,,,
28,Mlle,mollet,Nulle,Tulle,Allez,,,,,
29,Grognon,Déjeunons,Revenons,mons,,,,,,
30,Visages-Pâles,Les,Sans-Piste,Pélage,,,,,,
31,Kayélon,Coulon,Londres,hidalgo,,,,,,
32,haussa,la Couleuvre,Couleuvre,La Couleuvre,,,,,,
33,Attends,Attention,II,,,,,,,
34,mornes,Ferney,,,,,,,,
35,Sicile,Ravageuse,Gueusard,Ward,Te,,,,,
36,Où,Dominé,,,,,,,,
37,Répondez,Rendez,Précédez,Prends,,,,,,
38,Kouha,Tels,,,,,,,,
39,Laquelle,Telles,selle,mademoiselle,,,,,,
40,Es-tu fou,Vois-tu,Puisses-tu dire,Crois-tu,,,,,,
41,brandir,Grand,Grand-Esprit,Ami,,,,,,
42,foins,Algonquins,,,,,,,,
43,bourrelé,Pittsbourg,courre,Pour,Encouragés,Ours-Gris,,,,
44,de France,roi de France,France,la France,,,,,,
