cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,Œil-de-Bœuf,Œil-de-bœuf,Corne-bœuf !,,,,,,,,,,,,,,
1,Le Proscrit,Proscrit,,,,,,,,,,,,,,,
2,huche,Cher,Och,sachet,Hermine,Chichimèques,Embroché,Séchez,Riche,Lâches,Bouche,hein,Marches,,,,
3,Vire,Votre,scapulaire,Virginie,VI,,,,,,,,,,,,
4,baie des Marmousets,Marigots,anse des Marigots,Camarades,Anse-aux-Marigots,pyramides de Cholula,,,,,,,,,,,
5,Fatalement,Parfaitement,Vraiment,Jérusalem,Cordialement,,,,,,,,,,,,
6,Versailles,Les,taillis,Castille,de Versailles,Visages-Pâles,,,,,,,,,,,
7,Prends,Rendez,Londres,regardez,Apprenez,Regardez,Penserez,Répondez,Précédez,Reviendrez,,,,,,,
8,Couleuvre,La Couleuvre,la Couleuvre,Coulon,la feuillée,,,,,,,,,,,,
9,Çà,Eh,,,,,,,,,,,,,,,
10,Le Saint-Laurent,Saint-Laurent,fleuve Saint-Laurent,,,,,,,,,,,,,,
11,Ward,II,Pardonne,Pardon,Abandonnez,d'Espagne,Pardonnez,Sonne,,,,,,,,,
12,atepelt,Sans-Piste,Tes,Terre Sainte,Tels,Te,terre,Notez,Ponce-Pilate,Totem,remettez-le-moi,Créateur,hâtez,Acceptez,Angleterre,Restez,Attends
13,bois-brûlé,Bois-Brûlé,Le bois-brûlé,brave Bois-Brûlé,Bois-Brûlés,,,,,,,,,,,,
14,Quels,Amérique,Cincinnatus américain,Karnac celtique,lac Érié,Mexique,Américains,méritez,l'Amérique,Québec,wampums,briquet,Risque-Tout,,,,
15,Formé,New-York,mornes,Dormez,Or,Cordieu,Nord,égorgille,,,,,,,,,
16,Vienne,Menneville,Guyenne,,,,,,,,,,,,,,
17,Françaises,la France,de France,France,roi de France,créances,Blancs,Français,Séance,Nouvelle-France,,,,,,,
18,Venise,English,Téocalis,Anglais,Washington,,,,,,,,,,,,
19,fort Duquesne,Duquesne,fort Rupert,,,,,,,,,,,,,,
20,Attention,contentez,Maintenant,Interrogez,Consentez,Comptez,,,,,,,,,,,
21,Soudain,Douterais,Doué,jurerais,Douterais-tu,Ouais,bivouaquerai,,,,,,,,,,
22,Asie,Ferney,Vierge,Merci,merisier,fier,Singuliers,cap Rosier,Berger,,,,,,,,
23,Léona,Déjeunons,Notons,mons,Bonsoir,Partons,Albion,Revenons,Jumonville,Algonquins,Remonterons,foins,Montréal,Kayélon,,,
24,Renard-,Renard-Bleu,Gueusard,Le Renard-Bleu,,,,,,,,,,,,,
25,Essayez,Voyez,Fuyez,croyez-le bien,Soyez,,,,,,,,,,,,
26,Kouha-Handé,Kouha,haussa,Ahan,,,,,,,,,,,,,
27,tu*.,Puisses-tu dire,Crois-tu,États-Unis,Vois-tu,Sçavoir,Vêtu,Voilà,Es-tu fou,,,,,,,,
28,cap du Chat,l'Amérique du Nord,Amérique du Nord,du Nord,golfe du Mexique,,,,,,,,,,,,
29,Nick,pic,Pilma,,,,,,,,,,,,,,
30,lune,Luy,Aucune,Plutôt,,,,,,,,,,,,,
31,miens,Bien-Aimé,Ami,Dominé,Bientôt,Tiens,,,,,,,,,,,
32,fort de la Nécessité,fort Nécessité,Petit-Fort,Nécessité,,,,,,,,,,,,,
33,Nulle,Mlle,Telles,Nouvelle-Orléans,selle,mademoiselle,Tulle,Nouvelle-Hollande,mollet,Laquelle,,,,,,,
34,Créole,soleil,Sicile,Le soleil,regardez le soleil,,,,,,,,,,,,
35,Jean-Pol,Opossum,Posant,Devant,toldos,,,,,,,,,,,,
36,Sommes,Holà,Est,Comment,Hommes,Commercy,,,,,,,,,,,
37,Seigneurie,Furieuse,Curieux,Eux,Chérie,,,,,,,,,,,,
38,Caen,cascabel,Canadienne,Carignan,Canadien,Canadiens,Canada,,,,,,,,,,
39,Va,faix,Mauvaise,J'avais,sais,J',J'ai tué un chien !,,,,,,,,,,
40,Gascon,Manongahela,Manongohela,Manonghahela,Manongahéla,Manangahela,,,,,,,,,,,
41,Yankées,Arrivées,IV,bowie-knives,Arrivés,,,,,,,,,,,,
42,Où,la Belle-Rivière,Rivière,Belle-Rivière,Belle Rivière,,,,,,,,,,,,
43,Faut,rivière de Montmorency,Saut de Montmorency,cap des Monts-Pelés,,,,,,,,,,,,,
44,Bisons-Hurons,baie d'Hudson,Grognon,Loups-Hurons,Huron,Fumerons,Hurons,,,,,,,,,,
45,bah,Wacondah,Eoah,Bas,,,,,,,,,,,,,
46,I,Pas,Particularité,Emparez,Ours-Gris,Paris,Partout,Parisien,Royal-Marine,,,,,,,,
47,Soit,Sois,Poitou,,,,,,,,,,,,,,
48,Placée,île Anticosti,Océan,océan Atlantique,,,,,,,,,,,,,
49,Eau-Jaune,Peaux-Rouges,Peau-Rouge,Rameau-d'Or,,,,,,,,,,,,,
50,L'Ohio,Ohio,hidalgo,vallée de l'Ohio,vallée de l',chaumière de l'Ohio,,,,,,,,,,,
51,Pittsbourg,Encouragés,courre,bourrelé,Pour,Contrecœur,,,,,,,,,,,
52,château de,Châteaux-Blancs,Caudebec,Le Peau,Bordeaux,château de Beauregard,Beauregard,au Havre,,,,,,,,,
53,l'Aigle-Volant,L'Aigle,l'Aigle,Aigle-Volant,L'Aigle-Volant,Aigle-,,,,,,,,,,,
54,Indien Belaware,Indiens,Les Indiens,toldos indiens,Dinwidie,L'Indien,brelandier,L'Indien sourit,Dieppe,Indien,,,,,,,
55,Grigny,baron de Grigny,Maigre,nuancés de gris,M. de Grigny,ligne de Tisona,,,,,,,,,,,
56,Allez,alluma,monts Alleghanys,Alleghanys,Alleghany,,,,,,,,,,,,
57,Relevez,Savez,Venez,Avez,Observez,,,,,,,,,,,,
58,parc de la comtesse,Palamède,Maleval,seuil de la maisonnette,J'ai tenu ma promesse,châtelaine de Maleval,comtesse de Maleval,,,,,,,,,,
59,Accordez,Occident,Accidenté,,,,,,,,,,,,,,
60,ajoutez,Anjou,Joignez,Écoutez,Ajoutez,,,,,,,,,,,,
61,Niagara,Pélage,Bravo,Ravageuse,,,,,,,,,,,,,
62,Européens,Peuh,l'Europe,Europe,,,,,,,,,,,,,
63,brandir,jura,Grand-Esprit,Armand,Grand,,,,,,,,,,,,
64,Providence,Lovelace,N',Providence veillât,,,,,,,,,,,,,
65,Assis,Louisiane,blottis,Mississipiens,Laisse,whiskey,mawkawis,Mississipi,,,,,,,,,
