cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,Laisse,Puisses-tu dire,Anglais,,,,,
1.0,Acceptez,Comptez,,,,,,
2.0,fier,Singuliers,cap Rosier,,,,,
3.0,Ferney,mornes,,,,,,
4.0,Le Saint-Laurent,fleuve Saint-Laurent,Saint-Laurent,,,,,
5.0,Téocalis,taillis,English,,,,,
6.0,Tulle,Nulle,mollet,Mlle,,,,
7.0,l'Amérique du Nord,Amérique du Nord,l'Amérique,du Nord,Amérique,Nord,briquet,
8.0,Sommes,Hommes,,,,,,
9.0,Formé,Petit-Fort,Dormez,,,,,
10.0,Guyenne,Vienne,Reviendrez,,,,,
11.0,Cincinnatus américain,méritez,Soudain,Américains,,,,
12.0,Déjeunons,mons,Revenons,Grognon,,,,
13.0,créances,Séance,Créateur,Créole,,,,
14.0,Regardez,regardez,Niagara,Accordez,Beauregard,,,
15.0,Restez,Est,,,,,,
16.0,Françaises,Français,,,,,,
17.0,Versailles,de Versailles,,,,,,
18.0,Le bois-brûlé,bois-brûlé,brave Bois-Brûlé,Bois-Brûlés,Bois-Brûlé,,,
19.0,golfe du Mexique,Mexique,cap du Chat,,,,,
20.0,haussa,Essayez,,,,,,
21.0,Pardonnez,Sonne,Abandonnez,Pardon,Pardonne,,,
22.0,Risque-Tout,Quels,Laquelle,Tels,,,,
23.0,Nouvelle-Hollande,Nouvelle-Orléans,Nouvelle-France,,,,,
24.0,Lovelace,Placée,lac Érié,,,,,
25.0,Le Proscrit,Proscrit,,,,,,
26.0,Ponce-Pilate,atepelt,Pilma,,,,,
27.0,Canadiens,Canada,Canadien,Canadienne,,,,
28.0,Le soleil,regardez le soleil,soleil,,,,,
29.0,Peau-Rouge,Le Peau,Rameau-d'Or,Peaux-Rouges,,,,
30.0,Asie,Louisiane,Parisien,merisier,Paris,,,
31.0,Indien Belaware,Indien,Indiens,L'Indien sourit,brelandier,L'Indien,,
32.0,rivière de Montmorency,Saut de Montmorency,Faut,,,,,
33.0,Bisons-Hurons,Loups-Hurons,Remonterons,Hurons,Fumerons,Huron,,
34.0,Arrivées,Yankées,Arrivés,,,,,
35.0,Tiens,miens,Penserez,,,,,
36.0,toldos,toldos indiens,Les Indiens,,,,,
37.0,la Couleuvre,au Havre,La Couleuvre,Couleuvre,,,,
38.0,Hermine,Dominé,,,,,,
39.0,Dieppe,Cordieu,Dinwidie,,,,,
40.0,Providence,Providence veillât,,,,,,
41.0,pyramides de Cholula,Ami,Holà,,,,,
42.0,la France,de France,roi de France,France,,,,
43.0,Seigneurie,Eux,Curieux,Furieuse,,,,
44.0,Venise,États-Unis,,,,,,
45.0,Grand-Esprit,Armand,Grand,brandir,,,,
46.0,Merci,Commercy,Comment,,,,,
47.0,Québec,,,,,,,
48.0,Castille,Jumonville,Menneville,égorgille,,,,
49.0,seuil de la maisonnette,Léona,d'Espagne,ligne de Tisona,Joignez,blottis,,
50.0,Doué,bivouaquerai,Douterais,Douterais-tu,jurerais,,,
51.0,Royal-Marine,anse des Marigots,Marigots,Anse-aux-Marigots,,,,
52.0,Crois-tu,Es-tu fou,Vois-tu,,,,,
53.0,mademoiselle,Telles,selle,,,,,
54.0,Totem,remettez-le-moi,Notez,,,,,
55.0,Vierge,Berger,,,,,,
56.0,Le Renard-Bleu,Renard-Bleu,Renard-,,,,,
57.0,Bientôt,Bien-Aimé,Plutôt,,,,,
58.0,Écoutez,ajoutez,Anjou,Ajoutez,,,,
59.0,Coulon,Londres,Kayélon,,,,,
60.0,Karnac celtique,Océan,île Anticosti,océan Atlantique,,,,
61.0,hidalgo,Algonquins,foins,,,,,
62.0,château de,hâtez,Châteaux-Blancs,Blancs,Bordeaux,château de Beauregard,,
63.0,jura,courre,Encouragés,,,,,
64.0,huche,Cher,Marches,sachet,Lâches,Riche,Séchez,Bouche
65.0,Ahan,Kouha-Handé,Kouha,,,,,
66.0,Voyez,Fuyez,croyez-le bien,Soyez,,,,
67.0,Sois,Poitou,Bonsoir,Soit,,,,
68.0,Carignan,nuancés de gris,baron de Grigny,Grigny,M. de Grigny,,,
69.0,Attention,Albion,Attends,,,,,
70.0,Occident,Accidenté,,,,,,
71.0,scapulaire,Vire,Virginie,,,,,
72.0,Maintenant,Consentez,contentez,,,,,
73.0,Pour,Ours-Gris,Pittsbourg,bourrelé,,,,
74.0,Votre,Montréal,Contrecœur,,,,,
75.0,Europe,Européens,l'Europe,,,,,
76.0,Prends,Venez,Apprenez,,,,,
77.0,Devant,Opossum,Sans-Piste,Posant,,,,
78.0,Ravageuse,Ward,Gueusard,,,,,
79.0,Aucune,Eau-Jaune,lune,,,,,
80.0,Bravo,Voilà,Sçavoir,,,,,
81.0,Ouais,sais,J'avais,Mauvaise,,,,
82.0,Chichimèques,fort Duquesne,Duquesne,,,,,
83.0,Camarades,cap des Monts-Pelés,baie d'Hudson,baie des Marmousets,,,,
84.0,cascabel,Gascon,Wacondah,,,,,
85.0,Corne-bœuf !,Œil-de-Bœuf,Œil-de-bœuf,,,,,
86.0,Rivière,Belle Rivière,Belle-Rivière,la Belle-Rivière,,,,
87.0,Caudebec,,,,,,,
88.0,Manongahéla,Manonghahela,Manongohela,Manangahela,Manongahela,,,
89.0,Jérusalem,Parfaitement,Cordialement,Fatalement,Vraiment,,,
90.0,Nécessité,fort Nécessité,fort Rupert,fort de la Nécessité,,,,
91.0,Tes,Maleval,châtelaine de Maleval,parc de la comtesse,comtesse de Maleval,,,
92.0,Washington,Emparez,Particularité,Notons,Partons,Partout,,
93.0,Avez,Observez,Relevez,faix,Savez,,,
94.0,J'ai tenu ma promesse,J'ai tué un chien !,,,,,,
95.0,Précédez,Rendez,Répondez,,,,,
96.0,Terre Sainte,Angleterre,Interrogez,terre,,,,
97.0,l'Aigle-Volant,l'Aigle,Aigle-Volant,L'Aigle,Aigle-,Maigre,L'Aigle-Volant,
98.0,Pélage,Les,Visages-Pâles,,,,,
99.0,Allez,monts Alleghanys,Alleghany,Alleghanys,alluma,,,
100.0,vallée de l',chaumière de l'Ohio,la feuillée,L'Ohio,Ohio,vallée de l'Ohio,,
101.0,Och,Chérie,Embroché,,,,,
102.0,Assis,Mississipiens,Mississipi,,,,,
