cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96
-1,Léona,Luy,haussa,atepelt,Créateur,Risque-Tout,Emparez,Asie,au Havre,Essayez,fier,Pilma,bivouaquerai,Jérusalem,Sicile,Niagara,taillis,Peuh,brelandier,Singuliers,Maintenant,Soudain,Téocalis,d'Espagne,Karnac celtique,la feuillée,croyez-le bien,Armand,Grognon,Le Peau,Doué,égorgille,Chichimèques,merisier,Où,Ponce-Pilate,Hermine,whiskey,Guyenne,N',Riche,méritez,Ferney,cap des Monts-Pelés,Dominé,hâtez,Tels,Particularité,I,Bonsoir,alluma,Palamède,Holà,Anjou,hein,cap du Chat,Votre,II,Bravo,cap Rosier,Faut,Relevez,États-Unis,toldos,Sans-Piste,pyramides de Cholula,Bordeaux,Venise,blottis,wampums,Maigre,Précédez,remettez-le-moi,Washington,Jean-Pol,ligne de Tisona,île Anticosti,faix,Créole,J',Accordez,Camarades,Castille,Çà,Pélage,Vraiment,Chérie,mawkawis,Eh,Vienne,Royal-Marine,Lovelace,Albion,Louisiane,Ami,English,Plutôt
0,fort Nécessité,Nécessité,fort de la Nécessité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Petit-Fort,fort Rupert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Duquesne,fort Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Maleval,comtesse de Maleval,parc de la comtesse,châtelaine de Maleval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pardon,Pardonnez,Sonne,seuil de la maisonnette,Abandonnez,Pardonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gueusard,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,M. de Grigny,Grigny,Carignan,baron de Grigny,nuancés de gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,baie des Marmousets,baie d'Hudson,Anse-aux-Marigots,anse des Marigots,Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,vallée de l',chaumière de l'Ohio,vallée de l'Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
