cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,MION V1ELLE,MO N V1ELLE,falluMION,IIlMON V1ELLE,M0 V1ELLE,,,,,,,,,,,
1,Nom-de-Non,blame,.l,L’,D,Lasl,"renom.-
Lasl",Non-de-Non,MN,Savoyard,Yer-,noml,,,,
2,Epelie,le’,italie,Ca,,,,,,,,,,,,
3,MIais,S0UIIAITS,Palais-Royal,etais,Iais,Mlais,,,,,,,,,,
4,bras-le-corps,Pas-lh,Avez,As-,buis-l,emplis-le,,,,,,,,,,
5,Norine,rIIImne,L-1,brin,"Norinel
Pauvre",Norinc,fieux,,,,,,,,,
6,maric,Lamariee,"I
E¬",Riez,Feuil-,C0te,ieea,l.,"rie sel
 AH",,,,,,,
7,Veeree3,gencral,Agreez,OY,a Agreez,decoree,afrique,Nſei,lettree,ler,,,,,,
8,Voilh,rs,ne2,bu-,.as¬,,,,,,,,,,,
9,J3,le¬,rip’2,ſ’,,,,,,,,,,,,
10,Es,i17,L2,sans.0N,Ai,¬2¬,EH,,,,,,,,,
11,Voee,A1,"compagnes,-",Ie,A¬,t13,,,,,,,,,,
12,"chose.140
 ON N1ELLE",M1ON N1ELLE,Ee,t-on Dit-cel,dragon,ON N1ELLE,L L,JEſ,Et¬,,,,,,,
13,paRfois,Crois-tu,"Ll MiOISS0N
Est l6s",Par,Brlee,,,,,,,,,,,
14,Cran,Ceran,teursl,derange,T'arreteras-tu,,,,,,,,,,,
15,"Saint-
Brunelle",Brunelle,Sainl-Brunclle,Saint-Brunelle,"Tout
Saint-Brunelle",ees ds ail,Saint-,,,,,,,,,
16,QUE¬,ordonnee,Bonnets,colonne Vend0me,charbon.t6,Bonsoir,,,,,,,,,,
17,Alerte,salete,blme,ntete,"s2
 A",ON,.je,lEtat,A,tete,male,,,,,
18,Q,S-e ’e3,S-e ’,I,Faut,S-e,,,,,,,,,,
19,Les bles,Garde-les,furolles,,,,,,,,,,,,,
20,t6t  la danse,lille,reille,,,,,,,,,,,,,
21,Bassette,cctte ceremonie,Basset,J',Frotte,,,,,,,,,,,
22,Sylvain,Adonc,fontaine Sainte-Radegonde,lir,Poulains,,,,,,,,,,,
23,m-,S2*.,Le soleil,Artaban,S S.,ILe metier,Ee  sle,mele,A32,Mole,,,,,,
24,¬5,¬1,N¬,i’,M',,,,,,,,,,,
25,precher,empeche,prechez,J-,empecher,,,,,,,,,,,
26,Sre eeſespriT’i,S’,"aae
- 
rss  ee e e ee eſ Je",sSt  ee,oUi-ſr,"a5 i
¬
ea ee ee  e ’ n e epr",chutc,rss  ee e e ee eſ,S’ree e,eE  e i e ee i le re ee g,Fee e,E’,- Quoil,,,
27,L  eomſ¬,De L,chambre de,S e de l e,MI0N,te’,bine de Therese,,,,,,,,,
28,dessusAotyde-,Desirde,forcdes,,,,,,,,,,,,,
29,eSe e e e e,Epelie ro e ele eles,leie e e eie e,E e eeree,leee e e l ep e e lee e e deoe,"de3
 &ee e  reaeoueiſelleſe
e ?",Fee e   da  ei ſiciſ,ee e ere e e doe e eſe,ile idle e eo,el  e e eni e l e istere ae u eterie,jeſe gi e,nat  e e er i oers  d e ie e e ee   e leisi,pe ole e e  deiee,"S
ee e eie",Ae e l ie eeelt e eie,E e’e’
30,MAi-,picd,Je-E,e,S-,,,,,,,,,,,
31,parigole,Parisien,Tiens,Parisiens,Paris,"Va’,e",13I,,,,,,,,,
32,aA,Assure,Assis,queussi-qucumi,T1I,Cassiopeel,,,,,,,,,,
33,"Hz
 S
eee iii ise",Seeei,S-Seet,Eeil,Eeeeile,,,,,,,,,,,
34,franciers,la France,Fran-,Francei Tiens,Fance,aVance,France,,,,,,,,,
35,Comprenez,Venez,Devinez,,,,,,,,,,,,,
36,"SiRe
 i - et i",Desiree,¬¬,1(3,lutaire,SIRe,Dsirce,SIre,,,,,,,,
37,S',Paques,B,,,,,,,,,,,,,
38,Wrail,Jean-Claude,Jeanneton,Jeac-,Lãd,Jeacquet,ES,,,,,,,,,
39,Manot,mangcs,Maman,,,,,,,,,,,,,
40,du Nord,Ignore,Nord,P,Peie,jE T-e,,,,,,,,,,
41,alle,Allezl,Allez,- Qu',,,,,,,,,,,,
42,S,m48,,,,,,,,,,,,,,
43,Toinon,"T.S
 i a sos 
toi",toi,,,,,,,,,,,,,
44,Morlin-,Arrive h Morlincourt,Mlorlincourt,Morlincoutt,Morlincourt,e’,Figurez,Or,Morlincourt tot,,,,,,,
45,c0,S’-,MO,,,,,,,,,,,,,
46,Rose rcntre,Auberge,Roseet,Rosel,je’,Rose,,,,,,,,,,
47,Tache,Cachez,montagne blanche,,,,,,,,,,,,,
48,ger,ricn,,,,,,,,,,,,,,
49,N,s2,chanvrieres,Chanvriers,carrieres,Carriere-Fondue,,,,,,,,,,
50,Mlarie,Eſss,e.-¬ſ,rer,Clarisse,Mlaria,tE,,,,,,,,,
51,Voyez,Tournez,AuJourd',tournee,fourne,Tous-,,,,,,,,,,
52,Decnis,BEY,AVez,mre h,Notre medecin,Wotre,"e.
L",,,,,,,,,
53,MI,Mlorlin-,M01 ON,lc,Mlor-,Mlon,,,,,,,,,,
