cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,Ee,Eeeeile,"Hz
 S
eee iii ise",Seeei,Brlee,Veeree3,Voee,Eeil,Ee  sle,Cassiopeel,S-Seet,decoree,sSt  ee,,,,,,,,,,
1,C0te,c0,mitan-c0t,i17,,,,,,,,,,,,,,,,,,,
2,L’,Eſss,Assis,Basset,Bassette,Assure,,,,,,,,,,,,,,,,,
3,¬ ¬1,J-,A1,¬1,,,,,,,,,,,,,,,,,,,
4,Bonnets,Jeanneton,ordonnee,colonne Vend0me,,,,,,,,,,,,,,,,,,,
5,Norine,¬5,brin,Devinez,ne2,Norinc,"Norinel
Pauvre",,,,,,,,,,,,,,,,
6,Mlorlin-,Morlin-,Mlor-,,,,,,,,,,,,,,,,,,,,
7,T1I,t13,13I,,,,,,,,,,,,,,,,,,,,
8,AVez,lc,Avez,,,,,,,,,,,,,,,,,,,,
9,Carriere-Fondue,carrieres,-F,,,,,,,,,,,,,,,,,,,,
10,MI0N,sans.0N,MI,,,,,,,,,,,,,,,,,,,,
11,mele,ELLe,furolles,ſelLe,ellE,reille,elLE,ELlE,"¬
 ELle","Il’hEuRe’́ elLE S

2",lille,el,,,,,,,,,,,
12,N,te’,e’,je’,-:¬,E’,E e’e’,le’,i’,,,,,,,,,,,,,,
13,Nom-de-Non,noml,m-,Non-de-Non,J3,,,,,,,,,,,,,,,,,,
14,Ai,Poulains,ees ds ail,MAi-,Wrail,Sylvain,,,,,,,,,,,,,,,,,
15,oUi-ſr,buis-l,emplis-le,Crois-tu,bu-,buis,,,,,,,,,,,,,,,,,
16,Vierge,ger,Auberge,,,,,,,,,,,,,,,,,,,,
17,toi,"T.S
 i a sos 
toi",Toinon,,,,,,,,,,,,,,,,,,,,
18,fourne,Tournez,tournee,AuJourd',S,Tous-,,,,,,,,,,,,,,,,,
19,Saint-Brunelle,Saint-,Sainl-Brunclle,fontaine Sainte-Radegonde,"Tout
Saint-Brunelle","Saint-
Brunelle",Brunelle,,,,,,,,,,,,,,,,
20,rIIImne,MN,"Va’,e",EH,,,,,,,,,,,,,,,,,,,
21,S',B,,,,,,,,,,,,,,,,,,,,,
22,gencral,Fance,Francei Tiens,la France,France,Ceran,Fran-,aVance,franciers,Cran,derange,,,,,,,,,,,,
23,mre h,mre Denis,Decnis,chambre de,,,,,,,,,,,,,,,,,,,
24,S0UIIAITS,MIais,etais,Iais,Palais-Royal,M',Mlais,,,,,,,,,,,,,,,,
25,Chanvriers,chanvrieres,,,,,,,,,,,,,,,,,,,,,
26,P,Artaban,Armandine,Vermand,Arman-,Dizy,,,,,,,,,,,,,,,,,
27,A,Allezl,Allez,male,alle,,,,,,,,,,,,,,,,,,
28,lEtat,"I
E¬",le¬,Le¬,,,,,,,,,,,,,,,,,,,
29,Or,Nord,Ignore,du Nord,,,,,,,,,,,,,,,,,,,
30,L-1,Feuil-,,,,,,,,,,,,,,,,,,,,,
31,JEſ,JE,.je,jE T-e,Je-E,Jean-Claude,Jeac-,,,,,,,,,,,,,,,,
32,enie,beni,BEY,Berenice,,,,,,,,,,,,,,,,,,,
33,Entendez,lReviendront,endever,enterrement198,rreendet,,,,,,,,,,,,,,,,,,
34,Vieux,fieux,,,,,,,,,,,,,,,,,,,,,
35,Jeacquet,QUE¬,Paques,afrique,queussi-qucumi,,,,,,,,,,,,,,,,,,
36,Wotre,lettree,Notre medecin,,,,,,,,,,,,,,,,,,,,
37,Dsirce,lutaire,Affaires,Desirde,SIre,Desiree,SIRe,lir,"SiRe
 i - et i",,,,,,,,,,,,,,
38,D,MION VI1LAGE,MO N V1ELLE,io,MION V1ELLE,M0 V1ELLE,falluMION,IIlMON V1ELLE,,,,,,,,,,,,,,,
39,Savoyard,N¬,Voyez,OY,J',,,,,,,,,,,,,,,,,,
40,Voilh,- Quoil,- Qu',E,,,,,,,,,,,,,,,,,,,
