cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,alle,lille,male,Palais-Royal,N1LLAGlE.,aA,Allezl,Allez,furolles,falluMION,Alerte,,,,,,,,,,,,,,,,
1,buis-l,bu-,Crois-tu,buis,emplis-le,,,,,,,,,,,,,,,,,,,,,,
2,Es,EH,¬2¬,Garde-les,levres,Est,forcdes,"compagnes,-",Pres,Les bles,ES,dessusAotyde-,,,,,,,,,,,,,,,
3,charbon.t6,ON,"placel -
Courons",M01 ON,Mlon,Adonc,dragon,Bonnets,Bonsoir,Jeanneton,Toinon,L’,,,,,,,,,,,,,,,
4,Tache,¬¬,accouchce,Cachez,montagne blanche,chutc,.l,,,,,,,,,,,,,,,,,,,,
5,Auberge,ger,i17,ler,Yer-,verildc,derange,Vierge,,,,,,,,,,,,,,,,,,,
6,pau,Faut,pauvIe,,,,,,,,,,,,,,,,,,,,,,,,
7,Affaires,SIre,"SiRe
 i - et i",lir,Desirde,SIRe,lutaire,Wotre,Dsirce,Desiree,,,,,,,,,,,,,,,,,
8,Saint-Brunelle,B,"Saint-
Brunelle",Saint-,fontaine Sainte-Radegonde,Sainl-Brunclle,"Tout
Saint-Brunelle",Brunelle,m48,,,,,,,,,,,,,,,,,,
9,S0UIIAITS,Iais,Ai,MAi-,MIais,Sylvain,Poulains,Mlais,etais,Wrail,,,,,,,,,,,,,,,,,
10,IIlMON V1ELLE,ON N1ELLE,t-on Dit-cel,MO N V1ELLE,M1ON N1ELLE,"chose.140
 ON N1ELLE",MION V1ELLE,,,,,,,,,,,,,,,,,,,,
11,fele.as----.a-,I------------,----cI,pays.r---,g-----,s--,lc,,,,,,,,,,,,,,,,,,,,
12,enie,1(3,beni,BEY,Berenice,,,,,,,,,,,,,,,,,,,,,,
13,"Norinel
Pauvre",Norine,brin,Norinc,ne2,Devinez,,,,,,,,,,,,,,,,,,,,,
14,cctte ceremonie,Carriere-Fondue,-F,A¬,carrieres,,,,,,,,,,,,,,,,,,,,,,
