cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156
-1,Sre eeſespriT’i,Jean-Claude,aA,dessusAotyde-,PETIT1ON,Decnis,pre Roux,Epelie,N,bras-le-corps,Veeree3,-F,maric,MI,m-,"SiRe
 i - et i",J3,Q,Lamariee,Eſss,¬5,S0UIIAITS,i17,franciers,blame,le’,L2,sSt  ee,falluMION,"I
E¬",rIIImne,Riez,.l,A1,piece,L’,S',Epelie ro e ele eles,L  eomſ¬,Fran-,"Hz
 S
eee iii ise",De L,oUi-ſr,leie e e eie e,E e eeree,Le soleil,N¬,Artaban,S,¬¬,t-on Dit-cel,S e de l e,N1LLAGlE.,i’,cctte ceremonie,Tiens,forcdes,"de3
 &ee e  reaeoueiſelleſe
e ?",C0te,M',Crois-tu,D,Ignore,dragon,ile idle e eo,fontaine Sainte-Radegonde,colonne Vend0me,1(3,MI0N,-:¬,picd,el  e e eni e l e istere ae u eterie,S S.,E,ILe metier,charbon.t6,c0,J',Garde-les,ees ds ail,Ie,"Ll MiOISS0N
Est l6s",teursl,eE  e i e ee i le re ee g,italie,lir,Clarisse,B,"T.S
 i a sos 
toi",I,Dsirce,m48,¬2¬,Bonsoir,ne2,MN,te’,Devinez,Ee  sle,EH,jeſe gi e,decoree,"Il’hEuRe’́ elLE S

2",L L,ieea,P,je’,ricn,Lãd,l.,Sortez,"rie sel
 AH",JEſ,J-,lc,Frotte,Peie,jE T-e,Mlor-,A¬,S-e,A32,lReviendront,bine de Therese,Mlon,Mole,Je-E,Nſei,mitan-c0t,A,Yer-,T'arreteras-tu,Or,couseuses,"Va’,e",lettree,ſ’,Dizy,destination1,pe ole e e  deiee,Tous-,MO,Ouvrezl,.p,tE,Et¬,"S
ee e eie",Brlee,Ae e l ie eeelt e eie,e,io,.as¬,plaga,noml,per labia,s--,montagne blanche
0,MION V1ELLE,MO N V1ELLE,IIlMON V1ELLE,M0 V1ELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ellE,elLE,"¬
 ELle",ſelLe,ELLe,ELlE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Saint-
Brunelle",Brunelle,Sainl-Brunclle,Saint-Brunelle,"Tout
Saint-Brunelle",Saint-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"chose.140
 ON N1ELLE",M1ON N1ELLE,ON N1ELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,alle,Allezl,Allez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,eSe e e e e,leee e e l ep e e lee e e deoe,ee e ere e e doe e eſe,nat  e e er i oers  d e ie e e ee   e leisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"aae
- 
rss  ee e e ee eſ Je","a5 i
¬
ea ee ee  e ’ n e epr",rss  ee e e ee eſ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fee e   da  ei ſiciſ,S’ree e,Fee e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Voee,Ee,Seeei,Eeil,Eeeeile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
