cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72
-1,Sre eeſespriT’i,Jean-Claude,aA,dessusAotyde-,PETIT1ON,Decnis,pre Roux,Epelie,bras-le-corps,Veeree3,-F,MI,m-,"SiRe
 i - et i",Eſss,i17,franciers,falluMION,"I
E¬",L’,Epelie ro e ele eles,L  eomſ¬,Fran-,"Hz
 S
eee iii ise",De L,oUi-ſr,leie e e eie e,E e eeree,Artaban,Adonc,S e de l e,cctte ceremonie,Tiens,forcdes,"de3
 &ee e  reaeoueiſelleſe
e ?",dragon,ile idle e eo,fontaine Sainte-Radegonde,colonne Vend0me,el  e e eni e l e istere ae u eterie,S S.,ILe metier,Garde-les,ees ds ail,"Ll MiOISS0N
Est l6s",eE  e i e ee i le re ee g,italie,Clarisse,"T.S
 i a sos 
toi",Dsirce,jeſe gi e,decoree,"Il’hEuRe’́ elLE S

2",L L,"rie sel
 AH",JEſ,Peie,Mlor-,lReviendront,Mlon,Je-E,mitan-c0t,Yer-,pe ole e e  deiee,Ouvrezl,"S
ee e eie",Ae e l ie eeelt e eie,.as¬,plaga,noml,per labia,E e’e’,montagne blanche
0,N,J3,Q,¬5,L2,.l,A1,S',N¬,S,¬¬,i’,M',D,1(3,-:¬,E,J',B,I,m48,¬2¬,EH,P,Lãd,l.,J-,lc,A¬,A32,A,ſ’,.p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S2*.,s2,"s2
 A",S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,e.-¬ſ,"e.
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,¬1,¬ ¬1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Feuil-,L-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Voilh,- Qu',- Quoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Voyez,OY,Savoyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,t6t  la danse,sans.0N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,t-on Dit-cel,Dizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"placel -
Courons",accouchce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
