cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0.0,Les bles,furolles,Garde-les,,,,,,,,,,,,,,,,
1.0,Pas-lh,T'arreteras-tu,bras-le-corps,As-,,,,,,,,,,,,,,,
2.0,Roseet,Rose rcntre,Rosel,S-Seet,Rose,,,,,,,,,,,,,,
3.0,"chose.140
 ON N1ELLE",M01 ON,ON N1ELLE,t-on Dit-cel,M1ON N1ELLE,,,,,,,,,,,,,,
4.0,----cI,jE T-e,I------------,fele.as----.a-,g-----,pays.r---,,,,,,,,,,,,,
5.0,lEtat,etais,salete,lettree,,,,,,,,,,,,,,,
6.0,Clarisse,Mlaria,Mlarie,,,,,,,,,,,,,,,,
7.0,Norine,brin,Devinez,Norinc,"Norinel
Pauvre",,,,,,,,,,,,,,
8.0,S’ree e,Veeree3,Ee  sle,decoree,Fee e,,,,,,,,,,,,,,
9.0,Carriere-Fondue,carrieres,,,,,,,,,,,,,,,,,
10.0,levres,lutaire,Affaires,Pres,,,,,,,,,,,,,,,
11.0,Eeeeile,Seeei,Eeil,,,,,,,,,,,,,,,,
12.0,a Agreez,Agreez,,,,,,,,,,,,,,,,,
13.0,Basset,Bassette,Frotte,,,,,,,,,,,,,,,,
14.0,fourne,Tournez,tournee,AuJourd',,,,,,,,,,,,,,,
15.0,buis-l,emplis-le,buis,,,,,,,,,,,,,,,,
16.0,Vierge,Auberge,,,,,,,,,,,,,,,,,
17.0,toi,"T.S
 i a sos 
toi",Toinon,,,,,,,,,,,,,,,,
18.0,blmer,blme,,,,,,,,,,,,,,,,,
19.0,Saint-Brunelle,Saint-,Sainl-Brunclle,"Tout
Saint-Brunelle","Saint-
Brunelle",Brunelle,,,,,,,,,,,,,
20.0,"Hz
 S
eee iii ise",rIIImne,,,,,,,,,,,,,,,,,
21.0,Mlon,Mlorlin-,Mlor-,,,,,,,,,,,,,,,,
22.0,couseuses,accouchce,Tous-,,,,,,,,,,,,,,,,
23.0,"petiote 
Perpctue",Perpdtue,PETIT1ON,Perpctue,Perpetue,,,,,,,,,,,,,,
24.0,Fance,Francei Tiens,la France,France,Fran-,aVance,teursl,franciers,,,,,,,,,,,
25.0,Ceran,derange,cctte ceremonie,,,,,,,,,,,,,,,,
26.0,mre h,mre Denis,Decnis,chambre de,,,,,,,,,,,,,,,
27.0,S0UIIAITS,MIais,Iais,,,,,,,,,,,,,,,,
28.0,Chanvriers,chanvrieres,,,,,,,,,,,,,,,,,
29.0,ees ds ail,Wrail,,,,,,,,,,,,,,,,,
30.0,Armandine,Vermand,Arman-,,,,,,,,,,,,,,,,
31.0,Allezl,Allez,alle,,,,,,,,,,,,,,,,
32.0,S-e ’e3,S-e ’,ricn,S-e,,,,,,,,,,,,,,,
33.0,Est,"Ll MiOISS0N
Est l6s",sSt  ee,,,,,,,,,,,,,,,,
34.0,blame,Lamariee,"rie sel
 AH",maric,Riez,ieea,,,,,,,,,,,,,
35.0,enie,beni,Berenice,,,,,,,,,,,,,,,,
36.0,Entendez,endever,enterrement198,rreendet,,,,,,,,,,,,,,,
37.0,Vieux,lReviendront,fieux,,,,,,,,,,,,,,,,
38.0,QUE¬,Paques,afrique,queussi-qucumi,,,,,,,,,,,,,,,
39.0,Dsirce,SIre,Desiree,SIRe,"SiRe
 i - et i",,,,,,,,,,,,,,
40.0,MION VI1LAGE,MO N V1ELLE,MION V1ELLE,M0 V1ELLE,falluMION,IIlMON V1ELLE,,,,,,,,,,,,,
41.0,C0te,mitan-c0t,Jean-Claude,italie,,,,,,,,,,,,,,,
42.0,MI0N,MO N VILLAGE,MI0N VILLAGE,s--,"Rose
MON VILLAGE",MO vILLAGE,,,,,,,,,,,,,
43.0,Savoyard,Voyez,,,,,,,,,,,,,,,,,
44.0,JEſ,jeſe gi e,,,,,,,,,,,,,,,,,
45.0,Voilh,- Quoil,- Qu',,,,,,,,,,,,,,,,
46.0,MON ILLAGE,IO yILLAGE,vILLAGE,plaga,N1LLAGlE.,,,,,,,,,,,,,,
