cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,America,Limeriek,,,,,,
1.0,Caroline,Carolino Now-,declined1,Hamlin,Curoline,Carolino,,
2.0,Glare,Dearest,,,,,,
3.0,De Glance,Glanville,"fancy,-she",,,,,
4.0,Argyleshire,Yorkshire,,,,,,
5.0,rome,Romeo,,,,,,
6.0,Great Britain,Britain,Spain,,,,,
7.0,IRRITATION,M0MODERN IRRITATION,M0MODERN FLIRTATION0ON,,,,,
8.0,LowER,Towereliffo,,,,,,
9.0,Charles,,,,,,,
10.0,Agnes,Agnes.,el Agnes,,,,,
11.0,normandy,"ever,-and",Shetland,Highland,England,Ireland,Scotland,
12.0,Oxford,oxford,,,,,,
13.0,Beaujolie,beaux,Scubeach,,,,,
14.0,De Crespignyl'',"Louis De
Crespigny","Corner De
Crespigny",Urespigny,Orespigny,Corner,,
15.0,Providence,Finden,Edinburgl,,,,,
16.0,Dunbar,"Agnes
Dunbar",Unbar,Agnes Dunbar,,,,
17.0,Bibles,,,,,,,
18.0,St Cecilia,Australia,,,,,,
19.0,"ivory draw-
ing-room",Holyrood,Holyrood House,Thou,,,,
20.0,Boudoir,the arbour,,,,,,
21.0,United,Tattersall,Whitehall,,,,,
22.0,MIonsieur Fesceati,Murion,Patriok,MIarion,Paris,Kilmarnock,Marion,Mnrion
23.0,Agrippina,Edinburgh,china,,,,,
24.0,Louis de Cries-,Louis,,,,,,
