cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32
-1,"St
John's Lodge",Saul,Finden,inn,Providence,LI,Melton,las,Dearest,Jacob,Glare,Louis de Cries-,Spain,Fife,t3,Hamlin,Rosemount,Geranium,MIonsieur Fesceati,Paris,Fiile,june-,Portobello,"ribbon,-I",Kilmarnock,"fancy,-she",Corner,Leeds,us,"L.60,000",wi,"ivory draw-
ing-room",Louis
0,Charles,Bibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Argyleshire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,England,Highland,Ireland,De Glance,Shetland,Scotland,Glanville,,,,,,,,,,,,,,,,,,,,,,,,,,
3,normandy,"ever,-and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Carolino,Caroline,declined1,Carolino Now-,Curoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Agrippina,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MoON,London,blishmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Britain,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Itself,Sea,Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Marion,MIarion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Murion,Mnrion,Patriok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,M0MODERN IRRITATION,M0MODERN FLIRTATION0ON,IRRITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,St Cecilia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,America,Limeriek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Scubeach,beaux,Beaujolie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,moi le,L L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Abbey,Hebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Agnes
Dunbar",Agnes Dunbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Unbar,Dunbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Agnes.,Agnes,el Agnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tattersall,Whitehall,United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Towereliffo,LowER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Orespigny,De Crespignyl'',Urespigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Corner De
Crespigny","Louis De
Crespigny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Romeo,rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Holyrood,Thou,Holyrood House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,the arbour,Boudoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Edinburgh,Edinburgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,quad-,Queensferry,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Oxford,oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
