cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
-1,MIonsieur Fesceati,june-,t3,"L.60,000","St
John's Lodge","ribbon,-I","ivory draw-
ing-room",Leeds,Fiile,Patriok,Corner,wi,Fife,Paris,Melton,Jacob,Rosemount,Kilmarnock,Portobello,Geranium,"fancy,-she"
0,Oxford,oxford,,,,,,,,,,,,,,,,,,,
1,Canada,Queensferry,quad-,,,,,,,,,,,,,,,,,,
2,Edinburgh,Edinburgl,,,,,,,,,,,,,,,,,,,
3,rome,Romeo,,,,,,,,,,,,,,,,,,,
4,Holyrood,Holyrood House,Thou,,,,,,,,,,,,,,,,,,
5,Boudoir,the arbour,,,,,,,,,,,,,,,,,,,
6,LowER,Towereliffo,,,,,,,,,,,,,,,,,,,
7,Louis de Cries-,Louis,,,,,,,,,,,,,,,,,,,
8,De Crespignyl'',Urespigny,Orespigny,,,,,,,,,,,,,,,,,,
9,"Louis De
Crespigny","Corner De
Crespigny",,,,,,,,,,,,,,,,,,,
10,United,Tattersall,Whitehall,,,,,,,,,,,,,,,,,,
11,L L,Saul,moi le,,,,,,,,,,,,,,,,,,
12,Abbey,Hebe,,,,,,,,,,,,,,,,,,,
13,Charles,Bibles,,,,,,,,,,,,,,,,,,,
14,Argyleshire,Yorkshire,,,,,,,,,,,,,,,,,,,
15,Beaujolie,beaux,Scubeach,,,,,,,,,,,,,,,,,,
16,Agnes,Agnes.,el Agnes,,,,,,,,,,,,,,,,,,
17,"Agnes
Dunbar",Agnes Dunbar,,,,,,,,,,,,,,,,,,,
18,Dunbar,Unbar,,,,,,,,,,,,,,,,,,,
19,America,Limeriek,,,,,,,,,,,,,,,,,,,
20,us,St Cecilia,Australia,,,,,,,,,,,,,,,,,,
21,Great Britain,Britain,,,,,,,,,,,,,,,,,,,
22,Sea,Wait,Itself,,,,,,,,,,,,,,,,,,
23,IRRITATION,M0MODERN IRRITATION,M0MODERN FLIRTATION0ON,,,,,,,,,,,,,,,,,,
24,London,blishmont,MoON,,,,,,,,,,,,,,,,,,
25,Glare,las,Dearest,,,,,,,,,,,,,,,,,,
26,Providence,Finden,,,,,,,,,,,,,,,,,,,
27,Agrippina,Spain,inn,china,,,,,,,,,,,,,,,,,
28,MIarion,Marion,,,,,,,,,,,,,,,,,,,
29,Murion,Mnrion,,,,,,,,,,,,,,,,,,,
30,LI,Hamlin,,,,,,,,,,,,,,,,,,,
31,Caroline,Carolino Now-,declined1,Curoline,Carolino,,,,,,,,,,,,,,,,
32,De Glance,Shetland,Highland,England,Glanville,Ireland,Scotland,,,,,,,,,,,,,,
33,normandy,"ever,-and",,,,,,,,,,,,,,,,,,,
