cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,America,Limeriek,,,,,,,,,,
1,Caroline,"L.60,000",Carolino Now-,declined1,Curoline,Carolino,,,,,,
2,Canada,"fancy,-she",quad-,,,,,,,,,
3,Dunbar,"Agnes
Dunbar",Unbar,wi,Agnes Dunbar,,,,,,,
4,Argyleshire,Charles,Dearest,Yorkshire,Bibles,,,,,,,
5,rome,"ivory draw-
ing-room",Providence,Romeo,Melton,,,,,,,
6,Great Britain,Britain,Spain,Wait,Itself,,,,,,,
7,IRRITATION,M0MODERN IRRITATION,M0MODERN FLIRTATION0ON,,,,,,,,,
8,t3,LowER,Queensferry,Towereliffo,Geranium,,,,,,,
9,june-,Agnes,Agnes.,el Agnes,,,,,,,,
10,"St
John's Lodge",L L,moi le,,,,,,,,,
11,Leeds,Fiile,Fife,,,,,,,,,
12,Sea,Beaujolie,Abbey,beaux,Saul,Scubeach,Hebe,Portobello,,,,
13,St Cecilia,blishmont,LI,Hamlin,Australia,,,,,,,
14,De Crespignyl'',"Louis De
Crespigny",Oxford,"Corner De
Crespigny",oxford,Urespigny,Orespigny,Corner,Jacob,,,
15,normandy,Glare,De Glance,"ever,-and",Shetland,las,Highland,England,Glanville,Finden,Ireland,Scotland
16,Louis de Cries-,Louis,,,,,,,,,,
17,us,Holyrood,Rosemount,Holyrood House,Thou,,,,,,,
18,Boudoir,the arbour,,,,,,,,,,
19,United,Tattersall,Whitehall,,,,,,,,,
20,Edinburgh,Edinburgl,,,,,,,,,,
21,MIonsieur Fesceati,London,"ribbon,-I",Murion,MoON,Patriok,MIarion,Paris,Kilmarnock,Marion,Mnrion,
22,Agrippina,inn,china,,,,,,,,,
