cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Marion,Murion,"ribbon,-I",London,Mnrion,MIarion,Kilmarnock,Patriok,Paris,,,
1,Dunbar,Unbar,"Agnes
Dunbar",the arbour,Agnes Dunbar,,,,,,,
2,Argyleshire,Bibles,Dearest,Charles,Yorkshire,,,,,,,
3,rome,America,Romeo,Providence,"ivory draw-
ing-room",,,,,,,
4,Melton,Towereliffo,"L.60,000",Portobello,LowER,Fife,,,,,,
5,Whitehall,Tattersall,United,,,,,,,,,
6,Britain,Agrippina,Wait,t3,Spain,inn,Great Britain,Itself,,,,
7,Corner,Geranium,Jacob,,,,,,,,,
8,Carolino,Caroline,Carolino Now-,Curoline,,,,,,,,
9,Canada,quad-,china,"fancy,-she",,,,,,,,
10,wi,moi le,Boudoir,L L,Leeds,Fiile,,,,,,
11,Rosemount,us,Holyrood House,Holyrood,Thou,,,,,,,
12,Glare,"ever,-and",England,las,Scotland,Finden,Glanville,Highland,normandy,Ireland,Shetland,De Glance
13,Queensferry,M0MODERN IRRITATION,IRRITATION,MoON,M0MODERN FLIRTATION0ON,MIonsieur Fesceati,,,,,,
14,Oxford,oxford,,,,,,,,,,
15,"St
John's Lodge",Louis,De Crespignyl'',"Louis De
Crespigny","Corner De
Crespigny",Urespigny,Orespigny,Louis de Cries-,,,,
16,Beaujolie,Hebe,Scubeach,Saul,beaux,Abbey,Sea,,,,,
17,Edinburgh,Edinburgl,,,,,,,,,,
18,Agnes.,Agnes,june-,el Agnes,,,,,,,,
19,blishmont,St Cecilia,Limeriek,Hamlin,Australia,declined1,LI,,,,,
