cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,IRRITATION,MIonsieur Fesceati,M0MODERN IRRITATION,L L,Fiile,M0MODERN FLIRTATION0ON,Tattersall,
1,Sea,Caroline,Carolino Now-,declined1,Hamlin,Curoline,Carolino,Geranium
2,Argyleshire,rome,Charles,Yorkshire,Bibles,,,
3,us,Abbey,Great Britain,Britain,Spain,Boudoir,United,Itself
4,"L.60,000","St
John's Lodge",Queensferry,Romeo,inn,,,
5,"ivory draw-
ing-room",Holyrood,Oxford,Edinburgh,Corner,Holyrood House,,
6,London,Agnes,Agnes.,Finden,el Agnes,,,
7,las,blishmont,Louis de Cries-,Jacob,Louis,,,
8,Glare,De Glance,England,Glanville,Melton,,,
9,"ribbon,-I",De Crespignyl'',"Louis De
Crespigny","Corner De
Crespigny",Dearest,Urespigny,Orespigny,Edinburgl
10,Dunbar,Leeds,"Agnes
Dunbar",Unbar,Agnes Dunbar,,,
11,t3,Murion,Patriok,MIarion,Paris,Marion,Mnrion,
12,moi le,Kilmarnock,,,,,,
13,Beaujolie,Providence,beaux,Scubeach,,,,
14,LI,Limeriek,,,,,,
15,Agrippina,Saul,Rosemount,"fancy,-she",,,,
16,LowER,Wait,wi,Australia,Portobello,,,
17,oxford,Fife,Hebe,the arbour,Whitehall,Thou,,
18,America,MoON,Towereliffo,china,,,,
19,normandy,"ever,-and",St Cecilia,Shetland,Highland,Ireland,Scotland,
20,june-,Canada,quad-,,,,,
