cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0.0,Cemiterio,cemiterio da Villa,cemiterio de S. Miguel,cemiterio,,,,,,,,,,,,,,,
1.0,brazão d'armas,sinete d'armas,,,,,,,,,,,,,,,,,
2.0,Fidalgo,Fidalguia,fidalguia,Algés,Aguiar,,,,,,,,,,,,,,
3.0,Bufava,tufava,,,,,,,,,,,,,,,,,
4.0,Douro,Além-Douro,d'entre Douro,Douro e Minho,Europa,luneta d'ouro,Alva-do-Douro,Futuro,,,,,,,,,,,
5.0,mette,metteu,,,,,,,,,,,,,,,,,
6.0,torre albarrã,Torre albarran,torre albarran,albarrã,,,,,,,,,,,,,,,
7.0,alegre,Egreja,Egreja das Monicas,"Egreja da
Velleda",Egrejinha,Beja,,,,,,,,,,,,,
8.0,Biscainho,Vidainhos,Pintainho,Biscaia,,,,,,,,,,,,,,,
9.0,folgares,Collares,Tres,Algarve,Bazares,Sud-Express,,,,,,,,,,,,,
10.0,Obras Publicas,Origens Visigothicas do Direito Publico,Republica,,,,,,,,,,,,,,,,
11.0,D'essa,d'essa,N'essa,triumpho d'essa,,,,,,,,,,,,,,,
12.0,Administração,"braço do
Administrador","Nova Reforma
Administrativa","nossa
Administração na Africa",Administrador do Concelho,Administração do Concelho,administração--(estendia,Administrador,Aministrador,Administração do Concelho de Villa-Clara,,,,,,,,,
13.0,pelludo,pelluda,Sobretudo,repellia,,,,,,,,,,,,,,,
14.0,Russo,Russia,Russa,,,,,,,,,,,,,,,,
15.0,Sensibilisado,bilis,baptisado,utilisava,,,,,,,,,,,,,,,
16.0,Zésinho,Turtesinho,Manelsinho,polvarinhos,Pelourinho,"botãosinho de
rosa!",Reisinho,guardasolinho,Titósinho,Junho,"portinhola da
caleche",Andrésinho,visinha da,Julinho,,,,,
17.0,Hespanha,Bretanha,Hespanhas,Espantado,Hespanhoes do Conde,d'Hespanha,,,,,,,,,,,,,
18.0,bigodeira,Tecedeiras,charuteira,maceira,caldeira,menineira,Videira,Madeira,,,,,,,,,,,
19.0,Troia,petroleo,Tipoia,,,,,,,,,,,,,,,,
20.0,boa velha,rua Velha,Bica-Velha,,,,,,,,,,,,,,,,
21.0,Magistratura,Litteratura,Annaes de Litteratura,"Annaes de
Litteratura",Formatura,permitte,Litteratura Grega,,,,,,,,,,,,
22.0,Assembléa,Assembleia,Assembléa da Villa,,,,,,,,,,,,,,,,
23.0,Cas,Mal-casada,Pedagogicas,castão,casaes,Acaso,Casas,Brocas,,,,,,,,,,,
24.0,Parada,Pará,Lacrada,Paraiso,"banco
d'entrada",Paris,Volte,,,,,,,,,,,,
25.0,Primo,lagrimas,opprime,,,,,,,,,,,,,,,,
26.0,Valverde,Verde,Do Verde,Perdôe,Villaverde,vergel,Cabo Verde,,,,,,,,,,,,
