cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,Capital,Capitulo,Prior do Hospital,Capitanea,,,,,,,,,,,,,,,
1,brazão d'armas,d'Arraz,sinete d'armas,,,,,,,,,,,,,,,,
2,Fidalgo,Fidalguia,fidalguia,Algés,Aguiar,,,,,,,,,,,,,,
3,Bufava,tufava,,,,,,,,,,,,,,,,,
4,Leonel,Leonez,Leoneses,Coronel Trancoso,,,,,,,,,,,,,,,
5,Douro,Além-Douro,d'entre Douro,Douro e Minho,Vou,urze,Europa,luneta d'ouro,Alva-do-Douro,Louredo,Puxou,Futuro,,,,,,,
6,mette,metteu,,,,,,,,,,,,,,,,,
7,torre albarrã,Torre albarran,torre albarran,albarrã,,,,,,,,,,,,,,,
8,Alcacer,Alcacer-Kebir,Cercal,Alcaide,,,,,,,,,,,,,,,
9,alegre,Egreja,"Egreja da
Velleda",Egrejinha,Beja,,,,,,,,,,,,,,
10,Sul,suor,do Sul,,,,,,,,,,,,,,,,
11,folgares,Collares,Algarve,Bazares,Arega,,,,,,,,,,,,,,
12,Obras Publicas,Origens Visigothicas do Direito Publico,Republica,,,,,,,,,,,,,,,,
13,D'essa,d'essa,N'essa,triumpho d'essa,Necessito,,,,,,,,,,,,,,
14,Administração,"braço do
Administrador","Nova Reforma
Administrativa","nossa
Administração na Africa",Instrucção,Ministro,Administrador do Concelho,Administração do Concelho,administração--(estendia,Administrador,Aministrador,Administração do Concelho de Villa-Clara,,,,,,,
15,Russo,Russia,Russa,rugio,Thus,Ruy,,,,,,,,,,,,,
16,Hespanha,Bretanha,Hespanhas,Espantado,Hespanhoes do Conde,d'Hespanha,,,,,,,,,,,,,
17,Magistratura,Litteratura,Annaes de Litteratura,"Annaes de
Litteratura",Formatura,permitte,Litteratura Grega,,,,,,,,,,,,
18,Assembléa,Assembleia,Assembléa da Villa,,,,,,,,,,,,,,,,
19,Cas,Magicas,Bruxas,Mal-casada,Maricas,Pedagogicas,castão,casaes,Acaso,Casas,Brocas,Casimiras,,,,,,,
20,Gago,Trago,San-Thiago,Hospedaria do Gago,affago,Vidago,agoa do regato,gavêta,,,,,,,,,,,
21,Parada,Arcada,Pará,Lacrada,Paraiso,"banco
d'entrada",Paris,,,,,,,,,,,,
22,Tarde,Valverde,Verde,Do Verde,Perdôe,Villaverde,Verdade,vergel,Cabo Verde,veras,,,,,,,,,
23,Freguezia,burguezia,Urgia,,,,,,,,,,,,,,,,
24,Guião,Borguinhão,"Guião
d'El-Rey",esguio,Ceylão,,,,,,,,,,,,,,
25,Philosophos,griphos,Ophir,philosophar,Lopo,Sophia,,,,,,,,,,,,,
26,Vicente,Nascente,aviso:--«Licença,Enternecido,accrescentava,Centro,"salpicava
scentelhas",S. Vicente,,,,,,,,,,,
27,S. Domingos,Domingo,mingoa,Torre aos Domingos,Dom,physionomia,Domingues,,,,,,,,,,,,
28,Mandarim,Mandae,vianda,Mande,Lenda,Many,,,,,,,,,,,,,
29,by U.S. federal laws,U.S.,,,,,,,,,,,,,,,,,
30,ámanhã,Ámanhã,Amanhã,Vá ámanhã,Manhã,,,,,,,,,,,,,,
