cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Cemiterio,cemiterio da Villa,cemiterio de S. Miguel,cemiterio,,,,,,,,,,,,
1,Capital,Capitulo,Prior do Hospital,Sás,Capitanea,Dize,,,,,,,,,,
2,Fidalgo,Fidalguia,fidalguia,Algés,Thus,Aguiar,,,,,,,,,,
3,Douro,Além-Douro,d'entre Douro,Douro e Minho,Europa,luneta d'ouro,Alva-do-Douro,Futuro,fóra,,,,,,,
4,mette,metteu,Hymno,,,,,,,,,,,,,
5,torre albarrã,Torre albarran,torre albarran,albarrã,,,,,,,,,,,,
6,Alcacer,Alcacer-Kebir,!,Alcaide,,,,,,,,,,,,
7,Relho,"Natal o
Relho",orelha,relusia,Relhos,,,,,,,,,,,
8,alegre,Egreja,Egreja das Monicas,"Egreja da
Velleda",Egrejinha,,,,,,,,,,,
9,Biscainho,Vidainhos,Pintainho,Biscaia,,,,,,,,,,,,
10,folgares,Collares,Algarve,Bazares,,,,,,,,,,,,
11,Obras Publicas,Origens Visigothicas do Direito Publico,Republica,,,,,,,,,,,,,
12,D'essa,d'essa,N'essa,d'Eleicão,triumpho d'essa,,,,,,,,,,,
13,Administração,"braço do
Administrador","Nova Reforma
Administrativa","nossa
Administração na Africa",Administrador do Concelho,Administração do Concelho,administração--(estendia,Administrador,Aministrador,Administração do Concelho de Villa-Clara,,,,,,
14,Zésinho,Turtesinho,"Desembargador
Martinho",Manelsinho,polvarinhos,Pelourinho,"botãosinho de
rosa!",Reisinho,guardasolinho,Titósinho,Junho,"portinhola da
caleche",Andrésinho,visinha da,cosinha,
15,Hespanha,Bretanha,Hespanhas,X.,Espantado,gavêta,Hespanhoes do Conde,d'Hespanha,,,,,,,,
16,bigodeira,Teixeira de Carredes,Tecedeiras,Bruxas,charuteira,Vim,maceira,caldeira,menineira,Videira,carvalheiras do,Madeira,,,,
17,Troia,Claustro,N'outro,petroleo,,,,,,,,,,,,
18,Magistratura,Litteratura,Annaes de Litteratura,"Annaes de
Litteratura",Formatura,permitte,Litteratura Grega,,,,,,,,,
19,Assembléa,Assembleia,Assembléa da Villa,,,,,,,,,,,,,
20,Cas,Pedagogicas,castão,Acaso,Brocas,,,,,,,,,,,
21,Gago,Trago,San-Thiago,agoa limosa,bróta,d'agoa,affago,Vidago,,,,,,,,
22,Parada,Pará,Lacrada,Paraiso,"banco
d'entrada",Paris,,,,,,,,,,
23,Primo,lagrimas,opprime,,,,,,,,,,,,,
24,Tarde,Valverde,Verde,Do Verde,Perdôe,Villaverde,vergel,Cabo Verde,veras,,,,,,,
25,Freguezia,burguezia,Urgia,Zambezia,largueza dos campos,Erguera,,,,,,,,,,
26,Guião,Borguinhão,Guimarães,beguino,esguio,,,,,,,,,,,
27,Philosophos,griphos,Ophir,Philippes,philosophar,Sophia,,,,,,,,,,
28,Vicente,Nascente,Fôra,Coice,aviso:--«Licença,Enternecido,accrescentava,Centro,"salpicava
scentelhas",S. Vicente,,,,,,
29,S. Domingos,Domingo,mingoa,Torre aos Domingos,Dom,physionomia,Domingues,,,,,,,,,
30,Mandarim,Mandae,vianda,"Torre de
mandado do",Mande,Arminda,Lenda,Many,,,,,,,,
31,Mascate,Moscatel,Gamas,,,,,,,,,,,,,
32,Sorte,Portella,Norte,Monforte,Côrte,Cortiga,Morte,,,,,,,,,
33,ámanhã,Ámanhã,Amanhã,Vá ámanhã,Manhã,,,,,,,,,,,
34,Chronica,Monicas,Annica,Tonifica,Thessalonica,,,,,,,,,,,
35,Canta-Pedra,Cantapedra,banco de pedra,estreito de Canta-Pedra,valle de Canta-Pedra,,,,,,,,,,,
36,Curiacios,Horacios,Curia,Notarios da Curia,,,,,,,,,,,,
37,Russo,Russia,Russa,,,,,,,,,,,,,
