cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,re—,premièreçfois,aspire—,pare—,lèbre,regret—-,reve—,malpropre—,quatre—vingts,singulière—,ﬁacre,involontaire—,de—s lierres,Revue,entre—,,,,,,,
1,Dauphin,le Rhin,Rhin,séraphins,Dauphine,,,,,,,,,,,,,,,,,
2,grand—livre,pauvrevgrund,grand—sur,Vivre,grandrenfort,Grand—livre,,,,,,,,,,,,,,,,
3,cher,Rocher,cher-,r_._che,cher—,Atheriallu,Atheriallu-olmroher,He,Sous-che,Mon cher,chef—,,,,,,,,,,,
4,Lovelacc,vieux Lovelacc,Love-,Lovelace,"lac
’",,,,,,,,,,,,,,,,,
5,Van—,ban—,avan—,tran—,la Havane,Avant1830,Vand',"dan—
ger",Van-—,plan—,,,,,,,,,,,,
6,Com,hom—,Cos,compas—,Comédie,Compter,Comtois,comprend—,compl—,Comté,com—-,raccom—,Communal,commis—,,,,,,,,
7,bois de Boulogne,bois rustiqueé,Boulogne,"bois de
Boulogne",de Boulogne,,,,,,,,,,,,,,,,,
8,no—,écono—,réso—,—- Non,ho—,Noi,,,,,,,,,,,,,,,,
9,Ordinaire,"extraordi—
naire",Lenain,"aﬁ""aire",voquée extraordinaüement,ﬁ.;m,,,,,,,,,,,,,,,,
10,Spleen,spleen—,aspen—,Splendide,solen—,,,,,,,,,,,,,,,,,
11,Phétoré,Rhétoré,,,,,,,,,,,,,,,,,,,,
12,gard,Ga-,Œregarde,sardo—,regard—,mardi—,garni—,Hasard,Lombardie,Escard,Garceneault,,,,,,,,,,,
13,chemi—,cachemire,fémi—,choi—,lumi—,chui—,Le Chemin,domi—,"ti—
mide",,,,,,,,,,,,,
14,t823,donie,b—,Ï,Laponie,manière‘dont,Donc,nic—,A la manière‘dont,l*‘donne,Sidonie,,,,,,,,,,,
15,minis—,Ministère,jasmin,BOLOGNINI,,,,,,,,,,,,,,,,,,
16,efi',Pbui'uni,Lëôpbd,aÎèÊÊËËÎÏË,A,,,,,,,,,,,,,,,,,
17,peuvent—,eéde,senti—,Dent,Deux-Cent,momentané—,Voix'enfant—,Décidément,Eden,Tude,denxpios,.devient‘s,s’entr’,,,,,,,,,
18,Cousteau,Eaux,Nous‘teau’,aus-—,,,,,,,,,,,,,,,,,,
19,Gandolphini,de-Napoléon à'Joséphine,gand,Gandohuhini,Bbdolphd,,,,,,,,,,,,,,,,,
20,lise,Se,C0'—,.nommnitLoùise,déses—,Sels,vingt—sept,Sexe,because,se’,Varèse,el&serguei,,,,,,,,,,
21,le Corso,Corso,rs,corn,Où,,,,,,,,,,,,,,,,,
22,lomène,Philomènes,"Phnomèné l,0_1'_1t",salom—,promè—,se;démène,,,,,,,,,,,,,,,,
23,Dent de “Viard,Dent de Vilard,Dent de' Vilain,Pont de Ward,Dent de Vitara,Vilardwetæ,,,,,,,,,,,,,,,,
24,d’instruction,.”-“:.,eæwptioad’,instru—,d’,,,,,,,,,,,,,,,,,
25,sachez—,chez—,Sachez,ac—,,,,,,,,,,,,,,,,,,
26,Saint—,rue Saint—Lazare,Saint—Germain,Saint—Hére,Saint—Martin,Saint—Lazare,Clermont—Mont—Saint—Jean,Sainte—Hélène,Saint—Jean,Saint des Saints—Il,,,,,,,,,,,,
27,Bourg,Bouzey,Bourg-,Bohême,Bourse,eûtabou—,bourgeoise—,ébouriﬁ‘ante,Strasbourg,,,,,,,,,,,,,
28,Raoul,Soulas,"Baoul,_la",Baoul',Raoul‘sera,disaitRaoul,Toulouse,Voulu,-,Mulhouse,àRaoul,,,,,,,,,,,
29,m’_àiifte1‘a,m’,,,,,,,,,,,,,,,,,,,,
