cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,re—,aspire—,pare—,t’,nimes,aÎèÊÊËËÎÏË,,,,,,,,,,
1,Spleen,spleen—,Pbui'uni,Noi,Splendide,,,,,,,,,,,
2,eéde,sédes,obligéde,,,,,,,,,,,,,
3,moteur—,malheur—,M0—,nic—,leurs‘plis raides,,,,,,,,,,,
4,Dauphin,le Rhin,l‘on,Phi—-,Rhin,séraphins,Dauphine,Philo-,,,,,,,,
5,grand—livre,grand—sur,Vivre,grandrenfort,Grand—livre,,,,,,,,,,,
6,Suisse,Ht,lez,Suisses,"F1‘au
de cette9'leüto Suisse",ﬁaüce,,,,,,,,,,
7,mysté—,litté—,Sut,les esté—,,,,,,,,,,,,
8,résis—,s_b10n,Hésilé,Assis,persis—,,,,,,,,,,,
9,Doubs,il_te,du Doubs,Al_—,tié douce,,,,,,,,,,,
10,Lesjournaux,journa—,Retournez,,,,,,,,,,,,,
11,considéra—,Fédéral,Idéal,consid—,exagér,Etat,consi—,,,,,,,,,
12,mada—,MADAME,Madre,,,,,,,,,,,,,
13,napoléo—,de-Napoléon à'Joséphine,priélé,Napolitain,du Japon,,,,,,,,,,,
14,Itàlienne,Quotidienne,vienne,Vienne,Sicilienne,Ivoirienne,Ila11enne,liennes,,,,,,,,
15,Légitimistes,vmxlé_gitimitès,stem,n‘es,,,,,,,,,,,,
16,"connais—
sance",Renaissance,au-,connais—,lç,,,,,,,,,,,
17,ban—,tran—,arran—,déman—,"dan—
ger",d’,plan—,,,,,,,,,
18,chemi—,cachemire,“ï,Le Chemin,Influen,hâiiéhs,,,,,,,,,,
19,Lu-,plusle,plus._violente,plus—,p—,veît,n—,Dijon,,,,,,,,
20,pres—,E_pressé,Cos,Haüsséæ,Presse,,,,,,,,,,,
21,donie,Laponie,Sidonie de Chaÿencourt,Donc,srÈctn,Sidonie,,,,,,,,,,
22,minis—,Ministère,jasmin,,,,,,,,,,,,,
23,poir—,Loire,Pouvoir,Sûre,,,,,,,,,,,,
24,Granet,Blçnet,Bègrante,E,He,Gra',,,,,,,,,,
25,l‘aime“ Spéciale de son âm,rue de Ne—,Nucia-,baie de Naples,Le Grâçe,régu—,ca,,,,,,,,,
26,le Corso,Corso,corn,,,,,,,,,,,,,
27,lomène,Philomènes,"Phnomèné l,0_1'_1t",uouoiuui—,ce’,Cé,se;démène,,,,,,,,,
28,"rue
Cigale",Se,égale—,V1(1la1,laïve,molle—,,,,,,,,,,
29,pour01r,Ï,pour—,pour$sé,Gymnase,,,,,,,,,,,
30,senti—,anti—,politi—,"ti—
mide",,,,,,,,,,,,
31,Van—,avan—,la Havane,Avant1830,Van-—,situ—,-,,,,,,,,,
32,de Versailles,Versailles,Nevers,amur,,,,,,,,,,,,
33,Dent de “Viard,Dent de Vilard,Dent de' Vilain,Large,Pont de Ward,Dent de Vitara,Vilardwetæ,,,,,,,,,
34,d’instruction,eæwptioad’,lady—,Dition,instru—,g—,vi.—,,,,,,,,,
35,sachez—,chez—,Sachez,,,,,,,,,,,,,
36,Nucingen,vingt—sept,cmgen,s1ècu,,,,,,,,,,,,
37,giteuql,Moniteur,titeﬂ,,,,,,,,,,,,,
38,mar—-,Vit,car—-,Marsan,Marre,laïf,remar—,marco,,,,,,,,
39,Raoul,"Baoul,_la",Baoul',Raoul‘sera,disaitRaoul,àRaoul,,,,,,,,,,
40,atmos—,bios—,En',impos—,,,,,,,,,,,,
41,alpes,Alpes,malpropre—,se’,,,,,,,,,,,,
42,no—,serv1r,Servir,observ—,l’observ—,,,,,,,,,,,
43,passionn,Sion,division—,Religion,sion,,,,,,,,,,,
44,T—.:Mais,Mail,maison nam,"pleurait,4mais",mais—,Lui?jamais,Mairie,Juan,"maison,-je",,,,,,,
45,comtesse de Van—-,m‘en,“ Comtesse,r—,"comtesse de Van—
denesse",comtesse de Granville,comtesse de Vande-,"comtesse de
Granville",comtesse,comtesse de Mont—,J,,,,,
46,hell(= allaient(=,Revientœ,Éet,Lyon,vien—,.devient‘s,,,,,,,,,,
47,"elle,.elle",l?eruellentahhé de Gravure,Naturellement1l,elle—,Mesdemoiselles,Est—elle,ellefeul,"rue
de Grenelle",mademoiselle,Granvelle,—elle,Montemisselle,Telle,,,
48,confi—,circonf—,"circonf—
tance",confrotcrnrté,cé;tteconformiléde,ja—,,,,,,,,,,
49,dix—-,Parisien,Parisiens,Parisiennes,"parisien,,le",,,,,,,,,,,
50,Walter-,Terme,Walt,,,,,,,,,,,,,
51,I‘illet,Juillet,Tillet,"s’ha—
billet",Gentillet,Tillet s’,Êstillô‘n,,,,,,,,,
52,gende—,rende—,de—,Blendet,rendez—,,,,,,,,,,,
53,connu—,Nu—,conna—,menu—,loi connu—,,,,,,,,,,,
54,Neufchâtol,Neufchâtel,le Pont-Neuf,,,,,,,,,,,,,
55,demon—,remon—,Mon—,,,,,,,,,,,,,
56,hou1ge01s,cHouage,s—,choi—,Jérémie,qu’,voyageà_et,,,,,,,,,
57,grave—,Avez,Save,,,,,,,,,,,,,
58,Rapt,rape—,rappe—,,,,,,,,,,,,,
59,Barcelone,Lons,lons,Sûr,Oimèl,—- Allons,,,,,,,,,,
60,tente—,enten—,dente—,Rente,entend—,soixante—,mainte—,,,,,,,,,
61,Vetterille,Ville,Vaudille,la Ville,Waüville,Villa-Diodeti,Vill,Granville,Graville,Hôtel—de Ville,neville,Villa-l)îodal,Famille,,,
62,Lampbrani,eXpirant,iran,iran—,Girardet,Rangés,,,,,,,,,,
63,long—,bongo—,Songe,Onglet,,,,,,,,,,,,
64,Tuileries,ler,ga1erie,T_1tet,,,,,,,,,,,,
65,fémi—,lumi—,domi—,,,,,,,,,,,,,
66,Voilà,Voix'enfant—,"Soulas,_voilà",‘Voici,Mu,La voilureï,avoi—,,,,,,,,,
67,ai Ïñt',crea—,,,,,,,,,,,,,,
68,prenez—,Apprenez,Venez,Apprenant,,,,,,,,,,,,
69,ﬁèVI‘e,Belzébut,"A BELGICA‘I‘E,—",Belgirele,belvèrc,Belgique,Etc,de Belgique,,,,,,,,
70,méca—,occa—,esca—,,,,,,,,,,,,,
71,Folie,Emilio,Aumilieude,N0r',Saulieu,Tràhit,Lelmobilier,Chaulieu,,,,,,,,
72,Saint-Gothard,Saint-Gotha‘rd,hypothè—,"Saint—
Gothard",,,,,,,,,,,,
73,médienne,Comédie,médi—,Méditerranée,Comédie humaine,,,,,,,,,,,
74,soli—,Beli—,Li—,négli—,,,,,,,,,,,,
