cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,Laisse,laisser—,Palais,,,,,,,,,,,,,,,,,,
1,Simplon,employer—,diplo—,simple—,demploi—,,,,,,,,,,,,,,,,
2,Schmu,Schmulce,Elschoet,,,,,,,,,,,,,,,,,,
3,Berne,Lucerne,Berlin,Ferney,Moderne,canton de Lucerne,BE,,,,,,,,,,,,,,
4,Walt,Idéal,Al_—,BALZÀ(L,Walter-,,,,,,,,,,,,,,,,
5,rapi—,expi—,Rapt,capi—,mpi—,rape—,.”-“:.,trahi—,,,,,,,,,,,,,
6,certesépou—,trou—,tror_s,se'trouver,éprou—,trop—,cameroun,Pérou,vou—,,,,,,,,,,,,
7,Cour,Couchée,décou—,Avions‘court,courtis—,Accourus,amours—,Gur,,,,,,,,,,,,,
8,ram,Gramont,—- JérAme,Framäâca,Jura,drame—,,,,,,,,,,,,,,,
9,niens,fensive,nic—,Fi‘anciens,amiens,Tiens,Rubens,,,,,,,,,,,,,,
10,Watteville,attel—,Wàtteville,deWatteville,Walteville,Wattevillc,Wattevilleimagina,Wat—,Wattenﬂle,maison Watteville,éldgmtt,Watlevdle,,,,,,,,,
11,jouis—,uouoiuui—,puis—,Louis—Phüÿape,,,,,,,,,,,,,,,,,
12,Li—,négli—,chui—,Félix,Beli—,Clichy,Glisinbre-h’ai—,soli—,Àlil,empli—,écri—,choi—,,,,,,,,,
13,Belgrade,"Belgrade,'moﬁ",Belgradeè,Gra',,,,,,,,,,,,,,,,,
14,prosp—,p—,t‘ros',Prodi—,,,,,,,,,,,,,,,,,
15,Onglet,Angleterre,bongo—,,,,,,,,,,,,,,,,,,
16,brillàiÎt,Brie,priélé,Brièresﬁ,Jérémie,Andrieux,Célébrité,fripoh,Mairie,Briinnen,ga1erie,,,,,,,,,,
17,rue Basse—du—Rempart,Basse—du—Rempart,,,,,,,,,,,,,,,,,,,
18,Amédis,Améde‘e,dispu—,Amédée,Comédie,médi—,,,,,,,,,,,,,,,
19,Etc,etïl—,et’,guet—,t’,Etat,T_1tet,reﬂet,Éet,,,,,,,,,,,,
