cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0.0,re—,aspire—,pare—,malpropre—,,,,,,,,,,,,
1.0,Spleen,spleen—,Splendide,,,,,,,,,,,,,
2.0,de Versailles,Versailles,,,,,,,,,,,,,,
3.0,"-

— Sois","- —
A",,,,,,,,,,,,,,
4.0,Dauphin,séraphins,Dauphine,,,,,,,,,,,,,
5.0,Vandenesse,Vandènesse,nesse,Vand',Vanden‘sse,Vandenessse,ﬁnesse,Vande—,,,,,,,,
6.0,venant._enﬁn,Nantua,t._Si,s_s_en,Enﬁn,Enﬁn‘je,,,,,,,,,,
7.0,grand—livre,Phétoré,grand—sur,Vivre,Grand—livre,,,,,,,,,,,
8.0,cher,Rocher,cher-,cher—,Mon cher,élec—,,,,,,,,,,
9.0,Lovelacc,vieux Lovelacc,etdela,Love-,Lovelace,"lac
’",,,,,,,,,,
10.0,devaitsecou—,décou—,"dans_,lesquellesgdevait",its,,,,,,,,,,,,
11.0,Suisse,Suisses,"F1‘au
de cette9'leüto Suisse",,,,,,,,,,,,,
12.0,mysté—,no—,litté—,cabine‘mysté,les esté—,,,,,,,,,,,
13.0,le Rhin,Rhin,Le Grâçe,,,,,,,,,,,,,
14.0,mada—,MADAME,Madre,,,,,,,,,,,,,
15.0,napoléo—,de-Napoléon à'Joséphine,Napolitain,du Japon,,,,,,,,,,,,
16.0,Folie,Itàlienne,Àlil,Quotidienne,médienne,vienne,Vienne,Sicilienne,Ivoirienne,Ila11enne,liennes,,,,,
17.0,veu—,îneveu—,Eu—,déjeu—,,,,,,,,,,,,
18.0,créa—,aléa—,désagréa—,,,,,,,,,,,,,
19.0,Légitimistes,vmxlé_gitimitès,,,,,,,,,,,,,,
20.0,Lampbrani,brasàsa,verras,Euphrasie,,,,,,,,,,,,
21.0,"connais—
sance",Renaissance,"puis—
sance des relations sociales",connais—,,,,,,,,,,,,
22.0,chemi—,cachemire,Le Chemin,,,,,,,,,,,,,
23.0,plusle,plus._violente,plus—,,,,,,,,,,,,,
24.0,donie,Laponie,Sidonie de Chaÿencourt,Donc,Sidonie,,,,,,,,,,,
25.0,minis—,Ministère,jasmin,préliminai—,,,,,,,,,,,,
26.0,poir—,Loire,Pouvoir,,,,,,,,,,,,,
27.0,Granet,Blçnet,Bègrante,grandrenfort,Gra',,,,,,,,,,,
28.0,Cousteau,Eaux,stem,Nous‘teau’,,,,,,,,,,,,
29.0,Brie,Mairie,brillàiÎt,Briinnen,Célébrité,,,,,,,,,,,
30.0,le Corso,Corso,corn,,,,,,,,,,,,,
31.0,lomène,Philomènes,"Phnomèné l,0_1'_1t",se;démène,,,,,,,,,,,,
32.0,"rue
Cigale",égale—,,,,,,,,,,,,,,
33.0,senti—,anti—,politi—,Tinti,"ti—
mide",,,,,,,,,,,
34.0,Van—,ban—,avan—,la Havane,Avant1830,Van-—,plan—,,,,,,,,,
35.0,Dent de “Viard,Dent de Vilard,Dent de' Vilain,Large,Pont de Ward,Dent de Vitara,Vilardwetæ,,,,,,,,,
36.0,vœu.futuresàl,"T'rê—
facture",Magistrature,Couture,Préfecture,Laure,,,,,,,,,,
37.0,manège,Normandie,déman—,maniﬁques,Maman,mani—,,,,,,,,,,
38.0,sachez—,chez—,Sachez,,,,,,,,,,,,,
39.0,Nucingen,Nucia-,cmgen,,,,,,,,,,,,,
40.0,giteuql,Moniteur,titeﬂ,,,,,,,,,,,,,
41.0,mar—-,car—-,Marsan,Marre,remar—,,,,,,,,,,,
42.0,Saint—,rue Saint—Lazare,Saint—Germain,Saint—Hére,Saint—Martin,Saint—Lazare,Sainte—Hélène,Saint—Jean,Saint des Saints—Il,,,,,,,
43.0,permet—,Terme,,,,,,,,,,,,,,
44.0,"mes-;,il",Sommes,Hommes,Hummel,nimes,,,,,,,,,,,
45.0,Bourg,Bourg-,Bourse,bourgeoise—,ébouriﬁ‘ante,Strasbourg,,,,,,,,,,
46.0,alpes,Alpes,,,,,,,,,,,,,,
47.0,passionn,Sion,division—,Dition,sion,,,,,,,,,,,
48.0,Lesjournaux,journa—,Retournez,,,,,,,,,,,,,
49.0,T—.:Mais,Mail,maison nam,"pleurait,4mais",mais—,Lui?jamais,"maison,-je",,,,,,,,,
50.0,comtesse de Van—-,"comtesse de Van—
denesse",comtesse de Granville,comtesse de Vande-,"comtesse de
Granville",comtesse de Mont—,,,,,,,,,,
