cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Plymouth,Portsmouth,z7,"South
America",Truth,Bnut,,,,,,,,,,,,
1,Sunay,usunl,uay,fSunday,,,,,,,,,,,,,,
2,husbanl,anl,Wcnlly,,,,,,,,,,,,,,,
3,Iamilton,Inmilton,Hamnilton,Hauilton,IInmilton,Harilton,IIamilton,Hamiltou,Ilamilton,Hamiltaon,,,,,,,,
4,Emeline,Fmmeline,Aeliag,Caroline,Lmmcline,Emmeliue,lifel,Curoline,Lmelino,Elizalcthan,,,,,,,,
5,IIoIE INFLLENCE,IHFLLENCE,IIOWIE INFLLENCE,IIoMIE INFLUNCE,INTLLENCE,IIoIE INFILENCE,noIE INFLLENCE,oIE INFLLENCE,,,,,,,,,,
6,dol,Gaol,Gol,,,,,,,,,,,,,,,
7,Forteseue,Oxford,fort,MIilford,Fortcscuc,comfort,Oford,forI,North,,,,,,,,,
8,Scotsmen,Henen,Seneca,disensc,fcw,Icnven,Benevolence,Spenk,,,,,,,,,,
9,&c.,kc.,,,,,,,,,,,,,,,,
10,Germany,ny,Tinyl,,,,,,,,,,,,,,,
11,ntoIE,IoIE,mOIES,mischiof,"st
oIE",,,,,,,,,,,,,
12,lorton,the yong party,Seston,Torrington,CPTO,"itself,-MIorton",Mlorton,Ashburton,cloul,,,,,,,,,
13,Perc,stoppei,lercy,Percy,TPecy,N-7,,,,,,,,,,,,
14,Feroe,lFeroe,the Feroe Islands,Feroc,Osteroe,,,,,,,,,,,,,
15,Delmont,belmont,mo,,,,,,,,,,,,,,,
16,Hleaven,IIeaven,Ileaven,,,,,,,,,,,,,,,
17,Hlarris,rI,vARIETIs,L-l,,,,,,,,,,,,,,
18,hearda,Eard,Barbary,Dcnmark,Hovard,Elward,Earth,,,,,,,,,,,
19,havc,pcrhaps,havre,Hasty,hapy,,,,,,,,,,,,,
20,IHis,nall probnbility,Ilis,villin,Hlis,disgae,Listecn,,,,,,,,,,,
21,Algicrs,Algiers,,,,,,,,,,,,,,,,
22,Soldon Grange,Seldon Grange,arrangc,ld,,,,,,,,,,,,,,
23,XIIL,tlese eil,Ile,Bille,esil,Ill.,myrtle,Chnrles,completc,Wales,Greille,,,,,,,
24,bDevonshire,Dconshire,Yorkshire,Devonshire,,,,,,,,,,,,,,
25,INFLULNCE,INFIENCE,slc,INFLCENCE,whiceh,"Prince
Charles",INFLENcE-,x--,INFLCLNCE,oncee,INFILENCE,I1o INFILENCE,IYFLENCE,Io INPILCENCE,hce,,,
26,lcngth,thcm,HO3E,Thoe,thicl,withont,,,,,,,,,,,,
27,Ialeira,Noal,Ialy,ia,aetually,realy,,,,,,,,,,,,
28,IoIrE IFLUENCE,IonE INNLUENCE,ImoME INLUENCE,Luey,IoIE 1FLUENCE,I1NFLUENCE,Tluce,I1loME INLULNCE,INILULENCE,LUENCE,nIoI INLUENCE,IYFLUEXCE,nIoxIE IFLUENCE,n1oIE IFLUENCE,INLUNCE,INNFILUELNCE,NFLUENCE,IIoE IFLUENCE
29,Moorlunds,Glamorgan,Moorlands,morro,Mloorlnnds,"childhool,--and",Mloorlands,,,,,,,,,,,
30,causiug,miue,MIueh,,,,,,,,,,,,,,,
31,MInmma,mmma,Emm,lamma,tbat MIanmma,MImma,,,,,,,,,,,,
32,"the Sea
Gueen",the Sea ucen,Sea,Swansea,peaee,,,,,,,,,,,,,
33,MR,YV,,,,,,,,,,,,,,,,
34,Ellecn,Dearest Elenor,Lelly,Ellen,lleaen,LL,,,,,,,,,,,,
35,Natnre,bonat,tn,,,,,,,,,,,,,,,
36,somc,nd promisel,Berry Pomeroy,ROME,acros,Ifrom,,,,,,,,,,,,
37,Cheltenlam,Grnhame,Cheltenham,Cleltenham,Grahame,,,,,,,,,,,,,
38,Pembroke,tlem,kEm.,kEm,,,,,,,,,,,,,,
39,ain.,ain,MIyrvin,,,,,,,,,,,,,,,
40,continued--,consin,somc boon companions,consequcncc,,,,,,,,,,,,,,
41,lIndia,INDIA,md,Iand,India,Edinburgh,,,,,,,,,,,,
42,"Luey
Hareout",marel,Hareaurt,eOh,Iareourt,partre,moreoved,,,,,,,,,,,
43,Leander,England,lEngland,,,,,,,,,,,,,,,
44,Yenr's ere,"Ne
Year's",New York,New Yenr's Ee,New Yenr's,,,,,,,,,,,,,
45,I1TE,Nota,lote,anoter,,,,,,,,,,,,,,
46,Oakwood,Oakwool,Onkwood,,,,,,,,,,,,,,,
47,Ceeil,niece,conscequece,Cecil,deceit,,,,,,,,,,,,,
48,MIrs,NIrs,,,,,,,,,,,,,,,,
49,herts,IIerbert,ernfty,Sentember,Easter,Haoweer,Exeter,Ereter,,,,,,,,,,
50,Edwnrd,Edardl,kdward,Edwud,kEdwurd,Edarl,Edwuard,,,,,,,,,,,
51,Iowrd,Ioward,Elwnrd,IIis,IIownrd,,,,,,,,,,,,,
52,MIaitland,Atlantic,Highland,Ireland,Scotland,Maitland,thce island,Mlaitland,,,,,,,,,,
53,Mn,Elcmnor,Mnnly,mn,,,,,,,,,,,,,,
54,Mlr.,Mlr,,,,,,,,,,,,,,,,
55,WVat,"that,-if",Salhatl,Whatl,,,,,,,,,,,,,,
56,Esq,IMIPRESSED,escapet,quickncss,"assre
ou",Caithness,ress,,,,,,,,,,,
57,Latin 1',Llangwillan,Mlama,Mlary,las grown,Mlay,enslaer,Lady,Ilangillan,LA,las,,,,,,,
58,Prcsident,Yenr,benr,fenr,Godl Denth,denr,Denmark,,,,,,,,,,,
59,Dclont,yong,Maldon,Ellon,herlong,Iondon,London,,,,,,,,,,,
60,Az,,,,,,,,,,,,,,,,,
61,Groeville,"Groevillc
Manor",Grerille Manor,,,,,,,,,,,,,,,
62,Snmboe,wasa,Samboe,,,,,,,,,,,,,,,
63,Mliss Iarcourt,Harcourt,Mliss Harcourt,,,,,,,,,,,,,,,
