cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Plymouth,stoppei,Portsmouth,"South
America",Truth,,,,,,
1,Forteseue,Oxford,fort,MIilford,Fortcscuc,comfort,Oford,peaee,forI,,
2,Sunay,husbanl,usunl,fSunday,,,,,,,
3,Prcsident,Godl Denth,,,,,,,,,
4,ntoIE,IoIE,mOIES,havre,"st
oIE",,,,,,
5,IIoIE INFLLENCE,IIOWIE INFLLENCE,lifel,IIoMIE INFLUNCE,IIoIE INFILENCE,noIE INFLLENCE,oIE INFLLENCE,,,,
6,"Luey
Hareout",Luey,Pembroke,Hareaurt,Gol,,,,,,
7,anl,I1TE,mo,Haoweer,,,,,,,
8,Perc,lercy,Percy,MR,,,,,,,
9,IIerbert,Sentember,Gaol,Berry Pomeroy,,,,,,,
10,IonE INNLUENCE,ImoME INLUENCE,I1loME INLULNCE,LUENCE,nIoI INLUENCE,INLUNCE,,,,,
11,bDevonshire,Dconshire,Yorkshire,nall probnbility,Devonshire,pcrhaps,NIrs,,,,
12,WVat,herts,ernfty,Ialy,,,,,,,
13,somc,IHis,TPecy,,,,,,,,
14,&c.,Ceeil,tlese eil,tlem,x--,myrtle,ld,,,,
15,lorton,"itself,-MIorton",Mlorton,Ashburton,,,,,,,
16,"the Sea
Gueen",the Sea ucen,the yong party,uay,,,,,,,
17,niece,deceit,,,,,,,,,
18,dol,Caroline,Lmmcline,kEm.,Curoline,LA,,,,,
19,ny,Iowrd,kdward,Ioward,enslaer,Mnnly,thicl,Elward,,,
20,HO3E,Ellecn,Ellen,lleaen,quickncss,,,,,,
21,IMIPRESSED,ain.,fcw,Caithness,ress,,,,,,
22,Mlama,Mlary,YV,Mlay,disgae,,,,,,
23,Edardl,"Ne
Year's",hearda,Eard,havc,Hovard,mn,,,,
24,Iamilton,Inmilton,Hamnilton,Hauilton,IInmilton,Harilton,IIamilton,Hamiltou,Barbary,Ilamilton,Hamiltaon
25,Dearest Elenor,Elcmnor,ain,North,,,,,,,
26,Feroe,lFeroe,the Feroe Islands,Feroc,Osteroe,,,,,,
27,Edwud,kEdwurd,vARIETIs,md,Edwuard,,,,,,
28,Maldon,Soldon Grange,Seldon Grange,arrangc,MIrs,,,,,,
29,escapet,Tluce,lote,realy,,,,,,,
30,Edwnrd,Elwnrd,Cecil,IIownrd,withont,,,,,,
31,XIIL,Algicrs,rI,Thoe,whiceh,,,,,,
32,Bille,Ill.,Greille,Grerille Manor,,,,,,,
33,causiug,Seston,Torrington,CPTO,las,,,,,,
34,"that,-if",Salhatl,Whatl,,,,,,,,
35,Henen,Seneca,esil,eOh,disensc,hce,,,,,
36,Ilis,Hlis,MIyrvin,Listecn,,,,,,,
37,Dclont,yong,Ellon,herlong,ia,London,,,,,
38,Hlarris,Noal,MInmma,mmma,lamma,tbat MIanmma,MImma,,,,
39,Sea,Swansea,,,,,,,,,
40,mischiof,Natnre,IIis,LL,N-7,,,,,,
41,Mlr.,Hleaven,Ile,IIeaven,Ileaven,Icnven,,,,,
42,Llangwillan,England,Highland,lEngland,Ireland,Scotland,thce island,Ilangillan,,,
43,Yenr,benr,fenr,denr,tn,,,,,,
44,lcngth,z7,Cheltenlam,Grnhame,Cheltenham,Cleltenham,Grahame,,,,
45,marel,Dcnmark,Bnut,Denmark,Spenk,,,,,,
46,lIndia,L-l,INDIA,India,,,,,,,
47,Glamorgan,thcm,bonat,morro,moreoved,,,,,,
48,partre,Earth,,,,,,,,,
49,Yenr's ere,Esq,New York,Delmont,Ialeira,New Yenr's Ee,New Yenr's,,,,
50,Scotsmen,Iondon,somc boon companions,acros,completc,,,,,,
51,MIaitland,Atlantic,MIueh,Maitland,Mlaitland,,,,,,
52,Snmboe,INFLULNCE,INFLCENCE,INNFILUELNCE,INFLCLNCE,Edinburgh,,,,,
53,Leander,slc,miue,Iand,"childhool,--and",,,,,,
54,Nota,Edarl,Lady,kc.,,,,,,,
55,Easter,anoter,Exeter,Ereter,,,,,,,
56,Lelly,aetually,Wcnlly,,,,,,,,
57,IHFLLENCE,INFIENCE,INILULENCE,INFLENcE-,INTLLENCE,oncee,INFILENCE,I1o INFILENCE,IYFLENCE,Benevolence,Io INPILCENCE
58,Emeline,Fmmeline,Aeliag,Emmeliue,Lmelino,Az,Elizalcthan,,,,
59,conscequece,Emm,belmont,consin,consequcncc,,,,,,
60,IoIrE IFLUENCE,IoIE 1FLUENCE,I1NFLUENCE,IYFLUEXCE,nIoxIE IFLUENCE,n1oIE IFLUENCE,NFLUENCE,IIoE IFLUENCE,Mlr,,
61,"Prince
Charles",Chnrles,Wales,,,,,,,,
62,Latin 1',continued--,kEm,Tinyl,cloul,,,,,,
63,Oakwood,Oakwool,Onkwood,,,,,,,,
64,nd promisel,wasa,ROME,Ifrom,,,,,,,
65,Germany,villin,las grown,"assre
ou",Groeville,"Groevillc
Manor",,,,,
66,Mn,Algiers,Hasty,Samboe,,,,,,,
67,Mliss Iarcourt,Harcourt,Iareourt,Mliss Harcourt,,,,,,,
68,Moorlunds,Moorlands,Mloorlnnds,hapy,Mloorlands,,,,,,
