cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0.0,"Groevillc
Manor",Germany,villin,Groeville,,,,,,
1.0,ROME,Ifrom,Berry Pomeroy,,,,,,,
2.0,Caroline,Lmmcline,Curoline,,,,,,,
3.0,ImoME INLUENCE,I1loME INLULNCE,nIoI INLUENCE,IonE INNLUENCE,INLUNCE,,,,,
4.0,disensc,enslaer,disgae,,,,,,,
5.0,IMIPRESSED,ress,,,,,,,,
6.0,kEdwurd,Edwuard,Edwud,,,,,,,
7.0,herts,IIerbert,,,,,,,,
8.0,Tinyl,Latin 1',continued--,,,,,,,
9.0,Mliss Iarcourt,Mliss Harcourt,Harcourt,,,,,,,
10.0,Whatl,Salhatl,,,,,,,,
11.0,Henen,Seneca,,,,,,,,
12.0,Greille,Ceeil,Bille,Ill.,Grerille Manor,,,,,
13.0,Elizalcthan,"that,-if",Aeliag,,,,,,,
14.0,India,INDIA,lIndia,hapy,,,,,,
15.0,IIownrd,Elwnrd,Edwnrd,,,,,,,
16.0,IInmilton,IIamilton,Hamnilton,Iamilton,Harilton,Hauilton,Hamiltaon,Inmilton,Hamiltou,Ilamilton
17.0,"Ne
Year's",Eard,Earth,hearda,,,,,,
18.0,Dearest Elenor,Elcmnor,North,,,,,,,
19.0,tlem,myrtle,tlese eil,,,,,,,
20.0,usunl,fSunday,Mnnly,Sunay,,,,,,
21.0,INNFILUELNCE,INFILENCE,I1o INFILENCE,IIoIE INFILENCE,INFIENCE,,,,,
22.0,Iand,Leander,"childhool,--and",mischiof,Edinburgh,,,,,
23.0,the Feroe Islands,thcm,thce island,hce,,,,,,
24.0,completc,somc boon companions,somc,,,,,,,
25.0,Hasty,Easter,Osteroe,,,,,,,
26.0,mmma,lamma,MImma,MInmma,tbat MIanmma,,,,,
27.0,belmont,Delmont,,,,,,,,
28.0,Oakwood,Onkwood,Oakwool,,,,,,,
29.0,Ireland,Scotland,Atlantic,Highland,Scotsmen,,,,,
30.0,Thoe,withont,Caithness,,,,,,,
31.0,fort,forI,Forteseue,comfort,Fortcscuc,,,,,
32.0,Sea,Swansea,,,,,,,,
33.0,"itself,-MIorton",lorton,Ashburton,Mlorton,,,,,,
34.0,husbanl,Natnre,anl,,,,,,,
35.0,oncee,Ellen,INTLLENCE,INFLENcE-,IHFLLENCE,IYFLENCE,INILULENCE,Benevolence,,
36.0,London,Emm,Iondon,,,,,,,
37.0,Listecn,Hlis,Ilis,,,,,,,
38.0,IYFLUEXCE,I1NFLUENCE,INFLULNCE,LUENCE,IoIE 1FLUENCE,NFLUENCE,,,,
39.0,Dclont,cloul,herlong,Ellon,,,,,,
40.0,Mloorlands,Mloorlnnds,Moorlunds,Moorlands,,,,,,
41.0,lcngth,Torrington,,,,,,,,
42.0,peaee,lleaen,Ellecn,,,,,,,
43.0,Mlary,Barbary,Mlay,Mlama,Hlarris,,,,,
44.0,havc,havre,,,,,,,,
45.0,IIoIE INFLLENCE,oIE INFLLENCE,noIE INFLLENCE,IIOWIE INFLLENCE,IIoMIE INFLUNCE,,,,,
46.0,Algicrs,Algiers,,,,,,,,
47.0,benr,Yenr,fenr,denr,,,,,,
48.0,anoter,lote,Nota,,,,,,,
49.0,Edardl,Edarl,,,,,,,,
50.0,Devonshire,Yorkshire,bDevonshire,Dconshire,,,,,,
51.0,Percy,lercy,Perc,,,,,,,
52.0,IoIE,"st
oIE",ntoIE,mOIES,,,,,,
53.0,"Prince
Charles",Wales,Chnrles,,,,,,,
54.0,realy,Ialy,Ialeira,,,,,,,
55.0,the yong party,partre,yong,,,,,,,
56.0,nd promisel,nall probnbility,,,,,,,,
57.0,England,lEngland,,,,,,,,
58.0,Ilangillan,Llangwillan,,,,,,,,
59.0,miue,MIueh,,,,,,,,
60.0,Grahame,Grnhame,,,,,,,,
61.0,Maitland,Mlaitland,MIaitland,,,,,,,
62.0,IoIrE IFLUENCE,n1oIE IFLUENCE,pcrhaps,IIoE IFLUENCE,nIoxIE IFLUENCE,,,,,
63.0,Hovard,vARIETIs,,,,,,,,
64.0,Mlr,Mlr.,,,,,,,,
65.0,Sentember,Pembroke,,,,,,,,
66.0,NIrs,MIrs,,,,,,,,
67.0,"South
America",Portsmouth,Truth,Plymouth,,,,,,
68.0,Denmark,Dcnmark,marel,,,,,,,
69.0,Seston,stoppei,,,,,,,,
70.0,Emeline,Emmeliue,Lmelino,Fmmeline,,,,,,
71.0,lFeroe,Feroe,Feroc,,,,,,,
72.0,las grown,las,,,,,,,,
73.0,New Yenr's,New Yenr's Ee,New York,Yenr's ere,,,,,,
74.0,consin,conscequece,consequcncc,,,,,,,
75.0,Ereter,Exeter,,,,,,,,
76.0,INFLCLNCE,bonat,Io INPILCENCE,INFLCENCE,,,,,,
77.0,Snmboe,Samboe,,,,,,,,
78.0,Godl Denth,Prcsident,,,,,,,,
79.0,ain.,,,,,,,,,
80.0,Luey,Iareourt,"Luey
Hareout",Hareaurt,,,,,,
81.0,"the Sea
Gueen",Tluce,the Sea ucen,,,,,,,
82.0,thicl,whiceh,,,,,,,,
83.0,Cleltenham,Cheltenlam,Cheltenham,,,,,,,
84.0,ain,,,,,,,,,
85.0,niece,deceit,,,,,,,,
86.0,kEm.,kEm,,,,,,,,
87.0,Lelly,aetually,Wcnlly,,,,,,,
88.0,Glamorgan,moreoved,morro,,,,,,,
89.0,IIeaven,Ile,Icnven,Hleaven,Ileaven,,,,,
90.0,Elward,kdward,Iowrd,Ioward,,,,,,
91.0,Maldon,Seldon Grange,arrangc,Soldon Grange,,,,,,
92.0,Oford,XIIL,Oxford,MIilford,,,,,,
