cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Plymouth,Portsmouth,"South
America",Truth,Bnut,,,,,,
1,Sunay,usunl,uay,fSunday,,,,,,,
2,husbanl,anl,Wcnlly,,,,,,,,
3,Iamilton,Inmilton,Hamnilton,Hauilton,IInmilton,Harilton,IIamilton,Hamiltou,Ilamilton,Hamiltaon,fcw
4,Emeline,Fmmeline,Aeliag,Caroline,Lmmcline,YV,Emmeliue,lifel,Curoline,Lmelino,Elizalcthan
5,Edardl,Edarl,x--,,,,,,,,
6,"Luey
Hareout",Luey,Hareaurt,eOh,Iareourt,,,,,,
7,dol,Gaol,Gol,,,,,,,,
8,Forteseue,Oxford,fort,MIilford,Fortcscuc,comfort,Oford,forI,North,,
9,Mlr.,Mlr,,,,,,,,,
10,&c.,kc.,Az,,,,,,,,
11,Germany,ny,Tinyl,,,,,,,,
12,IonE INNLUENCE,ImoME INLUENCE,I1loME INLULNCE,nIoI INLUENCE,INLUNCE,,,,,,
13,ntoIE,IoIE,mOIES,MR,"st
oIE",,,,,,
14,lorton,Seston,Torrington,CPTO,"itself,-MIorton",Mlorton,Ashburton,,,,
15,Perc,stoppei,lercy,Percy,TPecy,,,,,,
16,Feroe,lFeroe,the Feroe Islands,Feroc,Osteroe,,,,,,
17,Edwud,kEdwurd,Edwuard,,,,,,,,
18,z7,Algicrs,Algiers,,,,,,,,
19,Mn,Elcmnor,Mnnly,mn,,,,,,,
20,"Ne
Year's",hearda,kdward,Ioward,Eard,Barbary,Hovard,Elward,Earth,,
21,havc,havre,Hasty,,,,,,,,
22,Leander,Glamorgan,England,Highland,lEngland,Ireland,thce island,Iand,,,
23,XIIL,IHis,nall probnbility,Ilis,esil,Hlis,Listecn,,,,
24,bDevonshire,Dconshire,Yorkshire,Devonshire,,,,,,,
25,slc,INFLCENCE,INFLENcE-,INFLCLNCE,oncee,Io INPILCENCE,hce,,,,
26,niece,conscequece,consin,Cecil,consequcncc,deceit,,,,,
27,yong,the yong party,partre,,,,,,,,
28,lcngth,thcm,HO3E,Thoe,withont,,,,,,
29,Ialeira,Noal,Ialy,ia,aetually,realy,,,,,
30,causiug,miue,MIueh,,,,,,,,
31,MInmma,mmma,Emm,lamma,tbat MIanmma,MImma,,,,,
32,"the Sea
Gueen",the Sea ucen,Sea,Swansea,peaee,,,,,,
33,Ellecn,Dearest Elenor,Lelly,Ellen,lleaen,LL,,,,,
34,Natnre,bonat,tn,,,,,,,,
35,nd promisel,Berry Pomeroy,ROME,acros,Ifrom,,,,,,
36,rI,vARIETIs,,,,,,,,,
37,Yenr's ere,New York,New Yenr's Ee,New Yenr's,,,,,,,
38,Hleaven,Ile,IIeaven,Ileaven,Icnven,,,,,,
39,Delmont,continued--,belmont,,,,,,,,
40,tlese eil,tlem,myrtle,,,,,,,,
41,Cheltenlam,Grnhame,Cheltenham,Cleltenham,Grahame,,,,,,
42,Pembroke,kEm.,kEm,,,,,,,,
43,Soldon Grange,Seldon Grange,arrangc,ld,,,,,,,
44,ain.,ain,MIyrvin,,,,,,,,
45,morro,mo,moreoved,,,,,,,,
46,Scotsmen,Seneca,mischiof,disensc,disgae,,,,,,
47,villin,Bille,Groeville,Greille,"Groevillc
Manor",Grerille Manor,,,,,
48,somc,somc boon companions,completc,,,,,,,,
49,I1TE,Nota,lote,anoter,,,,,,,
50,MIaitland,Atlantic,Scotland,Maitland,Mlaitland,,,,,,
51,IoIrE IFLUENCE,INFLULNCE,IoIE 1FLUENCE,I1NFLUENCE,Tluce,LUENCE,IYFLUEXCE,nIoxIE IFLUENCE,n1oIE IFLUENCE,NFLUENCE,IIoE IFLUENCE
52,Oakwood,Oakwool,Onkwood,,,,,,,,
53,Ceeil,INFIENCE,INILULENCE,INNFILUELNCE,INFILENCE,I1o INFILENCE,IIoIE INFILENCE,IYFLENCE,Benevolence,,
54,MIrs,NIrs,,,,,,,,,
55,whiceh,thicl,cloul,,,,,,,,
56,escapet,pcrhaps,hapy,,,,,,,,
57,herts,IIerbert,ernfty,Sentember,Easter,Haoweer,Exeter,Ereter,,,
58,Edwnrd,Iowrd,Elwnrd,IIis,IIownrd,,,,,,
59,"Prince
Charles",Chnrles,Wales,,,,,,,,
60,WVat,"that,-if",Salhatl,Whatl,,,,,,,
61,Esq,IMIPRESSED,quickncss,"assre
ou",Caithness,ress,,,,,
62,Llangwillan,Ill.,Ilangillan,,,,,,,,
63,lIndia,INDIA,India,Edinburgh,,,,,,,
64,Latin 1',Mlama,Mlary,Hlarris,las grown,Mlay,enslaer,L-l,Lady,LA,las
65,IIoIE INFLLENCE,IHFLLENCE,IIOWIE INFLLENCE,IIoMIE INFLUNCE,INTLLENCE,noIE INFLLENCE,oIE INFLLENCE,,,,
66,Prcsident,Henen,Yenr,benr,fenr,Godl Denth,denr,Spenk,,,
67,Dclont,Maldon,Ellon,herlong,Iondon,London,,,,,
68,marel,Dcnmark,md,Denmark,,,,,,,
69,Snmboe,wasa,N-7,Samboe,,,,,,,
70,Mliss Iarcourt,Harcourt,Mliss Harcourt,,,,,,,,
71,Moorlunds,Moorlands,Mloorlnnds,"childhool,--and",Mloorlands,,,,,,
