cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,du Nord,Is,Nord,ligne du Nord,,,,,,,,,,,,,,,,,,,,
1,Affaires,Maffaire,Affaires-,hôtel des Affaires-Étrangères,RY,F,"di

Un",,,,,,,,,,,,,,,,,
2,ÉDUCATION SENTIMENTALE,ÉDUCATION$SENTIMENTALE,ÉDUCATION SENTIMENTALE A1,"ou-

     
 

D LOS Me Cr nd

L'ÉDUCATION SENTIMENTALE","Er

 '

L'ÉDUCATION","ÉDUCATION SENTIMENTALE

Ligne","ÉDUCATION SENTIMENTALE

Quelquefois",".——.

IL

299 L'ÉDUCATION SENTIMENTALE","ÉDUCATION$SENTIMENTALE

Elle","AH 

 

 

 

L'ÉDUCATION SENTIMENTALE",,,,,,,,,,,,,,
3,Madeleine,hein,& Madeleine,Made-,Ur,AS',,,,,,,,,,,,,,,,,,
4,yatagans',Mostaganem,Ma-,Catau,,,,,,,,,,,,,,,,,,,,
5,Clerc,Srecle,ler,Cercle,Clere,"J 
   
   
 
 

90",,,,,,,,,,,,,,,,,,
6,Monversations,Monversations sur Léotade,Monvenable,Désubalternisation,,,,,,,,,,,,,,,,,,,,
7,ger,Jui,L’,Unité,Auger,,,,,,,,,,,,,,,,,,,
8,Deslauri,LU,Lyon,Deslau-,Dulaure,Deslauriers,m’,,,,,,,,,,,,,,,,,
9,Peuh,re=,Peuple,peu(l',Ivry,Peur,,,,,,,,,,,,,,,,,,
10,Corse,perse,corées,Orsay,enCore-,,,,,,,,,,,,,,,,,,,
11,Tues,Turque,Lesurques,socques,,,,,,,,,,,,,,,,,,,,
12,"rue de

Choiseul",Choiseul,rue de Choiseul,Roï,"rue de
Choiseul",rue de Chabrol,côte de Chaïlly,,,,,,,,,,,,,,,,,
13,Somme,ommença,La somme,Comment,Sombaz,BH HG,,,,,,,,,,,,,,,,,,
14,Poissonnière,turbotière,rue Paradis-Poissonnière,faubourg Poissonnière,Polisson,,,,,,,,,,,,,,,,,,,
15,Chinois,ru-,Bobino,Bains-Chinois,chine,Chine,,,,,,,,,,,,,,,,,,
16,Capitale,Capitalen,Pitié,la Capitale,Odry,Capitaine,A,,,,,,,,,,,,,,,,,
17,XII° arrondissement,XI° arrondissement,L1,EE,III arrondissement,J,Girondins,,,,,,,,,,,,,,,,,
18,"Champ
e Mars","Champ de
Mars",Cing-Mars,Champ de Mars,Es,Champ-de-Mars,,,,,,,,,,,,,,,,,,
19,madras,Heudras,4 Pomadère,Ljils,Madrid,,,,,,,,,,,,,,,,,,,
20,bois de Boulogne,Pologne,la Pologne,Boulogne,"Pologne el
italie",pol,,,,,,,,,,,,,,,,,,
21,lâquelle,Celles,Elle,Pellerin,ellE m,ellE,Mlle,Pellerin.-,rue Bellefond,Odéon,Belle-,Bellevue,àelle,Te rappelles,Belle-n,l.,Bagatelle,Nouvelles,Pelle-,Pelle,,,,
22,ampe,L'Olympe,As,Bac,,,,,,,,,,,,,,,,,,,,
23,Œrnais,Bourbonnais,Béarnais,Havanais,Connais,Lamennais,,,,,,,,,,,,,,,,,,
24,Muteuil,Auteuil,teuil,,,,,,,,,,,,,,,,,,,,,
25,Gaspardo,Par=,Paraguay,reparul,IL,Pardon,Parly,,,,,,,,,,,,,,,,,
26,Ee,Polonaise,Ro,Polonais,La Polonaise,,,,,,,,,,,,,,,,,,,
27,Débar-,Barcelone,mo=,po,Barbès,Ar-,,,,,,,,,,,,,,,,,,
28,du Havre,Havrais,gare du Havre,au Havre,Gymnase,le Havre,,,,,,,,,,,,,,,,,,
29,Blackstone,Creton,Ton,Tons,el,,,,,,,,,,,,,,,,,,,
30,IN,Frédéricæ,Frédéricnew,Frédéric,Frédérie,-Ærédéric,,,,,,,,,,,,,,,,,,
31,Brie,Burrieu,"Pénu-
rie",Adieu,irrévencieux,,,,,,,,,,,,,,,,,,,
32,la Seine,La Fougère,NURRT,La Seine,vo,Seine,,,,,,,,,,,,,,,,,,
33,Garçon,Gare,Niagara,"garcon
Æse",,,,,,,,,,,,,,,,,,,,
34,Rome,Hippodrome,Opposi-,Roméo,,,,,,,,,,,,,,,,,,,,
35,buis,Mipuis,Douis,,,,,,,,,,,,,,,,,,,,,
36,"oCcäs
sion",Sion,Albion,Religion,Mion,,,,,,,,,,,,,,,,,,,
37,J1,rue de Valois,rue de Bréda,rue de,rue Soufflot,rue de Marbœuf,rue Duphot,rue de Rivoli,rue Jacob,rue de Richelieu,rue Descartes,rue d'Anjou,rue des Martyrs,rue du Bac,rue de Fleurus,rue Dauphine,rue d',Dijon,,,,,,
38,Métour,Tournelle,la Tournelle,Letourneur,Luxem-,,,,,,,,,,,,,,,,,,,
39,Bordelais,Rs,Bordelaise,delan,P,Bordes,Bordeaux,,,,,,,,,,,,,,,,,
40,ER OT,ete er N,,,,,,,,,,,,,,,,,,,,,,
41,Regimbart,Regim-,VI,Regimbertx,Olympe Regimbart,Flambart,Regim=,Barthélemy,,,,,,,,,,,,,,,,
42,"communi=

 AH 
 AH 
 X","AH 
 
 
 AH 
 
 AH 
 LE 

L'ÉDUCATION","AH 
 

|","AH 
 AH 
 AH","AH 
   
 
 AH 
 AH","“

   
 AH 
     
   
 
 
 AH","AH 
   
 AH 
   
 AH",,,,,,,,,,,,,,,,,
43,Syloro,Hôtel-,d’Alors-Hôte,,,,,,,,,,,,,,,,,,,,,
44,Minuait,Menait,Miouhaitait,Lfita,Mlait,Merait,Métait,,,,,,,,,,,,,,,,,
45,Etil,etil,,,,,,,,,,,,,,,,,,,,,,
46,héclara,Pharamond,E£,Varaud,Marast,léclara,,,,,,,,,,,,,,,,,,
47,Avez,Etavec,Savez,,,,,,,,,,,,,,,,,,,,,
48,Gouvernem,Caverne-des- Brigands,Le Gouvernement,Gouverne-,Gouvernement,,,,,,,,,,,,,,,,,,,
49,Toutle,d’York,retou,outle,,,,,,,,,,,,,,,,,,,,
50,Alpes,Archevêque,l’,Hu-,Hiérarchie,d’,jura,Villeneuve-l'Archevêque,,,,,,,,,,,,,,,,
51,quai Voltaire,quai d'Orsay,voluplueux,J-,,,,,,,,,,,,,,,,,,,,
52,place de la Bastille,pont de la Concorde,place de la Conæ,place de la Concorde,place de la Bourse,"place de Van-
meroy",,,,,,,,,,,,,,,,,,
53,"porte
Maillot",upporter,HeBortez,s’exalter,pOrte s.,porn,porte de l'Alhambra,co=,,,,,,,,,,,,,,,,
54,Opéra,opéra,uN,Bohême,,,,,,,,,,,,,,,,,,,,
55,- Bastille,Bastille jusqu’,la Bastille,,,,,,,,,,,,,,,,,,,,,
56,l’'embrasser,l’'embrassàät,s’'embrassent,Mbravade,Brasseur,,,,,,,,,,,,,,,,,,,
57,senti=-,sentan,Présentez,SENTIMENTALE,"SENTIMENTALE

 
 
 
     
   
 AH 
 
 
 AH 
 
 
 
 
 
 J",Vraiment,cuenta nu-n,"SENTIMENTALE

   
   
   
 AH 
 X",sermentde,,,,,,,,,,,,,,,
58,Bourges,bour de basque,Hapsbourg,Bourgogne,turge,ourgogne,Bourse,mêmt,de Bourges,Mazas,Luxembourg,,,,,,,,,,,,,
59,"ha-
ward",gard,Gardes,gardE,Garde-Meubles,garderai,Garde-,,,,,,,,,,,,,,,,,
60,fIgurez,rez,Ambigu,serrure,,,,,,,,,,,,,,,,,,,,
61,cherie,Cher,coucher,Herbigny,cherchais,,,,,,,,,,,,,,,,,,,
62,Mnamnés,B,Écosse,Colosse,Etun,,,,,,,,,,,,,,,,,,,
63,gènée,Lquante-trois journaux,Lquante,quan,oCcäs,Miquand,Muant,,,,,,,,,,,,,,,,,
64,Angleterre,angleterre,Mar terre,Let,,,,,,,,,,,,,,,,,,,,
65,Doucement,Mrodigieusement,gie,Délassements,,,,,,,,,,,,,,,,,,,,
66,brigand,Balandard,Anda-,Andalouse,L'Andalouse,Irlandais,,,,,,,,,,,,,,,,,,
67,Naples,Napo-,Napowr,,,,,,,,,,,,,,,,,,,,,
68,fEMme-Sauvage,MMe,Mme‘à,In,,,,,,,,,,,,,,,,,,,,
69,Buzançais,"Révo-
lution française",Français,Française,Miyança,François,Théâtre-Français,Comédie-Française,dew,Avança,,,,,,,,,,,,,,
70,rue Notre-,Notre-Dame,Ro-,pierre de Notre-Dame,Notre-,Samedi,"Notre-Dame de
odette",,,,,,,,,,,,,,,,,
71,As-tu cent,Hui-,As-tu,Vas-1,Es-tu,,,,,,,,,,,,,,,,,,,
72,"Champs-
Élysées",Champs-Élysées,Élysées,Champs-,,,,,,,,,,,,,,,,,,,,
73,Laval,sxes,Wlavantages,val #,,,,,,,,,,,,,,,,,,,,
74,fréquenw,pUisque-nique,afriquE,Quoique,Aque,Belgique,Msique,afrique,narcotiquemm,Lique,Btique,Esthétique,,,,,,,,,,,,
75,Arroux,Carrousel,Carousel,place du Carrousel,"place du
Carrousel",,,,,,,,,,,,,,,,,,,
76,Chambord,Cham,Chaïlly,Cham-,Béchamel,,,,,,,,,,,,,,,,,,,
77,Renaissance,tenaim,la Renaissance,QU,Renais-,York,,,,,,,,,,,,,,,,,,
78,Châtelet,Châte-,châtaigners,châle,L,curaçao,,,,,,,,,,,,,,,,,,
79,Dumersan,san,Sans,san bond,,,,,,,,,,,,,,,,,,,,
