cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0.0,Autriche,Fumichon,d’autriche,tricorne,Richelieu,Autrichiens,autriche,,,,,,,,,,,,,,,,
1.0,du Nord,Norvins,Nord,ligne du Nord,,,,,,,,,,,,,,,,,,,
2.0,Affaires,Maffaire,Affaires-,Le Vicaire,hôtel des Affaires-Étrangères,,,,,,,,,,,,,,,,,,
3.0,ÉDUCATION SENTIMENTALE,ÉDUCATION$SENTIMENTALE,ÉDUCATION SENTIMENTALE A1,"ou-

     
 

D LOS Me Cr nd

L'ÉDUCATION SENTIMENTALE","Er

 '

L'ÉDUCATION","ÉDUCATION SENTIMENTALE

Ligne","ÉDUCATION SENTIMENTALE

Quelquefois",".——.

IL

299 L'ÉDUCATION SENTIMENTALE","ÉDUCATION$SENTIMENTALE

Elle","AH 

 

 

 

L'ÉDUCATION SENTIMENTALE",,,,,,,,,,,,,
4.0,Madeleine,& Madeleine,Made-,,,,,,,,,,,,,,,,,,,,
5.0,yatagans',Mostaganem,Catau,,,,,,,,,,,,,,,,,,,,
6.0,Monversations,Monversations sur Léotade,Monvenable,,,,,,,,,,,,,,,,,,,,
7.0,ger,Auger,,,,,,,,,,,,,,,,,,,,,
8.0,Deslauri,Deslau-,Dulaure,Deslauriers,,,,,,,,,,,,,,,,,,,
9.0,Suisse,suischagrin,suisse,Pâlisserie,Laisse,Suissesse,,,,,,,,,,,,,,,,,
10.0,Châtelet,Châte-,châtaigners,Let,,,,,,,,,,,,,,,,,,,
11.0,Corse,perse,corées,enCore-,,,,,,,,,,,,,,,,,,,
12.0,Tues,Turque,Lesurques,,,,,,,,,,,,,,,,,,,,
13.0,rue de la Ferme et de la rue Tronchet,statue de la Liberté,hôtel de la rue Tronchet,pont de la Boucherie,rue de la Paix,La Fougère,Art et de la Nature !,"tic-tac de la
pendule",seuil de la lorette,rue Tronchet,rue de la Ferme,rue de la Harpe,,,,,,,,,,,
14.0,"rue de

Choiseul",Choiseul,rue de Choiseul,"rue de
Choiseul",,,,,,,,,,,,,,,,,,,
15.0,Somme,ommença,La somme,Comment,Sombaz,,,,,,,,,,,,,,,,,,
16.0,Sauvagesse,fEMme-Sauvage,,,,,,,,,,,,,,,,,,,,,
17.0,Poissonnière,"la der-f
nière lettre du mot",turbotière,rue Paradis-Poissonnière,faubourg Poissonnière,Polisson,,,,,,,,,,,,,,,,,
18.0,Mabitudes,Mably,Institut,Dess,Hespérides,,,,,,,,,,,,,,,,,,
19.0,Capitale,Capitalen,Pitié,la Capitale,Capitaine,,,,,,,,,,,,,,,,,,
20.0,saus,AussI,causér,Saumon,,,,,,,,,,,,,,,,,,,
21.0,Aïnsi,Considérant,expansif,,,,,,,,,,,,,,,,,,,,
22.0,"Champ
e Mars","Champ de
Mars",ampe,Cing-Mars,Champ de Mars,Champ-de-Mars,,,,,,,,,,,,,,,,,
23.0,madras,Heudras,4 Pomadère,Madrid,Marast,,,,,,,,,,,,,,,,,,
