cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
0,Autriche,Fumichon,d’autriche,tricorne,Richelieu,Autrichiens,autriche,,,,,,,,,,,,,,,,,,,,,,,,
1,du Nord,S,Nord,ligne du Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Affaires,Maffaire,Affaires-,Whiffres,quai Voltaire,Le Vicaire,hôtel des Affaires-Étrangères,,,,,,,,,,,,,,,,,,,,,,,,
3,ÉDUCATION SENTIMENTALE,ÉDUCATION$SENTIMENTALE,ÉDUCATION SENTIMENTALE A1,"ou-

     
 

D LOS Me Cr nd

L'ÉDUCATION SENTIMENTALE","Er

 '

L'ÉDUCATION",ÉDUCOTION,"ÉDUCATION SENTIMENTALE

Ligne","ÉDUCATION SENTIMENTALE

Quelquefois",".——.

IL

299 L'ÉDUCATION SENTIMENTALE","ÉDUCATION$SENTIMENTALE

Elle","AH 

 

 

 

L'ÉDUCATION SENTIMENTALE",,,,,,,,,,,,,,,,,,,,
4,Madeleine,& Madeleine,Made-,Delmar,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,yatagans',Mostaganem,S',,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Clerc,Srecle,Cercle,bercé,Clere,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Monversations,Vational,M,Monversations sur Léotade,Révélation,Monvenable,Désubalternisation,,,,,,,,,,,,,,,,,,,,,,,,
8,Deslauri,Deslau-,Deslauriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ee,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Châtelet,T3,Châte-,châle,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,rue de la Ferme et de la rue Tronchet,rue Transnonain,statue de la Liberté,hôtel de la rue Tronchet,pont de la Boucherie,rue de la Paix,Art et de la Nature !,porte de l'Alhambra,Jls,bêtise de la Ligne,"la der-f
nière lettre du mot",seuil de la lorette,ferme de Presles,PE dé be Sont!,rue Tronchet,rue de la Ferme,ete er N,rue de la Harpe,colonne de Juillet,,,,,,,,,,,,
