cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
0,Connais,Havanais,Œrnais,Lamennais,Bourbonnais,Béarnais,,,,,,,,,,,,,,,,,,,,,,
1,Laisse,Suisse,suischagrin,Mipuis,Suissesse,buis,suisse,Pâlisserie,Æ,,,,,,,,,,,,,,,,,,,
2,fiacre,ter le fiacre,nacre,,,,,,,,,,,,,,,,,,,,,,,,,
3,mans,Ma-,Maman,manche,Mormans,expansif,Mans,,,,,,,,,,,,,,,,,,,,,
4,Cour,Ambrecicourt,Jour,Nonancour,Nonancourt,Pour-,Flacourt,co=,Cousin,Sourdun,Véfour,coucou,,,,,,,,,,,,,,,,
5,Deslauri,Deslau-,Dulaure,Deslauriers,,,,,,,,,,,,,,,,,,,,,,,,
6,Château-d'Eau,"Château
d'Eau",Châte-,le Château-d'Eau,Châtelet,Châteauroux,,,,,,,,,,,,,,,,,,,,,,
7,Somme,La somme,l’'Almanach du Commerce,Comment,ommença,Mme‘à,M,Sombaz,MMe,,,,,,,,,,,,,,,,,,,
8,Mbonne,Sorbonne,sala Bonne-Non-,bonds,abandonneR,,,,,,,,,,,,,,,,,,,,,,,
9,Jardin des plantes,Jardin des Plantes,nn dôme,,,,,,,,,,,,,,,,,,,,,,,,,
10,As-tu,Sais-tu,Es-tu,As-tu cent,,,,,,,,,,,,,,,,,,,,,,,,
11,s’endormant,s’,Normandes,,,,,,,,,,,,,,,,,,,,,,,,,
12,notre République,République,"République b

me paraît vieille",Républiquelh,._.,D-,République b,,,,,,,,,,,,,,,,,,,,,
13,bosquet,Bouquet-,Parquet,Muet,bour de basque,,,,,,,,,,,,,,,,,,,,,,,
14,Jonc,D|,Poncif,Ça n. Donc,Dijon,,,,,,,,,,,,,,,,,,,,,,,
15,Chapitre,Chapeau,chaperon,Peaux-Rouges,Shakspeare,,,,,,,,,,,,,,,,,,,,,,,
16,Palais-Royal,théâtre du Palais-Royal,"Palais-
Royal",pont Royal,rue Royale,croyait}.,Palazot,"Pa-
air-Royal",Palais,,,,,,,,,,,,,,,,,,,
17,Marthe,Barthélemy,Mile Marthe,Mlle Marthe,Margot,,,,,,,,,,,,,,,,,,,,,,,
18,"ÉDUCATION$SENTIMENTALE

Elle",ÉDUCATION SENTIMENTALE,"ou-

     
 

D LOS Me Cr nd

L'ÉDUCATION SENTIMENTALE","Er

 '

L'ÉDUCATION",ÉDUCATION$SENTIMENTALE,"AH 

 

 

 

L'ÉDUCATION SENTIMENTALE","ÉDUCATION SENTIMENTALE

Quelquefois",ÉDUCATION SENTIMENTALE A1,ÉDUCOTION,".——.

IL

299 L'ÉDUCATION SENTIMENTALE","ÉDUCATION SENTIMENTALE

Ligne",,,,,,,,,,,,,,,,,
19,du Nord,ligne du Nord,Nord,,,,,,,,,,,,,,,,,,,,,,,,,
20,Arroux,Carrousel,"place du
Carrousel",bp,place du Carrousel,Carousel,,,,,,,,,,,,,,,,,,,,,,
21,Enfin-,E,eNfin-,,,,,,,,,,,,,,,,,,,,,,,,,
22,Odéon,Ton,commanderas ton ca,Creton,Lyon,Tons,Blackstone,,,,,,,,,,,,,,,,,,,,,
23,Affaires,hôtel des Affaires-Étrangères,Le Vicaire,Maffaire,quai Voltaire,Affaires-,,,,,,,,,,,,,,,,,,,,,,
24,Godefroy,E£,Jouffroy,Anjou,passage Jouffroy,Mouffetard,souffreZ,,,,,,,,,,,,,,,,,,,,,
25,Pie,gie,Pierrot,,,,,,,,,,,,,,,,,,,,,,,,,
26,teuil,T3,Muteuil,Auteuil,seuil du boudoir,,,,,,,,,,,,,,,,,,,,,,,
27,"boulevard des
Mapucines",boulevards des Gobelins,boulevard de l'Hôpital,cines,,,,,,,,,,,,,,,,,,,,,,,,
