cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,tre-,Fêtre,étre,TR,Lambertremit,,,,,,,,,,,,,,,,,,,
1,Cœur-de-Roy,Î,proménade,carioledeM. Cœur-de-Roy,,,,,,,,,,,,,,,,,,,,
2,ON,longues,Prononcez,Monsei-,Pignon,sion,Ï,Laon,Noyon,,,,,,,,,,,,,,,
3,Ursulines de,Ÿ,Ursulines,"énée

L

des mains",Turin,jardin des Hespérides,Devinez,Bouvines,couvent des Ursulines,,,,,,,,,,,,,,,
4,Jo-,Jouet,sès,,,,,,,,,,,,,,,,,,,,,
5,Lameth,Lamethr,Mets,Bussy-Lameth,,,,,,,,,,,,,,,,,,,,
6,P,Pa-,Ma-,parläet,span,Na-,pays-c,Ga-,Paris,,,,,,,,,,,,,,,
7,Si-,Pi-,Etsi,Jeudi-,Sis=,Sire,Choi-,Eh,,,,,,,,,,,,,,,,
8,Mortagne,gne,Craignez,Espagne,b59,Allemagne,Champagne,Pignerol,Bourgogne,,,,,,,,,,,,,,,
9,Gardez,Garde-moi,Partez,Picarde,Vovray de Garderé,,,,,,,,,,,,,,,,,,,
10,Belette,Le - Une,Où voulez,LE,ler,sur-le-champ,"par-

LE",lâle,soleil,Civile,Etle,Lejeune,,,,,,,,,,,,
11,J2À.,Argus,nôus,Bussy,Causa,Bussy-La-,"M. de
Bussy",Bussy-Laméth,"Bussy
d'Amboise",,,,,,,,,,,,,,,
12,S,A,,,,,,,,,,,,,,,,,,,,,,
13,Cossé,La!comtesse,"| -
Vers le soir la comtesse",Abbesse,raccommoda,"com-

-

tesse",,,,,,,,,,,,,,,,,,
14,postillon,po,IL,Etils,Allons,,,,,,,,,,,,,,,,,,,
15,M. Chardy,Char-,chard,chavannes,Chapelain,Picardie,m’,Cherche,,,,,,,,,,,,,,,,
16,enne,Quincy,Minence,Émineñce,A',dence,Lamineït,sine,Providence,,,,,,,,,,,,,,,
17,aimais,Jamais,Âaimez,maine,Jaquais,sais,M,Aixin,"75

Sortait",,,,,,,,,,,,,,,
18,château de Pignon,GHAÏEAU DE BINON,CHATEAU DE,LE CHATÉAU DE SINON,"Ma-

138 LE CHATEAU DE SINON",Sinon,château de Sinon!,CHATEAU DE PENON,CHATEAU DE NIKON,CHATEAU DE SINON,CHAÏAU DÉ SINON,CHÂTEAU DE SINON,CHATEAU DE BINON,terre de Sinon,"château

de Sinon",auberge de Saint-Gabriel,château de Sinon,CHATEAU,"au-

LE CHAPEAU DE SINON","gra-

86 LE CHATEAU DE SINON",Chavignon,Noñ,TE Se,CHATÉAU DE SINON
19,château de Fayel,château d'Anizy,château d’Anizy,Beaupré,d’,Anizy-le-Châtel,,,,,,,,,,,,,,,,,,
20,houx,choseé,Houx,verroux,,,,,,,,,,,,,,,,,,,,
21,Väimera,Ver-,Enfer-,verras,,,,,,,,,,,,,,,,,,,,
22,fallüt,lüi,allät,,,,,,,,,,,,,,,,,,,,,
23,Hautefort,moselle de Hautefort,Faut,Rochefort,supporterai,,,,,,,,,,,,,,,,,,,
24,125,perlé,perle,PEL TE,Orléans,,,,,,,,,,,,,,,,,,,
25,Villers-Cotterets,château de Versailles,méveille,sailles,Villeroy,Versailles,Surveillée,"château
de Versailles",,,,,,,,,,,,,,,,
26,tourneñts,Coucy,meuré,tour,Peur,Corcy,Cour,Mothe-Houdancourt,Audincourt,Lanissecourt,Tours,Courval,jura,Hennecourt,Couëy,Tout-à-coup,Corée,léur,Journée,,,,,
27,St,Cest,Nousdemeureronstouteslesdeux,Grâces,Majesté,Est,Statut,Estrées,,,,,,,,,,,,,,,,
28,moselle de Rochefort,sâde lâle,Carrousel,"théâtre de
Corneille",Roucy,selle de Roucy,"place de Jo-

guet",Champagne de Navarre,chambre de mademoiselle de Roucy,maderoïselle de Roucy,moselle de Roucy,M. de Roucy,Mademoiselle de Roucy,,,,,,,,,,,
29,adorable Hen.,Adorable Charlotte,DO,,,,,,,,,,,,,,,,,,,,,
30,abbaye de Prémontré,Répondre,Où,rémonie,Rémond,,,,,,,,,,,,,,,,,,,
31,Maintenant,galantin,Saint-Jean-d'Acre,E,Saint-Quentin,rue Saint-Honoré,Rhin,continua-t-éelle,Fontainebleau,NH,,,,,,,,,,,,,,
32,Îlme,Îl,Îles,Îls,,,,,,,,,,,,,,,,,,,,
33,france,"Écu

de France",franée,Fr,tyranme,de France,Cour de France,"Cour de France dans.le vieux
château de François",D,France,Écu de France,la France,,,,,,,,,,,,
34,As-tu,Grois-tu,vis-à-,Sais-tu ce,"Sis-
I",Grois,,,,,,,,,,,,,,,,,,
35,Croix-Blanché,Croïx-Blanche,"auberge

de la Croix-Blanché",,,,,,,,,,,,,,,,,,,,,
36,Anim,vingtans,pälissant,Anis,Venise,Vivant,Anizy,Normandie,Clan,,,,,,,,,,,,,,,
37,Ïl,"Haï-
val",Chaïlés,Cédés,,,,,,,,,,,,,,,,,,,,
38,Am-,laïs,Lam-,lamin,,,,,,,,,,,,,,,,,,,,
39,Cr,Croyez-,Trouvez-,Roï,Voyez,"Cr

66",,,,,,,,,,,,,,,,,,
40,Insensée,Bohémiens,Conscience,vienne,miens,gie,Dien,Auraient,,,,,,,,,,,,,,,,
41,1l,Passionnément,t’,passe-t-1l,Ramasse,,,,,,,,,,,,,,,,,,,
42,Savez,Avez,Venez,,,,,,,,,,,,,,,,,,,,,
43,Dubois,Is,Pavois,Vois,Vaudois,Voilà,croisée,s’,Jé,,,,,,,,,,,,,,,
44,Tonnay-Charente,Carmélites,Attends,Parfaitement,Rentrée,Terre-Sainte,Tarente,,,,,,,,,,,,,,,,,
45,—- J',J',,,,,,,,,,,,,,,,,,,,,,
46,"Son-

grie",Lopison,Louison,SOINS,Sissone,Soyons,Soissons,SOISSONS,,,,,,,,,,,,,,,,
47,aéc,Comptez,Ajoutez,Acceptez,lout,Écoutez,,,,,,,,,,,,,,,,,,
48,c1,Ia,,,,,,,,,,,,,,,,,,,,,,
49,Fayel,AÀ,celaà,,,,,,,,,,,,,,,,,,,,,
50,AIMÉE JUSQU'A LA MORT,Mothe,La Mothe,,,,,,,,,,,,,,,,,,,,,
51,Vousprendrez,I,noîre,Comment,Flandre,séduire,Comprendre,,,,,,,,,,,,,,,,,
52,brocäet,"AI-

bret",Bre,Albret,Albret etle,,,,,,,,,,,,,,,,,,,
53,tonnelle,Ellé,Moyenbrie,crièreni-elles,brielle,Quelle,,,,,,,,,,,,,,,,,,
54,Lauzun,CU,Aucunes,,,,,,,,,,,,,,,,,,,,,
55,Louis-le-Grand,Rou-,Oui,Louis-le-Gros,,,,,,,,,,,,,,,,,,,,
56,Pas,Lassée,AS,,,,,,,,,,,,,,,,,,,,,
57,Manquerai,arquebuse,Quoiqu,vêque,qu’,Fresque,que',,,,,,,,,,,,,,,,,
58,nature.de,Cerbères,au-,| Pauvre,Maures,bure,,,,,,,,,,,,,,,,,,
59,Lavallère,palais de la reine,"repliqua Pi-

326","49

Vallière",moselle de la Vallière,La Vallière,,,,,,,,,,,,,,,,,,
60,Céries,piers,Henriette,Derrière,homrie,terie,,,,,,,,,,,,,,,,,,
61,Mesdemoiselles,Demploi-,moi,Made-,Demandes,Mademoiselle,moselle,mademoiselle,,,,,,,,,,,,,,,,
62,pp ee Emme,N E,"-

— Exil",,,,,,,,,,,,,,,,,,,,,
63,Je,en',"en'a

 

LE",Jen',,,,,,,,,,,,,,,,,,,,
