cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0.0,Jen',Quincy,en',"en'a

 

LE",,,,,,,
1.0,meuré,Nousdemeureronstouteslesdeux,Peur,,,,,,,,
2.0,carioledeM. Cœur-de-Roy,Cœur-de-Roy,,,,,,,,,
3.0,Houx,houx,,,,,,,,,
4.0,Garde-moi,moi,Vovray de Garderé,Gardez,,,,,,,
5.0,moselle de Hautefort,span,Hautefort,moselle,Faut,moselle de Rochefort,Rochefort,,,,
6.0,Enfer-,Ver-,,,,,,,,,
7.0,château de Sinon!,CHÂTEAU DE SINON,château de Pignon,Sinon,château de Fayel,GHAÏEAU DE BINON,CHAÏAU DÉ SINON,château de Sinon,"château

de Sinon",TE Se,terre de Sinon
8.0,Grois,croisée,Grois-tu,,,,,,,,
9.0,Versailles,"château
de Versailles",château de Versailles,sailles,Îles,piers,,,,,
10.0,Ramasse,Pas,passe-t-1l,,,,,,,,
11.0,tour,Journée,Tours,tourneñts,,,,,,,
12.0,Sire,séduire,,,,,,,,,
13.0,Jamais,aimais,Âaimez,Jaquais,,,,,,,
14.0,Soyons,Noyon,Monsei-,,,,,,,,
15.0,lamin,Lamineït,Émineñce,,,,,,,,
16.0,tre-,au-,étre,Lambertremit,Fêtre,,,,,,
17.0,vêque,que',arquebuse,Fresque,,,,,,,
18.0,Chapelain,celaà,PEL TE,,,,,,,,
19.0,Albret etle,"AI-

bret",Albret,Etle,Bre,,,,,,
20.0,auberge de Saint-Gabriel,Terre-Sainte,Saint-Jean-d'Acre,rue Saint-Honoré,Saint-Quentin,,,,,,
21.0,Villers-Cotterets,Villeroy,pays-c,Civile,ler,,,,,,
22.0,la France,de France,France,Cour de France,Écu de France,"Écu

de France",franée,"Cour de France dans.le vieux
château de François",france,tyranme,
23.0,SOINS,Soissons,SOISSONS,Sissone,,,,,,,
24.0,Pi-,"repliqua Pi-

326",Quoiqu,,,,,,,,
25.0,terie,Céries,homrie,"Son-

grie",Moyenbrie,,,,,,
26.0,Cossé,Lassée,Insensée,,,,,,,,
27.0,Rémond,rémonie,abbaye de Prémontré,,,,,,,,
28.0,Dubois,Vaudois,Pavois,Voilà,Vois,,,,,,
29.0,perlé,Orléans,perle,,,,,,,,
30.0,Etils,longues,postillon,Allons,,,,,,,
31.0,Aucunes,Lejeune,Le - Une,Jeudi-,,,,,,,
32.0,Dien,jura,Auraient,,,,,,,,
33.0,Am-,Lam-,,,,,,,,,
34.0,CHATEAU DE SINON,"au-

LE CHAPEAU DE SINON",LE CHATÉAU DE SINON,Ma-,"Ma-

138 LE CHATEAU DE SINON","gra-

86 LE CHATEAU DE SINON",CHATÉAU DE SINON,,,,
35.0,Ursulines de,Ursulines,couvent des Ursulines,,,,,,,,
36.0,Voyez,Croyez-,,,,,,,,,
37.0,Henriette,Belette,Attends,,,,,,,,
38.0,Clan,Croix-Blanché,Croïx-Blanche,Cherche,Roï,"auberge

de la Croix-Blanché",,,,,
39.0,Majesté,Est,Cest,Grâces,Estrées,,,,,,
40.0,"énée

L

des mains",Maintenant,maine,Fontainebleau,,,,,,,
41.0,Etsi,Mets,,,,,,,,,
42.0,Lopison,Louison,Oui,,,,,,,,
43.0,Ellé,continua-t-éelle,crièreni-elles,Quelle,tonnelle,brielle,,,,,
44.0,Prononcez,Minence,Conscience,Providence,dence,,,,,,
45.0,Parfaitement,raccommoda,Comment,pp ee Emme,,,,,,,
46.0,Corcy,Corée,,,,,,,,,
47.0,CHATEAU DE NIKON,Beaupré,CHATEAU DE,CHATEAU DE BINON,CHATEAU DE PENON,CHATEAU,,,,,
48.0,"Haï-
val",La Vallière,Lavallère,moselle de la Vallière,"49

Vallière",Cerbères,Derrière,,,,
49.0,Allemagne,allät,fallüt,,,,,,,,
50.0,Bohémiens,miens,,,,,,,,,
51.0,Venez,Devinez,sine,vingtans,Bouvines,,,,,,
52.0,Comprendre,Répondre,Où voulez,Vousprendrez,Flandre,,,,,,
53.0,Jouet,"place de Jo-

guet",Jo-,,,,,,,,
54.0,AIMÉE JUSQU'A LA MORT,La Mothe,Mothe,,,,,,,,
55.0,lâle,sâde lâle,palais de la reine,,,,,,,,
56.0,soleil,Surveillée,"théâtre de
Corneille",méveille,,,,,,,
57.0,chard,Chaïlés,M. Chardy,Char-,,,,,,,
58.0,proménade,mademoiselle,Mademoiselle,Mesdemoiselles,Made-,,,,,,
59.0,vienne,Hennecourt,enne,,,,,,,,
60.0,Picarde,Carmélites,jardin des Hespérides,Picardie,,,,,,,
61.0,Vivant,pälissant,galantin,,,,,,,,
62.0,Pignon,Chavignon,chavannes,,,,,,,,
63.0,vis-à-,Sis=,"Sis-
I",,,,,,,,
64.0,sion,Passionnément,,,,,,,,,
65.0,Maures,Turin,bure,nature.de,Statut,,,,,,
66.0,M. de Roucy,maderoïselle de Roucy,Coucy,Roucy,chambre de mademoiselle de Roucy,selle de Roucy,Mademoiselle de Roucy,moselle de Roucy,,,
67.0,Bourgogne,Pignerol,gne,Craignez,Mortagne,,,,,,
68.0,Louis-le-Grand,Louis-le-Gros,,,,,,,,,
69.0,Partez,"par-

LE",brocäet,Paris,parläet,,,,,,
70.0,Venise,Anis,Anim,,,,,,,,
71.0,Normandie,Fayel,Demandes,,,,,,,,
72.0,adorable Hen.,Adorable Charlotte,,,,,,,,,
73.0,Tonnay-Charente,Rentrée,Tarente,,,,,,,,
74.0,Savez,Trouvez-,Avez,,,,,,,,
75.0,Lanissecourt,Mothe-Houdancourt,Courval,Couëy,Audincourt,Cour,,,,,
76.0,Comptez,Acceptez,,,,,,,,,
77.0,Bussy-La-,"Bussy
d'Amboise","M. de
Bussy",Bussy,Bussy-Laméth,,,,,,
78.0,Carrousel,verras,Rou-,verroux,,,,,,,
79.0,Tout-à-coup,Écoutez,Ajoutez,lout,,,,,,,
80.0,Lameth,Bussy-Lameth,Lamethr,,,,,,,,
81.0,choseé,Demploi-,Choi-,,,,,,,,
82.0,Manquerai,"75

Sortait",Väimera,supporterai,,,,,,,
83.0,As-tu,sais,Sais-tu ce,,,,,,,,
84.0,château d'Anizy,Anizy,château d’Anizy,Anizy-le-Châtel,,,,,,,
85.0,"com-

-

tesse","| -
Vers le soir la comtesse",Abbesse,La!comtesse,,,,,,,
86.0,sur-le-champ,Champagne de Navarre,Espagne,Champagne,,,,,,,
