cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,serrure,Perret,Eretry,Impureté,Étretat,Angleterre,,,,,,
1,Voudrez,Paulet,Poulet,Voulez,Voyez,souleva,,,,,,
2,Thysbé,Belzébuth,,,,,,,,,,
3,Varneville,Versailles,Barville,Batteville,Marseille,Montivilliers,Vrillette,Beuzeville,terre de Barville,gare de Beuzeville,Goderville,tilleul
4,Couillon,Fourville,Coursil-Courville,Lamoureux,Coursil,Bourse,Sacré-Cœur,,,,,
5,mer là,mer là-bas,,,,,,,,,,
6,Verneuil,Lerat,Éternelle,alaternes,Athènes,Gênes,Mornes,,,,,
7,Hauts,hameau de,phare de Fécamp,château des Peuples,Chambre-aux-Demoiselles,rue du Sauvage,ieau,Pyrame,,,,
8,Méditerranée,la France,France,Grèce,,,,,,,,
9,la Seine,champagne,Chine,Jardin,Chinois,sapins,Madeleines,,,,,
10,Suisse,buis,Encaissée,housses,Surprise,,,,,,,
11,mont Riboudet,menton,Remontée,Étouvent,Dentu,calme-toi,Saint-Léonard,Rentrons,,,,
12,mignonne,Mignonne,Midi,tonnelle,,,,,,,,
13,Londres,Réponds,Évaporée,Lapons,Répondez,,,,,,,
14,connais-tu,Lison,Lise,Bonsoir,surplis,Songe,Religion,,,,,
15,pays de Caux,Pas de lune,lune,Le Perthuis des Vauds,golfe de Sagone,,,,,,,
16,Rollebosc,Allemagne,Tolbiac,Niolo,Bassolle,Folle,Hollande,,,,,
17,Vaucotte,Guettez,Attendu,Crotte,Croquerat,,,,,,,
18,rue du Havre,Sèvres,du Havre,Le Havre,collège du Havre,au Havre,,,,,,
19,Évisa,bois bruni,Briseville,Viloise,Roi-Louis,Voilà,,,,,,
20,soleil,Le soleil,le soleil,,,,,,,,,
21,Normandie,mangeât,hôtel de Normandie,Flamands,Damas,Normand,Normande,,,,,
22,Picot,Chicorées,Corniche,Couche,,,,,,,,
23,Paris,vert-de-gris,reparue,Crisange,,,,,,,,
24,P,La Corse,Corse d'Évisa,Le Corse,Corse,dormeuse,,,,,,
25,Reminil,oremus,quem devoret,l'Empire,,,,,,,,
26,cognac,Auvergne,Cologne,Cigogne,cigogne,Ajaccio,,,,,,
27,I,Rappelée,Naples,Quittez-le,bras-le-corps,apportez-les-moi,donne-les-moi,mariez-les,Yport,,,
28,Florence,Providence,Enchaînée,Provence,Rouen,,,,,,,
29,souffletterai,aimais,Livourne,Soudain,jura,Romaines,Sainte-Hélène,Touraine,,,,
30,bésigue,Cité,Côte,Tantôt,habitué,Sitôt,,,,,,
31,Amérique,Afrique,l'Afrique,L'Amérique,,,,,,,,
32,Savez,Fuyez,Bravo,javelle,Avez,,,,,,,
33,Accoutumé,Coutelier,bécota,Eut,Écoutez,,,,,,,
34,Rosalie,pâlie,d'Italie,Oriental,Italie,supplie,,,,,,
35,Attirée,Lucienne,Combien,Impatienté,Vierge,Envoie,obséquieux,Tiens,Julien,,,
36,Albertacce,Gilberte,comtesse Gilberte,Bolbec,,,,,,,,
37,Piana,Fécamp,Cany,Ganache,Cargèse,Cana,,,,,,
38,Anti-physiques,plaçât,Adélaïde,Quelquefois,bosquet,Qué,Bastia,basques,Las,Lastique,,
39,alluma,val d'Ota,halées,caleçon,Royales,varech,Palais-Royal,air du Val,vallon sauvage d'Ota,val,dévala,
40,Autrefois,Notre-Dame du Gros-Ventre,Mars,Madère,Apôtres,Barbes-de-capucin,Trois-Mares,,,,,
