cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,Vaucotte,Picot,Crotte,bécota,,
1.0,Anti-physiques,Thysbé,basques,,,
2.0,souffletterai,Guettez,bésigue,,,
3.0,Autrefois,Hauts,Quelquefois,,,
4.0,Verneuil,Éternelle,alaternes,Chambre-aux-Demoiselles,tonnelle,javelle
5.0,Paulet,Poulet,Voulez,souleva,,
6.0,Accoutumé,Coutelier,Couche,Écoutez,Ajaccio,
7.0,Impatienté,menton,Oriental,Tiens,,
8.0,Allemagne,champagne,alluma,,,
9.0,mignonne,,,,,
10.0,Tolbiac,Bolbec,,,,
11.0,Varneville,Attendu,Batteville,Briseville,Vrillette,Beuzeville
12.0,Voudrez,mont Riboudet,Soudain,Remontée,Montivilliers,
13.0,la France,France,,,,
14.0,serrure,Livourne,Lamoureux,obséquieux,,
15.0,Suisse,buis,Encaissée,Roi-Louis,housses,
16.0,phare de Fécamp,varech,Fécamp,golfe de Sagone,gare de Beuzeville,
17.0,Marseille,Mars,,,,
18.0,Mignonne,,,,,
19.0,Florence,Providence,Enchaînée,Dentu,Provence,
20.0,hameau de,château des Peuples,Naples,Le Perthuis des Vauds,ieau,
21.0,Lison,Lise,surplis,Songe,,
22.0,Notre-Dame du Gros-Ventre,Damas,Étouvent,Pyrame,,
23.0,Bonsoir,Lapons,Rentrons,,,
24.0,Rappelée,halées,,,,
25.0,Rosalie,d'Italie,Italie,,,
26.0,Vierge,Auvergne,,,,
27.0,pays de Caux,Pas de lune,lune,,,
28.0,Voyez,Fuyez,,,,
29.0,Rollebosc,Bassolle,Folle,Hollande,,
30.0,Eretry,Impureté,Étretat,quem devoret,,
31.0,Attirée,Chicorées,Évaporée,,,
32.0,rue du Havre,du Havre,Le Havre,collège du Havre,au Havre,
33.0,Niolo,cognac,Cologne,,,
34.0,Lerat,Croquerat,bosquet,,,
35.0,Coursil-Courville,Coursil,Bourse,,,
36.0,soleil,Le soleil,Côte,le soleil,,
37.0,Athènes,Gênes,Mornes,,,
38.0,Normandie,hôtel de Normandie,Flamands,Normand,Normande,dormeuse
39.0,connais-tu,aimais,Royales,Palais-Royal,,
40.0,Londres,Sèvres,Apôtres,Trois-Mares,,
41.0,mer là,mer là-bas,,,,
42.0,Paris,Surprise,reparue,,,
43.0,Couillon,val d'Ota,rue du Sauvage,vallon sauvage d'Ota,,
44.0,Réponds,Répondez,,,,
45.0,La Corse,Corse d'Évisa,Le Corse,Corniche,Corse,
46.0,Reminil,oremus,,,,
47.0,Tantôt,Sitôt,,,,
48.0,bois bruni,Chine,Viloise,Chinois,,
49.0,Bravo,bras-le-corps,,,,
50.0,Cigogne,cigogne,,,,
51.0,Envoie,Voilà,,,,
52.0,Quittez-le,apportez-les-moi,donne-les-moi,mariez-les,Yport,
53.0,caleçon,calme-toi,,,,
54.0,Jardin,Sainte-Hélène,Saint-Léonard,,,
55.0,Versailles,Fourville,Barville,terre de Barville,Goderville,tilleul
56.0,jura,Romaines,Touraine,,,
57.0,Barbes-de-capucin,vert-de-gris,,,,
58.0,Amérique,Afrique,l'Afrique,L'Amérique,,
59.0,Savez,Avez,Religion,,,
60.0,Albertacce,Gilberte,comtesse Gilberte,,,
61.0,Piana,Cany,Ganache,Cana,,
62.0,Bastia,Las,Lastique,,,
63.0,Lucienne,Combien,pâlie,supplie,Julien,
64.0,la Seine,Madère,Madeleines,,,
65.0,air du Val,val,dévala,,,
66.0,Perret,Méditerranée,Angleterre,,,
67.0,Évisa,mangeât,Crisange,,,
