cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37
-1,Religion,Lamoureux,Rouen,Côte,obséquieux,Eut,Viloise,Grèce,Versailles,Thysbé,plaçât,Vrillette,Pyrame,Oriental,Attendu,Montivilliers,tilleul,Guettez,Chambre-aux-Demoiselles,Combien,Madère,Attirée,Yport,I,Trois-Mares,Bourse,P,Soudain,Couillon,Livourne,varech,bois bruni,golfe de Sagone,ieau,Lucienne,souffletterai,Midi,Sacré-Cœur
0,la France,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bras-le-corps,Bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mer là,mer là-bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sitôt,Cité,Tantôt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,vert-de-gris,Barbes-de-capucin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Réponds,Répondez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sainte-Hélène,Saint-Léonard,Jardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cargèse,dormeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rappelée,halées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bolbec,Tolbiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Voyez,Fuyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,habitué,Qué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chinois,Chine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Adélaïde,Belzébuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Lapons,Bonsoir,sapins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,champagne,Allemagne,alluma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,comtesse Gilberte,Gilberte,Albertacce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Suisse,Roi-Louis,housses,buis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
