cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Coursil-Courville,Couche,Lamoureux,Bourse,Coursil,Fourville,Thysbé,Couillon,,,
1,Lerat,Croquerat,souffletterai,,,,,,,,
2,Saint-Léonard,Jardin,Sainte-Hélène,sapins,,,,,,,
3,Folle,Hollande,Rollebosc,Bassolle,I,Allemagne,Tolbiac,Niolo,,,
4,P,Suisse,Roi-Louis,housses,buis,Encaissée,,,,,
5,Cigogne,cigogne,Auvergne,champagne,Ajaccio,Cologne,cognac,,,,
6,Réponds,Lapons,Répondez,Londres,,,,,,,
7,La Corse,Corse,bras-le-corps,Corse d'Évisa,Le Corse,,,,,,
8,Chinois,bois bruni,Chine,,,,,,,,
9,Palais-Royal,aimais,connais-tu,Royales,,,,,,,
10,Cargèse,Chambre-aux-Demoiselles,surplis,Lise,Surprise,Viloise,Lison,,,,
11,vallon sauvage d'Ota,rue du Sauvage,val d'Ota,,,,,,,,
12,dormeuse,hôtel de Normandie,Flamands,Normand,Normandie,Normande,,,,,
13,mer là,mer là-bas,,,,,,,,,
14,Envoie,Combien,Tiens,Lucienne,Impatienté,Vierge,Julien,,,,
15,Songe,mangeât,Crisange,Évisa,vert-de-gris,Sacré-Cœur,Paris,,,,
16,Dentu,Rentrons,Religion,Bonsoir,Apôtres,menton,Notre-Dame du Gros-Ventre,,,,
17,Étouvent,Provence,Rouen,Enchaînée,Providence,Florence,,,,,
18,dévala,air du Val,val,alluma,varech,calme-toi,caleçon,,,,
19,Vaucotte,Attendu,Guettez,Crotte,,,,,,,
20,bosquet,Quelquefois,Qué,Autrefois,bésigue,basques,quem devoret,,,,
21,Sèvres,Le Havre,au Havre,du Havre,collège du Havre,rue du Havre,,,,,
22,Briseville,Vrillette,Versailles,Barville,Batteville,Beuzeville,tilleul,terre de Barville,Goderville,Varneville,Barbes-de-capucin
23,Gilberte,Albertacce,Bolbec,comtesse Gilberte,,,,,,,
24,Fécamp,gare de Beuzeville,phare de Fécamp,golfe de Sagone,,,,,,,
25,ieau,château des Peuples,Pyrame,hameau de,,,,,,,
26,mont Riboudet,l'Empire,oremus,Remontée,Montivilliers,Reminil,,,,,
27,Amérique,L'Amérique,l'Afrique,Afrique,,,,,,,
28,Eut,Hauts,obséquieux,Belzébuth,,,,,,,
29,Quittez-le,Rappelée,Yport,apportez-les-moi,Naples,mariez-les,donne-les-moi,,,,
30,tonnelle,Midi,mignonne,Mignonne,,,,,,,
31,Soudain,Livourne,Touraine,jura,,,,,,,
32,Verneuil,Mornes,Athènes,Gênes,alaternes,Éternelle,,,,,
33,Angleterre,Eretry,Impureté,Étretat,Perret,serrure,,,,,
34,le soleil,soleil,Le soleil,,,,,,,,
35,Piana,Cana,Cany,Ganache,,,,,,,
36,pays de Caux,lune,Pas de lune,Le Perthuis des Vauds,,,,,,,
37,Savez,Bravo,Avez,javelle,,,,,,,
38,Coutelier,Accoutumé,Écoutez,bécota,,,,,,,
39,Voulez,Paulet,souleva,Poulet,,,,,,,
40,Méditerranée,Grèce,France,la France,,,,,,,
41,pâlie,Rosalie,Oriental,supplie,d'Italie,Italie,,,,,
42,Côte,Tantôt,Cité,habitué,Sitôt,,,,,,
43,Las,Bastia,plaçât,Anti-physiques,Lastique,,,,,,
44,Madère,Romaines,Adélaïde,la Seine,Madeleines,,,,,,
45,Voudrez,Voilà,Voyez,Fuyez,,,,,,,
46,Marseille,Damas,Trois-Mares,reparue,Mars,,,,,,
47,Corniche,Attirée,Évaporée,Picot,halées,Chicorées,,,,,
