cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,west wind,Hindley,wi,,,,,,,,,,
1,la,Atlantic,Lascar,dallas,England,IBlackhorse,LAtin,,,,,,
2,"Pensioner
Crags",Immersion kirkland,Immersion,kirkland,,,,,,,,,
3,fresno,North,thorpe,MOrTIMER S,fort,moro,,,,,,,
4,you'vc,Yau'd,You'll,,,,,,,,,,
5,China,him1,OhIO,Him,Slim1,,,,,,,,
6,BEING9,BEING8.,spain,"BEING9
63
age",wuriEIIING,peking,,,,,,,
7,Earnsha,VA,Earnshav,Hareton Earnsha,,,,,,,,,
8,Mn,quad-,,,,,,,,,,,
9,tl.see,beek,tennessee,,,,,,,,,,
10,Mars,MIrs,paris,ky,faro,oman,,,,,,,
11,Mlr,MlIy,,,,,,,,,,,
12,that7,Ieathelif,Ieatheli,seattle,IIeathieliff,,,,,,,,
13,BERING HEIGHT,wEtNG HEIGHTS,weARING HEIGHTS,wEARING HEIGHTS,BERING HEIGHTS,wtrTEERING HEIGHTS,BERING,BERING HE1GIFTS,wEaRING EGIIT3,TURING HEIGHTS,wEBBING HEIGHTS,weaRING HEIGHTS,
14,Wuthering HEights,THEHING HEIGHTS,"WUthering
Heights",Wuthering Height,Another-,WUthering Heights,Wuthering HEIghts,Wuthering Heights,Catherine,WUTHERING HEIGHTS,WUthering HEights,"WUthering
HEights","Wuthering
Heights"
15,dells,NO EL,EL,basel,el,,,,,,,,
16,ILIEIGIT8,III:2Is,TEIGIITS,noRTHERN IIEIGIITS,DIGITS,,,,,,,,
17,Heighten,Height,Heights,wEEI0 HEIGHTS,HEIGHTS,HEights,,,,,,,
18,Linton Heathcliff,Mt. Heathcliff',"mutterel Tenth-
clif",Heathcliff,HeathcliFf,nc,HeathcliFF,Ieathclil,,,,,
19,offer1,Hercules,HErTS,Phenix,Desert,Merton,,,,,,,
20,Happily,brazil,sulle,IlIowever,Ill,Zillah,sicily,,,,,,
21,merced,erie,America,jammu,,,,,,,,,
22,end1,CAVENDISH S.,"CAVENDISH S.
1847",,,,,,,,,,
23,ny,,,,,,,,,,,,
24,hush1,us,Houston,,,,,,,,,,
25,champion1,a Slough of Despond,Brond,yong,Lockwood,L LONDON,London,,,,,,
26,MIster,Christendom,PETE,Miss.,,,,,,,,,
27,Linton,Continent,bnt,WVont,Seventy Time,,,,,,,,
28,TAIPEI,IT1,anl,Titan,white ocean,Satan,,,,,,,
29,france,Grange,Range,,,,,,,,,,
30,IIEIGHIT9,IEIOHIT9,REIGET9,IIEIGHRT8,,,,,,,,,
31,IlIareton,Hareton,Hnreton,HIareton,,,,,,,,,
32,' york,Yorkshire,,,,,,,,,,,
33,Liverpool,"dol
HIe",dol,olean,,,,,,,,,
34,Thrushcross park,Thrushcross Grange,Thrushcross,,,,,,,,,,
