cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,la,fresno,Yau'd,ny,IBlackhorse,wi,,,,,,,
1,Earnsha,thorpe,Earnshav,MIster,dallas,Miss.,Hareton Earnsha,,,,,,
2,"Pensioner
Crags",that7,champion1,Immersion kirkland,you'vc,Immersion,,,,,,,
3,a Slough of Despond,Brond,L LONDON,London,,,,,,,,,
4,Liverpool,tl.see,spain,oman,,,,,,,,,
5,TAIPEI,IT1,MIrs,quad-,,,,,,,,,
6,"mutterel Tenth-
clif",Continent,tennessee,,,,,,,,,,
7,west wind,NO EL,EL,Zillah,bnt,,,,,,,,
8,Mlr,Lockwood,paris,ky,Phenix,' york,,,,,,,
9,Ieathelif,Ieatheli,seattle,IIeathieliff,MlIy,,,,,,,,
10,yong,"dol
HIe",basel,jammu,,,,,,,,,
11,france,Grange,Range,sicily,,,,,,,,,
12,BEING9,BEING8.,"BEING9
63
age",peking,,,,,,,,,
13,VA,III:2Is,beek,Yorkshire,,,,,,,,,
14,brazil,dells,Mars,IlIowever,IlIareton,Hareton,Hnreton,HIareton,,,,,
15,ILIEIGIT8,TEIGIITS,noRTHERN IIEIGIITS,DIGITS,LAtin,REIGET9,,,,,,,
16,Wuthering HEights,"WUthering
Heights",Wuthering Height,WUthering Heights,BERING,Wuthering HEIghts,Wuthering Heights,Catherine,WUTHERING HEIGHTS,WUthering HEights,WVont,"WUthering
HEights","Wuthering
Heights"
17,Hercules,Mn,Another-,HErTS,Desert,,,,,,,,
18,merced,erie,America,,,,,,,,,,
19,North,MOrTIMER S,fort,faro,moro,,,,,,,,
20,anl,,,,,,,,,,,,
21,sulle,OhIO,us,,,,,,,,,,
22,Linton Heathcliff,Mt. Heathcliff',Heathcliff,HeathcliFf,HeathcliFF,Ieathclil,,,,,,,
23,Titan,el,olean,,,,,,,,,,
24,BERING HEIGHT,wEtNG HEIGHTS,THEHING HEIGHTS,weARING HEIGHTS,wEARING HEIGHTS,BERING HEIGHTS,wtrTEERING HEIGHTS,BERING HE1GIFTS,wEaRING EGIIT3,TURING HEIGHTS,wEBBING HEIGHTS,weaRING HEIGHTS,
25,him1,kirkland,Atlantic,PETE,England,,,,,,,,
26,Ill,IIEIGHIT9,IIEIGHRT8,,,,,,,,,,
27,China,Lascar,Hindley,,,,,,,,,,
28,end1,CAVENDISH S.,Christendom,"CAVENDISH S.
1847",Seventy Time,,,,,,,,
29,white ocean,wuriEIIING,IEIOHIT9,,,,,,,,,,
30,dol,,,,,,,,,,,,
31,Linton,nc,You'll,Merton,Houston,,,,,,,,
32,Heighten,Happily,Height,Heights,wEEI0 HEIGHTS,HEIGHTS,HEights,,,,,,
33,Thrushcross park,offer1,hush1,Thrushcross Grange,Slim1,Thrushcross,,,,,,,
34,Him,Satan,,,,,,,,,,,
