cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42
-1,white ocean,Lockwood,that7,quad-,ILIEIGIT8,LAtin,end1,DIGITS,wEaRING EGIIT3,yong,VA,france,la,Mn,olean,Phenix,BERING,ny,jammu,merced,Atlantic,Houston,a Slough of Despond,Miss.,BERING HE1GIFTS,peking,Hareton Earnsha,nc,paris,sulle,offer1,spain,"Pensioner
Crags",Hercules,REIGET9,MIrs,Merton,fresno,"mutterel Tenth-
clif",ky,Seventy Time,moro,beek
0,oman,anl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,IT1,Titan,Satan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Grange,Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Thrushcross,Thrushcross Grange,Thrushcross park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,England,Immersion kirkland,Immersion,kirkland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Christendom,MIster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,wEEI0 HEIGHTS,HEights,Heights,HEIGHTS,Height,Heighten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,THEHING HEIGHTS,wEBBING HEIGHTS,wEtNG HEIGHTS,TURING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BERING HEIGHTS,BERING HEIGHT,wtrTEERING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,weARING HEIGHTS,weaRING HEIGHTS,wEARING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WUthering HEights,WUTHERING HEIGHTS,Wuthering HEIghts,Wuthering Heights,Wuthering Height,WUthering Heights,Wuthering HEights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Wuthering
Heights","WUthering
HEights","WUthering
Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Another-,Catherine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,OhIO,IEIOHIT9,IIEIGHIT9,IIEIGHRT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,noRTHERN IIEIGIITS,TEIGIITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,North,fort,MOrTIMER S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Desert,HErTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,America,erie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BEING9,BEING8.,"BEING9
63
age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,us,hush1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
