cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0.0,"Pensioner
Crags",champion1,,,,,,,,,,,
1.0,Thrushcross park,hush1,paris,Thrushcross Grange,Thrushcross,,,,,,,,
2.0,Immersion kirkland,Immersion,kirkland,England,,,,,,,,,
3.0,him1,Him,Slim1,,,,,,,,,,
4.0,BEING9,BEING8.,"BEING9
63
age",,,,,,,,,,
5.0,Hercules,Another-,merced,HErTS,,,,,,,,,
6.0,Liverpool,IlIowever,,,,,,,,,,,
7.0,a Slough of Despond,Brond,Desert,,,,,,,,,,
8.0,tl.see,tennessee,,,,,,,,,,,
9.0,Ieathelif,Ieatheli,seattle,IIeathieliff,,,,,,,,,
10.0,Wuthering HEights,"WUthering
Heights",Wuthering Height,WUthering Heights,Wuthering HEIghts,Wuthering Heights,Catherine,WUTHERING HEIGHTS,WUthering HEights,"WUthering
HEights","Wuthering
Heights",,
11.0,"dol
HIe",dol,,,,,,,,,,,
12.0,Heighten,Height,Heights,wEEI0 HEIGHTS,HEIGHTS,HEights,REIGET9,,,,,,
13.0,BERING HEIGHT,wEtNG HEIGHTS,THEHING HEIGHTS,weARING HEIGHTS,wEARING HEIGHTS,BERING HEIGHTS,wtrTEERING HEIGHTS,BERING,BERING HE1GIFTS,wEaRING EGIIT3,TURING HEIGHTS,wEBBING HEIGHTS,weaRING HEIGHTS
14.0,MOrTIMER S,America,fort,moro,Seventy Time,,,,,,,,
15.0,L LONDON,London,,,,,,,,,,,
16.0,Earnsha,Earnshav,Hareton Earnsha,,,,,,,,,,
17.0,end1,CAVENDISH S.,"CAVENDISH S.
1847",,,,,,,,,,
18.0,ILIEIGIT8,North,TEIGIITS,noRTHERN IIEIGIITS,DIGITS,IIEIGHRT8,,,,,,,
19.0,you'vc,You'll,,,,,,,,,,,
20.0,Linton Heathcliff,Mt. Heathcliff',"mutterel Tenth-
clif",Heathcliff,HeathcliFf,HeathcliFF,Ieathclil,,,,,,
21.0,Lascar,dallas,,,,,,,,,,,
22.0,MIster,Christendom,Miss.,,,,,,,,,,
23.0,Atlantic,Continent,WVont,LAtin,,,,,,,,,
24.0,Titan,Satan,,,,,,,,,,,
25.0,france,Grange,Range,,,,,,,,,,
26.0,brazil,Ill,Zillah,,,,,,,,,,
27.0,white ocean,olean,,,,,,,,,,,
28.0,' york,Yorkshire,,,,,,,,,,,
29.0,III:2Is,erie,wuriEIIING,peking,,,,,,,,,
30.0,IlIareton,Hareton,Hnreton,HIareton,,,,,,,,,
31.0,thorpe,IBlackhorse,,,,,,,,,,,
32.0,China,west wind,Hindley,,,,,,,,,,
33.0,OhIO,IIEIGHIT9,IEIOHIT9,,,,,,,,,,
34.0,Linton,Merton,Houston,,,,,,,,,,
35.0,Happily,sicily,,,,,,,,,,,
