cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
-1,white ocean,Lockwood,that7,quad-,IT1,wEaRING EGIIT3,VA,france,Mn,olean,BERING,ny,jammu,merced,Atlantic,Houston,BERING HE1GIFTS,nc,paris,sulle,offer1,spain,"Pensioner
Crags",Hercules,MOrTIMER S,REIGET9,"mutterel Tenth-
clif",ky,Seventy Time,moro
0,' york,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,you'vc,You'll,Yau'd,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PETE,TAIPEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IlIowever,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hindley,fresno,west wind,wi,China,beek,,,,,,,,,,,,,,,,,,,,,,,,
5,Slim1,him1,Him,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MlIy,Mlr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sicily,champion1,Happily,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,dol,"dol
HIe",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Brond,a Slough of Despond,L LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CAVENDISH S.,"CAVENDISH S.
1847",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,yong,EL,dells,el,NO EL,MIrs,basel,,,,,,,,,,,,,,,,,,,,,,,
12,III:2Is,wuriEIIING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ieathelif,Ieatheli,IIeathieliff,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Linton Heathcliff,HeathcliFf,Mt. Heathcliff',Heathcliff,Linton,Ieathclil,HeathcliFF,,,,,,,,,,,,,,,,,,,,,,,
15,tl.see,tennessee,seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mars,faro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Continent,bnt,WVont,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,thorpe,IBlackhorse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Grange,Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Thrushcross,Thrushcross Grange,Thrushcross park,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LAtin,la,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,England,Immersion kirkland,Immersion,kirkland,,,,,,,,,,,,,,,,,,,,,,,,,,
23,end1,Christendom,Phenix,MIster,Miss.,,,,,,,,,,,,,,,,,,,,,,,,,
24,us,hush1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Earnsha,Earnshav,Hareton Earnsha,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,dallas,Lascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,brazil,Ill,Zillah,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BEING9,BEING8.,"BEING9
63
age",peking,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Hareton,Hnreton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,HIareton,IlIareton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,oman,anl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Titan,Satan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,America,erie,Merton,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Desert,HErTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Another-,Catherine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,OhIO,IEIOHIT9,IIEIGHIT9,IIEIGHRT8,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ILIEIGIT8,DIGITS,noRTHERN IIEIGIITS,TEIGIITS,,,,,,,,,,,,,,,,,,,,,,,,,,
38,North,fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Wuthering
Heights","WUthering
HEights","WUthering
Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,wEEI0 HEIGHTS,HEights,Heights,HEIGHTS,Height,Heighten,,,,,,,,,,,,,,,,,,,,,,,,
41,WUthering HEights,WUTHERING HEIGHTS,Wuthering HEIghts,Wuthering Heights,Wuthering Height,WUthering Heights,Wuthering HEights,,,,,,,,,,,,,,,,,,,,,,,
42,weARING HEIGHTS,weaRING HEIGHTS,wEARING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,THEHING HEIGHTS,wEBBING HEIGHTS,wEtNG HEIGHTS,TURING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BERING HEIGHTS,BERING HEIGHT,wtrTEERING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,
