cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,west wind,VA,Hindley,wi,,,,,,,,,,,,,,,
1,la,kirkland,Atlantic,Lascar,dallas,IBlackhorse,LAtin,,,,,,,,,,,,
2,fresno,North,thorpe,Another-,fort,moro,,,,,,,,,,,,,
3,you'vc,Yau'd,You'll,,,,,,,,,,,,,,,,
4,China,him1,OhIO,Him,Slim1,,,,,,,,,,,,,,
5,BEING9,BEING8.,BERING,spain,"BEING9
63
age",peking,,,,,,,,,,,,,
6,Earnsha,Earnshav,ky,faro,Hareton Earnsha,,,,,,,,,,,,,,
7,"Pensioner
Crags",Immersion kirkland,Immersion,IlIowever,MOrTIMER S,merced,nc,Merton,jammu,,,,,,,,,,
8,tl.see,beek,tennessee,seattle,,,,,,,,,,,,,,,
9,that7,Linton Heathcliff,Mt. Heathcliff',Heathcliff,Ieathelif,HeathcliFf,quad-,HeathcliFF,Ieatheli,Ieathclil,IIeathieliff,,,,,,,,
10,wEtNG HEIGHTS,weARING HEIGHTS,wEARING HEIGHTS,wEaRING EGIIT3,TURING HEIGHTS,wEBBING HEIGHTS,weaRING HEIGHTS,,,,,,,,,,,,
11,dells,NO EL,EL,basel,el,,,,,,,,,,,,,,
12,Heighten,Height,Heights,DIGITS,wEEI0 HEIGHTS,HEIGHTS,HEights,,,,,,,,,,,,
13,champion1,Mars,IlIareton,Hareton,Hnreton,HIareton,Houston,,,,,,,,,,,,
14,offer1,paris,erie,America,Desert,,,,,,,,,,,,,,
15,Happily,brazil,sulle,Ill,Zillah,sicily,,,,,,,,,,,,,
16,BERING HEIGHT,Wuthering HEights,THEHING HEIGHTS,"WUthering
Heights",Hercules,Wuthering Height,BERING HEIGHTS,WUthering Heights,wtrTEERING HEIGHTS,Wuthering HEIghts,Wuthering Heights,HErTS,Catherine,WUTHERING HEIGHTS,BERING HE1GIFTS,WUthering HEights,Phenix,"WUthering
HEights","Wuthering
Heights"
17,end1,CAVENDISH S.,"CAVENDISH S.
1847",,,,,,,,,,,,,,,,
18,a Slough of Despond,Brond,yong,Lockwood,L LONDON,London,,,,,,,,,,,,,
19,"mutterel Tenth-
clif",MIrs,MIster,Christendom,PETE,Miss.,,,,,,,,,,,,,
20,Linton,Continent,bnt,WVont,Seventy Time,,,,,,,,,,,,,,
21,TAIPEI,IT1,Titan,white ocean,Satan,,,,,,,,,,,,,,
22,france,Grange,anl,oman,Range,England,,,,,,,,,,,,,
23,ny,' york,Yorkshire,,,,,,,,,,,,,,,,
24,ILIEIGIT8,III:2Is,TEIGIITS,noRTHERN IIEIGIITS,IIEIGHIT9,wuriEIIING,IEIOHIT9,REIGET9,IIEIGHRT8,,,,,,,,,,
25,Liverpool,"dol
HIe",dol,olean,,,,,,,,,,,,,,,
26,Thrushcross park,hush1,us,Thrushcross Grange,Thrushcross,,,,,,,,,,,,,,
27,Mn,Mlr,MlIy,,,,,,,,,,,,,,,,
