cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Berkshire,Jeremiads,Hertfordshire,Yorkshire,Leicestershire,,,,
1,Africa,America,DEDICATION,Jamaica,Nilotic Africa,,,,
2,Hanover,Inferno,Bacchantes,Anon,Nuovos,Hansard,Liverpool,Lawgiver,Sovereigns
3,Lancaster,Lancashire,Tamerlane,Studcaster,Canterbury,Manchester,,,
4,Ermengarde,Aldermen,Germany,Jength,Carlton Gardens,,,,
5,Prussia,Russia,,,,,,,
6,Salt Hill,Baltic,"Salt
Hill",Hilloa,,,,,
7,Nemesis,New,Jew,Nebuchadnezzar,Sydney,Phryne,,,
8,Brocas,Pembroke,brook,Brazils,Egypt,,,,
9,Carthage,Tamworth,North,the Northern Sea,Althorp,Northamptonshire,,,
10,MILLBANK,Millbank of Millbank,Albany,Millbank,,,,,
11,Jerusalem,us,Music,Isthmus,Academus,Sussex,Tus,Austria,
12,Rebello,Duchess,Thebes,Hebrews,Athens,Heroes,Belgium,,
13,East,Newcastle,Castle,Caucasus,,,,,
14,britska,Mauritania,Neapolitan,,,,,,
15,Siponta,Siponia,Leontium,,,,,,
16,Learning,Kingdom,King,Moorish kingdom,The Kingdom of France,,,,
17,Chudleigh,Mlle,Wellesley,Lely,Colleges,Argyle,valley,Wesleyans,
18,Forum,Oxford,Bradford,Darlford,,,,,
19,litera,Opera,Europe,Penelope,Taper,Persia,,,
20,Hellingsby,Coningsby,Hellingsley,Wellington,,,,,
21,Clarendon,Babylon,LONDON,conbibio,Richmond,Lon-,Jong,London,Lisbon
22,Slough,Borough,Louis Qua-,,,,,,
23,Naples,Temple,Principle,Jemmy,,,,,
24,Barony,Lazaroni,Arragon,Barcelona,Byron,,,,
25,Madrid,Mapame Colonna,Madame Colonna,Torquamada,the Prince Colonna,Colonna,,,
26,Rossendale,Alps,Walpole,,,,,,
27,Scotland,Ireland,Westmoreland,England,Monkey Island,Poland,confiscated Ireland,,
28,Westminster,Esq,West,Marquess,Weston,Palestine,Western Europe,Study,West India
29,Regent,Frenchwomen,Frenchmen,JT,,,,,
30,the green mountains,Greece,the green district,Greeks,,,,,
31,Realm,Hallam,Hall,Whitehall,,,,,
32,the Rue Tronchet,the County Chronicle,Munich,the County of,Throne,,,,
33,Arabia,Paradise,Paris,Israel,Valparaiso,Cadiz,,,
34,Hyde Park,Park,the Lock Pool,the Lower Park,the Upper Park,De Lolme,,,
35,Ravenna,Vienna,,,,,,,
36,Saxon,Saxony,,,,,,,
37,St. Petersburg,Edinburgh,Augsburg,,,,,,
38,Waterloo,Watteau,Gazette,,,,,,
39,Hippocrates,white bait,the United Kingdom,the United Provinces,the United States,Estates,,,
40,San Benito,Venice,Benito,Phenix,,,,,
41,midland county,Milan,Languedoc,Highland,woodland,midland,,,
42,Downing Street,Carlist,Berlin,Kildare,Arlington Street,,,,
43,Vengeance,Granada,Mediterranean,Tn,Frankfort,France,,,
44,Ill.,Willesden,Millennium,dishabille,Nile,Seville,M. Ville-,Villebecque,
45,St. Geneviéve,Geneva,St. Gene-,St. Genevieve,,,,,
46,the British Isles,Peninsula,the Spanish Peninsula,,,,,,
47,Friendship,Irish Secretaryship,Ladyship,,,,,,
48,Charta,Froissart,Spain,Sparta,,,,,
49,Cambridge,Embassy,Ambassa-,,,,,,
50,Burnet,Luxembourg,Lazour,Melbourne,,,,,
51,Mexico,Mahomet,Troy,Rome,,,,,
52,Nuneham,Nottingham,Durham,Infirmary,Birmingham,Everingham,,,
53,Macedon,Toledo,Blenheim,Wimbledon,,,,,
54,Monmouth,Italy,Southern Italy,South,,,,,
55,St. James’ Street,"St. James’s
Square","St. James’s
Street",St. James’s,St. James,Thames,,,
56,Rigbyites,Brighton,Rigbys,Rigby,,,,,
57,Hades,Lais,Providence,Derby,Maidenhead,Adelaide,,,
58,Trautsmandorff,Grand Cairo,Astrachan,Strand Coffee-,Strand,Lyndhurst,Ministry,,
59,Oriel,Pavia,Victoria,,,,,,
60,Philip,Aquatics,Piccadilly,Phillippics,,,,,
61,Club,Culloden,Lucca,Lucullus,,,,,
62,Windsor rang,"Windsor
Park",Windsor,,,,,,
63,Melton,Shabbyton,Loretto,Cottage,Palmerston,Potts,Eaton,Wotton,
64,"the Rue
Rivoli",the Holy Sepulchre,Holbein,the Lanca-,the Holy Land,,,,
65,Manhood,Pagan,Lepanto,Roxalana,Lima,Panama,,,
66,the Persian Empire,Venetian Republic,the Republic of Paris,the Venetian Republic,Lucretia,,,,
67,Monsieur Sidonia,Naples Sidonia,Medina Sidonia,Sidonias,Sidonia,Monsieur Sidonia’s,,,
68,St. John,n’t,St.,St. Paul,St. John’s,St. Mary’s,,,
69,Sedgwick,Earwig,Wilkie,Uwins,wi,,,,
70,inn,Christchurch,Sinai,Ferdinand,Hindostan,Spinoza,China,,
