cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,abbe Germane,"abbe
Germane",abbe,Germane,A,,,,,,,,,,,
1,Pretez,srete,discrete,Arretez,,,,,,,,,,,,
2,Bamban,Cuba,Bandit,Lombards,,,,,,,,,,,,
3,alle,Vallee,allezl,Mlle,val,Palerme,talle,Allez,,,,,,,,
4,got,wagon,Escargots,,,,,,,,,,,,,
5,CoUCoU-BLANC,Coucou-bBlanc,Blanc,"Coucou-
Blanc",Micou,essouffle.coUcoU-BLANC,Blancs,Accoude,Coucou,Coucou-Blanc,Coucou-,Coucou-Blancl,Coucou-Blancl Est,"K

.-1coUcoU-BLANC",,
6,.L,.l,,,,,,,,,,,,,,
7,IEst,estimez,kakatoes,Genies,Est-ce,Faust,,,,,,,,,,
8,f,,,,,,,,,,,,,,,
9,Marquises,Pise,iles Marquises,,,,,,,,,,,,,
10,Cecilia,LIl,humilie,Chili,lilas,,,,,,,,,,,
11,Grand-Cercle,grand Baghavat,Petit-Cercle,Grand-Orient,Nh,,,,,,,,,,,
12,Sonne,connaft,MASoN,chiffonnee,l1'Odeon,e,Rhone,,,,,,,,,
13,"LLLLLLLLLLLLLLL-LL-LLLLLLLL-LLLLL-LL-L
Dieu",LLLLLLLLLLLLL.LL-.L-,"L.LLL
-
W",rLL---LL-LLL-L.L.L-LL,Villle,lLs-,LL7sLL-LL-L-L3,LLLLLLL-LLLLLLLL-,E,,,,,,,
14,S,aA,,,,,,,,,,,,,,
15,L.sdin--,N-,Fanfan-la-Tulipe,,,,,,,,,,,,,
16,SAINT-NIzIER,SAINT-NIZIER,IZ,Saint-Nizier.n,Saint-Nizier,Nizier,Saint-Nizierl,,,,,,,,,
17,Annou,annongca,,,,,,,,,,,,,,
18,Montparnasse,Gymnase,h Montparnasse,theatre Montparnasse,a Montparnasse,boulevard Montparnasse,,,,,,,,,,
19,plaft,Laf,deplaft,Pl,paraft,,,,,,,,,,,
20,tolocototignan,Tolocototignan,,,,,,,,,,,,,,
21,tE,Vatel,hate,tempete,flte,Roberte,tetes,tete empanachee,Emporte,hesiter,c6te,tete,Pentecote,Tes,tristel...,tenonslo
22,Pier-,piece,Mlle Pier-,,,,,,,,,,,,,
23,---rciseizzz--,"S
---
e",L----,a----,k--,1---- IH,.--,"Y '
W,--r
7-x
'",A hx--,LA--3,cC`--.--.-  ---:-r--,"C---e
L",--f,,,
24,College,Recollets,Md,"val
Quand je rentrai au college",Vieux-College,collegel,bibliotheque du college,,,,,,,,,
25,Muguet,Muguets,Languedoc,,,,,,,,,,,,,
26,baie de Naples,rue des,rue de Lille,joufflus de douze,rue des Dames,M. de,"place des
Terreaux",,,,,,,,,
27,fort Loyasse,assis,Loyasse,Embrasse,,,,,,,,,,,,
28,Desir-de-plaire,eclairee,Pecairel,soiree,,,,,,,,,,,,
29,Jugez,rY,Savez,avenue,Avez,savezl,Voyez,,,,,,,,,
30,Rome,Promettez,l1'Epitome,laLE ROMIAN,trompe-la-mort,,,,,,,,,,,
31,Pruneaux,Beaux,Ohl,Cristaux,Langlumeau,Beaucaire,bordeaux,Sceaux,,,,,,,,
32,Jacques,Iacques,Jacquesl,Hacqueville,Paques,,,,,,,,,,,
33,Turc,"IX
TU",,,,,,,,,,,,,,
34,Grenelle,Rosellen,Rosel,Mademoiselle.6,passerelle,Rose,Le Rosellen,,,,,,,,,
35,veloursl,rs,"rs
-",Grossiers,"W

I,5
V. W",,,,,,,,,,,
36,r8,execre,sec.g6,ecria,Necro-,,,,,,,,,,,
37,la Prairie,Ih1,Prairie,,,,,,,,,,,,,
38,Arrivee,Vive,Viva-,5I,RBvE,,,,,,,,,,,
39,dejeuna,secrdtaire dejeune,Deja,,,,,,,,,,,,,
40,fievres,givre,levre,fievre,Sevres,.f,,,,,,,,,,
41,Egypte,pyramide d'Egypte,Lamartine d'Elvire,,,,,,,,,,,,,
42,AY,egayer,,,,,,,,,,,,,,
43,Adieul,Comedie,Comedie-Francaise,Comnme,Comeidie,,,,,,,,,,,
44,tenezl,Venez,pensezl,enerve,Entrezl,Tenezl,lisezl,,,,,,,,,
45,Y-N,ZY,LP-N,,,,,,,,,,,,,
46,Sarlandais,Inde,Sarlande,"college modele de
Sarlandel",aSans,Sar-,,,,,,,,,,
47,11I5,I59,I54,,,,,,,,,,,,,
48,II,saluerentIIIRIAR,"II
hY",,,,,,,,,,,,,
49,punch,NC2,unc,,,,,,,,,,,,,
50,sur-le-champ,Bhagiratha,champagne,Champenoise,pagna,,,,,,,,,,,
51,w-4,Saint-Pierre a Montmartre,Saint-Emilion,Saint-Esprit,Saint-,Saint-Theophile,Saint-Petesbourg,Saint-Cloud,Saint-Pierre,eglise Saint-Pierre,,,,,,
52,Vendredil,vENDRAS,Cudra,Vendredi,TU vENDRAS DE LA,,,,,,,,,,,
53,menton,Confusement,L'ENLEvEMENT,Bientot,Vraiment,,,,,,,,,,,
54,Mont-,Lyon,Montez,Montmartre,mont-de-piete,,,,,,,,,,,
55,Saumon,SAUMON,,,,,,,,,,,,,,
56,songeuse,Crusoe,conge,Angelus,hideuse,Mluse,,,,,,,,,,
57,Anastasie,Anastagille,cette Bastille,r6gI,,,,,,,,,,,,
58,P,Eyssettte,Musette,Eyssette,Mee Eyssette,Eyssettel,,,,,,,,,,
59,Caveau,l1'Academie,canape,Ca,Cadet,caraibe,Cap,ca,,,,,,,,
60,venere Lalouette,"vieux
Lalouette",Lalouette,Fouette,Mee Lalouette,Rana-Valo,baguettel,Lalouettel,palotte,,,,,,,
61,frangcais,Frangais,Theatre-Frangais,"Theatre-
Frangais",Theatre-Frangcais,Theatre-Francais,theatre,,,,,,,,,
62,gresil,rang.- Presentez,Pres,"maitres,-","sous-prefectureln
Est-ce",Apres,premierln,representee,precipite,,,,,,,
63,Religion,violente,io,Expansion,Rio,vIOT,,,,,,,,,,
64,"Bati-
gnolles",Batignolleslo,gnol,Mlol,,,,,,,,,,,,
65,S6dt,Naples,Chenilles,Les Chenilles,asphyxie les etrangle,les Debuts,fillesen,les86,,,,,,,,
66,Espa-,Ma-,d'Espagne,aUn Espa-,,,,,,,,,,,,
67,Bonsoir,Robinson,ronfla,MIimi-Pinson,,,,,,,,,,,,
68,Combien,Eh bien,Eh,,,,,,,,,,,,,
69,"Saint-Germain-des-
Pres",clocher de Saint-Germain,Saint-Germain,faubourg Saint-Germain,Pres-Saint-Gervais,Saint-Germainl,horloge de Saint-Germain,Maine,Soudain,Saint-Germain-des-Pres,romains,,,,,
70,echope,Chose.8,Chosel,Choseln,Chose,"Chosel
Or","CHIOSE
A",,,,,,,,,
71,"L--
`",1E.,"L--
`-",,,,,,,,,,,,,
72,Carmelites,Carmelites -,larmcs,place d'Armes,,,,,,,,,,,,
73,Broum-Broum,eperdus,Perou,apergcu,Fougeroux,,,,,,,,,,,
74,Vienne,Tiens,tragedienne,Souviens-toi,,,,,,,,,,,,
75,"A 4


d
'",victoria de la dame,Dames,"A
 A

 
I




.Y",victoria,,,,,,,,,,,
76,Comprends-tu,Comprenez,frenesie,,,,,,,,,,,,,
77,Saint-Benoft,rue Saint-Benoit,rue Saint-Benoft,benl,,,,,,,,,,,,
78,credence,ceda,Providence,,,,,,,,,,,,,
79,cimetieres,tapissieres,arriere,Serrieres,Serrieres.n,Serrieresl,equerres,serrure,desert,r8 fevrier,,,,,,
80,Parthenon,Cunocepa,deplume,depart,depit,separa,dpart,J4,,,,,,,,
81,Foin,mefie-toil,Vois,voill,voirl,ILL',Quoil,voila,emouvoir,Voilh,,,,,,
82,Cherchons,He,Perrache,Heinl,Mon cher,Chutl,seche,Cher,du cher,la manche,,,,,,
83,Rendez,Regardez,fardees,F,garde-robel,gardes-du-corps,,,,,,,,,,
84,Nice,dictce,,,,,,,,,,,,,,
85,Palais-Mazarin,Porcelaines,palais de la fee Porcelaine,Palais-Royal,,,,,,,,,,,,
86,a'-a,.--ac-'-,t-'-,,,,,,,,,,,,,
87,x=-,meLEsS,pele-mele,merl Le ciel,melopee,,,,,,,,,,,
88,Pardonne,Pardon,Chardon,,,,,,,,,,,,,
89,bouteille debouchee,vicille fee,Marseille,Marsala,Camillel,Conseille,petille,,,,,,,,,
90,reveillee,RAEvE,vecu,Revolutionl,reveillon,REvE,eleves,"Musc
severe",treve,,,,,,,
91,Quartier Latin,Moustier,moitie,Cachotier,Quartier-Latin,quartier,Quartier,,,,,,,,,
92,Saint-Guillaume,rue Saint-Guillaume,"rue
Saint-Guillaume",rue Saint-Guillaumel,,,,,,,,,,,,
93,Daniel,Danielo,Danielln,,,,,,,,,,,,,
94,"sI. -
I
-
5:
i","I


-'  t","I

-
i",A -.s,,,,,,,,,,,,
95,I,Cevennes,Cevenole,Cevenol,,,,,,,,,,,,
96,Bravo,bravel,,,,,,,,,,,,,,
97,11Aill,t,Y,aIl,Raspail,,,,,,,,,,,
98,"PAPILLON
Grimpe","PAPILLON
Ehl","PAPILLON
Quoil",Grillon,guide-ballon,Papillon,"PAPILLON
Ehl bienl",PAPILLON,echantillon,Allonsl,,,,,,
99,Maintenant,manecanterie,avantl,Angleterre,Nanterre,rue Lanterne,,,,,,,,,,
100,LA-dessus,Lh-dessus,par-dessus,,,,,,,,,,,,,
101,toi.n,I.E,toitl,mastoides,,,,,,,,,,,,
102,Barbette,Barbetten,Barbettel,Bernerette,,,,,,,,,,,,
103,N,Neuf-des-Papes,Chateau-,"Chateau-
Neuf-des-Papes",F-=,,,,,,,,,,,
104,Pachecon,Bach',.,Pacheco,,,,,,,,,,,,
105,Amour,1N,aTout,Retourne,Touraine,,,,,,,,,,,
106,mitra,le Midi,MI,Midi,Dig,,,,,,,,,,,
107,WL,Pilouittl,luil,Ebloui,Ouil,Ferrouillat,,,,,,,,,,
108,"P
N .5","W
I
2

re","W
1P
I","J

-'
1
x
1","W
g.

r.' F","P
L",,,,,,,,,,
109,du Nord,c:::cz:=:t,dore,Alfort,Or,Infortunes,,,,,,,,,,
110,Port-au-Prince,FR,Frinc,,,,,,,,,,,,,
111,4-,4--,,,,,,,,,,,,,,
112,Souwaroff,Peyrol,Soubeyrol,,,,,,,,,,,,,
113,abbe ruisselle,buis,Laisse,suisse,,,,,,,,,,,,
114,"Vieille
bete de Pierrotte","Pierrotte
Pierrotte","Vieille
bete de Pierrotte, val",Pierrotte -,I99,"PIERROTTE
I43
Cevenole",Pierrotte,Pierrotte.n,,,,,,,,
115,malheureusel,Malheu-,Figurez,Horreurl,guipure,Eux,Malheureu-,Malgre,Malheureuse-,,,,,,,
116,LN,ISL5,amisln,Bourgeoisln,,,,,,,,,,,,
117,sagne,Cassagne,la Bretagne,Bretagne,,,,,,,,,,,,
