cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,Pierrotte,Pierrotte.n,Roberte,Pier-,piece,"Vieille
bete de Pierrotte, val",Pierrotte -,"Pierrotte
Pierrotte","Vieille
bete de Pierrotte",Grossiers,"PIERROTTE
I43
Cevenole",,,,,,,,,,,
1,I54,I59,11I5,,,,,,,,,,,,,,,,,,,
2,Comedie,Rome,l1'Epitome,Adieul,Comnme,Comeidie,Comedie-Francaise,Dig,,,,,,,,,,,,,,
3,songeuse,conge,Crusoe,hideuse,Angelus,,,,,,,,,,,,,,,,,
4,Pousse,Mluse,Pourvu,poussde,,,,,,,,,,,,,,,,,,
5,"a6
LE PETIT CHOSE",Petit Chose,"les86
LE PETIT CHOSE","mien.2o
LE PETIT CHOSE","arriere-magasin.r8o
LE PETIT","7LL-L-L
LE PETIT CHOSE",Petit-Cercle,"porte du collegel88
LE PETIT CHOSE",a6,"plus54
LE PETIT CHOSE
LL","BeteI74
LE PETIT CHOSE",,,,,,,,,,,
6,Plantes,avantl,ardin des Plantes,manecanterie,"place des
Terreaux",rue Lanterne,,,,,,,,,,,,,,,,
7,Quelque,Afrique,Quelquefois,Bouzanquet,Paques,Menalque,Quels,Jusque-la,eleve Menalque,val Quelquefois,laquelle42,magnifiquel,,,,,,,,,,
8,hotel Pilois,hote,hotel,"hotel Piloisl...
Du",Pilois,,,,,,,,,,,,,,,,,
9,Rendez,Comprends-tu,Providence,credence,Entrezl,Regardez,Figurez,Comprenez,Inde,,,,,,,,,,,,,
10,saluerentIIIRIAR,"II
hY",II,"w1
-
-7YIII",,,,,,,,,,,,,,,,,,
11,"IX
TU",x=-,Turc,w-4,,,,,,,,,,,,,,,,,,
12,t,N,,,,,,,,,,,,,,,,,,,,
13,r8,Viva-,Vive,Rana-Valo,,,,,,,,,,,,,,,,,,
14,"-
-
-]","S
-
Lfi","A
-.

yAZ

'LA","Wsa
-","xl-
-.",".'-
-re",Md,,,,,,,,,,,,,,,
15,Saint-Cloud,Saint-,Saint-Petesbourg,Saint-Pierre,Saint-Theophile,Saint-Benoft,rue Saint-Benoft,Saint-Emilion,Maintenant,O,Saint-Esprit,rue Saint-Benoit,Saint-Pierre a Montmartre,eglise Saint-Pierre,,,,,,,,
16,Lombards,Pardon,Chardon,Pardonne,Iardin,,,,,,,,,,,,,,,,,
17,Prairie,la Prairie,,,,,,,,,,,,,,,,,,,,
18,Serrieresl,Serrieres,Serrieres.n,desert,tapissieres,Nanterre,serrure,equerres,arriere,premierln,r8 fevrier,cimetieres,,,,,,,,,,
19,Chose,"CHIOSE
A",Choseln,echope,sec.g6,Champenoise,Chosel,"Chosel
Or",Chose.8,,,,,,,,,,,,,
20,.,dejeuna,Deja,secrdtaire dejeune,,,,,,,,,,,,,,,,,,
21,Saint-Nizier,Y-N,SAINT-NIZIER,LP-N,Nizier,Saint-Nizier.n,SAINT-NIzIER,IZ,Saint-Nizierl,,,,,,,,,,,,,
22,iM,IM,IMt,Limoux,IMoi,estimez,IMes,,,,,,,,,,,,,,,
23,Frinc,iNN,FR,Port-au-Prince,Foin,,,,,,,,,,,,,,,,,
24,Vieux-College,College,Recollets,Ih1,collegel,bibliotheque du college,"val
Quand je rentrai au college",,,,,,,,,,,,,,,
25,I45,I47,"a47
Ici",I49,,,,,,,,,,,,,,,,,,
26,Anastagille,Marseille,Villle,11Aill,ILL',Hacqueville,Camillel,cette Bastille,vicille fee,Conseille,petille,,,,,,,,,,,
27,lh-haut,S6dt,la-haut,La-haut,tueras lha-haut,Lh-haut,,,,,,,,,,,,,,,,
