cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107
-1,Haliburton,Hermetic,Inn,"Dunleath
OLD",Podrida,Dianas,Aflont,America,Granada,ISTEY,Watts,Stepney-green,bnrber,HApLor,Aggas,Chnge,Belvoir,cnk,Park,numbcr,Author,Rotterdam,Mlildmay,penetralia,Pshawl,France,Venice,Isle of Ske,Curzon,neasily.,aftera,Sspin,Zoroaster,oman,Ovingdean Grange,I6s,Ill,Kenilworth,Dc,Irigge,Pottleton,WV,Ingene,Olier Cromwell's,Richmond,eTry mo,VaIl,Wy,Achilles,Isaical,UK,hilo,Orleans,Boscobel,Reugemet,Grafton,Ispahnn,Keble,Tokay,Bkulking,houso,Inn Flelda,nnguish,Thames,Anricl,ho'd,OE,Fihful,Old Bailey,Vanbrugh,Mackintoshes,LBRARY,yenr,Miastf,it1,scaly sea-monster,Loftus,Holbein,FL,Panis,Abingdon,DR,ADRIoO.,EoRE RovLEDGE s,Sea,Colours,wi,Bavaria,Hamburg,Wakefield,ny,Strand,New Type,Londcn Stone,Pomneii,slort velet,mo,Regent,MIidhipman Easy,Cocxrox,Yoar,Streuton,nearest kinsman,DBROWNE,scagliola,"now,-",sC,TIE YAUXRALL-oAD
0,I.onton,PA8TON,LYTTON,Paston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,London,Old London,LONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,withont,Thoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ia,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,St. Peter,"St.
George's",St.,ST,lostl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Westminster,Leicestershire,"Grei
Western",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,differont,Byron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KRoNHEIM,Blenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Thorneyeroft,Thorneycroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
