cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50
-1,Venice,Hermetic,Keble,Streuton,Haliburton,Aflont,Mackintoshes,Mlildmay,nnguish,Bavaria,Old Bailey,Wakefield,Zoroaster,Reugemet,VaIl,I6s,ny,Curzon,Anricl,Achilles,Bkulking,scaly sea-monster,"Dunleath
OLD",Watts,New Type,bnrber,wi,Pomneii,nearest kinsman,Richmond,ISTEY,eTry mo,Kenilworth,Olier Cromwell's,EoRE RovLEDGE s,scagliola,Thames,TIE YAUXRALL-oAD,hilo,Pottleton,Miastf,America,Holbein,Colours,neasily.,oman,Pshawl,Rotterdam,Yoar,Dc,Loftus
0,Wy,UK,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tlem antiquaries,ANTIQUARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cocxrox,numbcr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vignettes,Prcetty dcar.-pretty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Packcts,Packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Vanbrugh,Aggas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,yenr,Mtns,Mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,palo,paler--,Tinler Ivonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,.-l,M.A.,M. O.-,M. 8.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
