cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,"Saint
EDITR TALBOT","Saint
James's-square",Talbot,Saint,Waoodstck,,,
1.0,Thorneyeroft,Thorneycroft,Loftus,Author,,,,
2.0,Las,las,,,,,,
3.0,Neene,Qaeen,neer,,,,,
4.0,Mrs.- Z,Mers.-,,,,,,
5.0,Fairleigh,Fairfax,Orleans,,,,,
6.0,Granada,France,Dianas,Strand,Ovingdean Grange,,,
7.0,differont,Byron,,,,,,
8.0,Rookwood,Rookery,Iinker,,,,,
9.0,CoRBovLD,Cornhl,EoRE RovLEDGE s,,,,,
10.0,penetralia,eTry mo,TIE YAUXRALL-oAD,,,,,
11.0,Oak Oening,Momning,Oak Openings,,,,,
12.0,Hensington,Washington,,,,,,
13.0,beforo,Forum,Oxford,moro,,,,
14.0,Turk,"century,-a",Pictures,,,,,
15.0,Hermetic,Reugemet,,,,,,
16.0,Whitehall,Whitefriars,Challaie,tha hall,,,,
17.0,heaen,tha heaens,Heaen,,,,,
18.0,M. O.-,M. 8.-,,,,,,
19.0,freo,"AIfred-
p.",,,,,,
20.0,Midlothian,eloth,Lothbury,Cnllot,,,,
21.0,Aflont,Thoe,withont,,,,,
22.0,Old Bailey,VaIl,,,,,,
23.0,Aldgate,Southwark Gateay-,Southwark,,,,,
24.0,Cristofano,Cristofana,,,,,,
25.0,Streuton,Haliburton,Paston,PA8TON,LYTTON,Pottleton,Grafton,I.onton
26.0,lougemont,Beaumont,Rougemont,Rlougemont,Colours,,,
27.0,Circassia,Mississippi,sich casy,Tasso,,,,
28.0,Steel,Steel Plates,ISTEY,,,,,
29.0,Athanor,"Dunleath
OLD",that7,anon,,,,
30.0,LONDON,Old London,London,Londcn Stone,,,,
31.0,HApLor,slort velet,,,,,,
32.0,Anricl,Richmond,America,,,,,
33.0,talle,Achilles,hilo,y. cach,Ill,,,
34.0,Yon'll,Yon're,Lyons,,,,,
35.0,Drur-lane,Drury,Inn-lane,,,,,
36.0,Dryden,hidden1,,,,,,
37.0,PAULS,,,,,,,
38.0,Beehunter,Canterbury,Finsbury,aftera,,,,
39.0,Bkulking,King-street,Park-street,,,,,
40.0,taclee,Damocles,Rotterdam,,,,,
41.0,kitehen,eHe,,,,,,
42.0,Wakefield,Inn Flelda,Inn,,,,,
43.0,Scotland,Sea,scaly sea-monster,England,The Inland Sea,,,
44.0,Paradiso,Park,Paris,,,,,
45.0,Mackintoshes,Packcts,Packet,,,,,
46.0,MIidhipman Easy,bnt east,Eastcheap,Miastf,neasily.,,,
47.0,Jovrel,havre,Havre,,,,,
48.0,KRoNHEIM,Keble,Blenheim,,,,,
49.0,Santa,Perpetunl,Antverp,River,,,,
50.0,MiII,I0ND0N YLCIIII,,,,,,
51.0,Vignettes,Prcetty dcar.-pretty,,,,,,
52.0,Chiesas,Godolphin,china,,,,,
53.0,ROME,Rome,Olier Cromwell's,,,,,
54.0,Sandan,Sandmsn,Bandan,,,,,
55.0,nearest kinsman,oman,,,,,,
56.0,palo,paler--,Tinler Ivonder,,,,,
57.0,Regent,Chnge,Ingene,Abingdon,,,,
58.0,Venice,Perth,Kenilworth,,,,,
59.0,"Queen Bess'a
days",Queechy,lcech,,,,,
60.0,flagon,Flapdragon,,,,,,
61.0,HYDE PARK,HYDE PARK  Tl,Hyde Park,,,,,
62.0,Alabama,Bavaria,Calabria,Isaical,,,,
63.0,Cowardly,Mars,Warsaw,,,,,
64.0,ault,,,,,,,
65.0,NIGT,night1,,,,,,
66.0,wero,Podrida,RIENZI,wero drien,Riensi,,,
67.0,tlem antiquaries,ANTIQUARIES,,,,,,
68.0,Baros,Temple-bar,,,,,,
69.0,Iiillbank,Albany,Millbank,,,,,
70.0,Thames,me1,name1,,,,,
71.0,ARIOL,IE8OLTION,scagliola,Auriolt,ADRIoO.,,,
72.0,Hare,Charles,Farquhar,Charing,,,,
73.0,Screehs,Stepney-green,Reeks,,,,,
74.0,Belvoir,Scots Greys,Boscobel,,,,,
75.0,Hamburg,Nottingham,not7,,,,,
76.0,Italy,quito,Isle of Ske,suitahle foa,,,,
77.0,KoIIEIM,Pomneii,KoNEIM,,,,,
78.0,Zoroaster,Leicestershire,Westminster,"Grei
Western",,,,
79.0,St. Peter,St. James's,"St.
George's",St.,,,,
80.0,Novels,whceels,NoyELS,,,,,
