cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,M. O.-,.-l,M. 8.-,M.A.,,,,,,,,,,,,,,,
1,IA,Calabria,ia,Whitefriars,Dianas,Miastf,,,,,,,,,,,,,
2,IO,IE8OLTION,ARIOL,Io,ADRIoO.,scagliola,,,,,,,,,,,,,
3,Sandan,Sandmsn,Ovingdean Grange,Granada,Scotland,Satan,Orleans,The Inland Sea,Vanbrugh,Anricl,Bandan,England,France,Antverp,oman,Strand,Swan,Santa,anl
4,Mers.-,Mrs.- Z,Hermetic,,,,,,,,,,,,,,,,
5,flagon,FL,Flapdragon,,,,,,,,,,,,,,,,
6,ault,Auriolt,PAULS,Fihful,Aud,,,,,,,,,,,,,,
7,Thorneyeroft,Cornhl,Loftus,Thorneycroft,aftera,,,,,,,,,,,,,,
8,numbcr,Forum,Oxford,beforo,,,,,,,,,,,,,,,
9,Warsaw,Mars,Cowardly,,,,,,,,,,,,,,,,
10,TIE YAUXRALL-oAD,LL,Cnllot,Ill,Yon'll,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,,,,,,,,,,,,,
11,St. James's,Westminster,ST,lostl,ISTEY,Waoodstck,St.,bnt east,,,,,,,,,,,
12,Lineoln,Godolphin,Holbein,lI,,,,,,,,,,,,,,,
13,America,campagna,name1,me1,Thames,,,,,,,,,,,,,,
14,Prcetty dcar.-pretty,Charing,LBRARY,Hare,Charles,Farquhar,Yoar,havre,Pictures,freo,"AIfred-
p.",Baros,Havre,wi,,,,,
15,Hensington,Riensi,RIENZI,Iew,,,,,,,,,,,,,,,
16,Wakefield,eloth,not7,Midlothian,slort velet,Lothbury,,,,,,,,,,,,,
17,LA,Las,Chiesas,Tasso,las,Aggas,,,,,,,,,,,,,
18,ANTIQUARIES,tlem antiquaries,Temple-bar,,,,,,,,,,,,,,,,
19,Londcn Stone,Lyons,Aflont,LONDON,I.onton,Old London,Byron,anon,Richmond,Yon're,Curzon,Abingdon,Caxona,London,,,,,
20,eTry mo,mo,Momning,Damocles,moro,,,,,,,,,,,,,,
21,EoRE RovLEDGE s,"St.
George's",Isle of Ske,CoRBovLD,,,,,,,,,,,,,,,
22,Beehunter,whceels,Steel,Steel Plates,scaly sea-monster,,,,,,,,,,,,,,
23,I.C.,vI.,,,,,,,,,,,,,,,,,
24,clvth,Author,Thoe,withont,ho'd,OE,houso,thcm,,,,,,,,,,,
25,Alabama,ny,Albany,Millbank,,,,,,,,,,,,,,,
26,bnrber,Tinler Ivonder,Rookery,River,wero,Zoroaster,"Grei
Western",wero drien,Rotterdam,differont,Olier Cromwell's,Rookwood,,,,,,,
27,Chnge,mn,mnch,lcech,Queechy,y. cach,,,,,,,,,,,,,
28,Finsbury,Drury,Canterbury,Drur-lane,Dryden,niry,DR,Turk,"century,-a",,,,,,,,,,
29,"Queen Bess'a
days",DBROWNE,New Type,Stepney-green,Ingene,nenar,Neene,neer,penetralia,Vignettes,,,,,,,,,
30,Novels,"now,-",Jovrel,NoyELS,,,,,,,,,,,,,,,
31,HYDE PARK  Tl,Hyde Park,Park,HYDE PARK,,,,,,,,,,,,,,,
32,tha heaens,kitehen,hidden1,Eastcheap,yenr,Heaen,heaen,Sea,eHe,Qaeen,UK,,,,,,,,
33,Cristofano,Cristofana,,,,,,,,,,,,,,,,,
34,paler--,Talbot,talle,suitahle foa,Keble,Italy,taclee,,,,,,,,,,,,
35,Scots Greys,Boscobel,Screehs,sC,,,,,,,,,,,,,,,
36,Pshawl,I6s,HApLor,Haliburton,that7,tha hall,Athanor,Challaie,Hamburg,Whitehall,,,,,,,,,
37,MIidhipman Easy,Iiillbank,Iinker,Pomneii,MiII,I0ND0N YLCIIII,KoIIEIM,,,,,,,,,,,,
38,Inn Flelda,Inn-lane,china,Nottingham,Inn,Sspin,nnguish,,,,,,,,,,,,
39,Streuton,Washington,Grafton,LYTTON,quito,Paston,PA8TON,Tokay,Pottleton,,,,,,,,,,
40,Irigge,Fairfax,Leicestershire,Fairleigh,,,,,,,,,,,,,,,
41,Bavaria,Panis,palo,Podrida,Paris,Ispahnn,Paradiso,,,,,,,,,,,,
42,it1,night1,NIGT,,,,,,,,,,,,,,,,
43,Dc,Packcts,Packet,,,,,,,,,,,,,,,,
44,Aldgate,Wy,Southwark,Watts,Southwark Gateay-,"Dunleath
OLD",,,,,,,,,,,,,
45,Mlildmay,neasily.,VaIl,hilo,Old Bailey,il,Kenilworth,Achilles,IL,,,,,,,,,,
46,8vo,WoLr,Vol,Belvoir,Colours,,,,,,,,,,,,,,
47,Venice,Oak Openings,Oak Oening,,,,,,,,,,,,,,,,
48,Mews,Cocxrox,Rome,ROME,,,,,,,,,,,,,,,
49,sich casy,Mississippi,Circassia,sir7,,,,,,,,,,,,,,,
50,cnk,WV,,,,,,,,,,,,,,,,,
51,Isaical,"Saint
James's-square",Mackintoshes,"Saint
EDITR TALBOT",Saint,,,,,,,,,,,,,,
52,Park-street,Reeks,Bkulking,King-street,nearest kinsman,,,,,,,,,,,,,,
53,St. Peter,Perth,Perpetunl,,,,,,,,,,,,,,,,
54,Blenheim,KoNEIM,KRoNHEIM,,,,,,,,,,,,,,,,
55,Mt,Mtns,,,,,,,,,,,,,,,,,
56,Beaumont,Rougemont,Regent,Rlougemont,Reugemet,lougemont,,,,,,,,,,,,,
