cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,cnk,.-l,suitahle foa,CoRBovLD,,,,,,,
1,America,Irigge,name1,WoLr,Anricl,Richmond,Queechy,Thames,M. 8.-,,
2,Inn Flelda,Inn-lane,Inn,Aggas,,,,,,,
3,Sandan,Sandmsn,Panis,ia,Bandan,lI,nnguish,Santa,,,
4,Prcetty dcar.-pretty,eTry mo,Pshawl,ho'd,,,,,,,
5,Dc,ANTIQUARIES,tlem antiquaries,I.C.,Antverp,,,,,,
6,ARIOL,Mews,Auriolt,Lineoln,Cocxrox,scagliola,houso,,,,
7,sich casy,Finsbury,Drury,Canterbury,Hamburg,M.A.,,,,,
8,Wakefield,Regent,Io,paler--,Rookery,thcm,,,,,
9,Mississippi,Satan,DBROWNE,VaIl,anl,,,,,,
10,Lyons,Yon'll,night1,Yon're,,,,,,,
11,Mers.-,ADRIoO.,Podrida,DR,,,,,,,
12,"Queen Bess'a
days",Stepney-green,Neene,Ispahnn,"AIfred-
p.",Qaeen,UK,,,,
13,Southwark,Southwark Gateay-,Cowardly,,,,,,,,
14,LL,Cnllot,eloth,Midlothian,Lothbury,,,,,,
15,HYDE PARK  Tl,Hyde Park,HYDE PARK,"now,-",Dryden,IL,,,,,
16,Scots Greys,Boscobel,quito,,,,,,,,
17,Fairfax,Scotland,The Inland Sea,HApLor,hilo,England,Sea,Tokay,Tasso,Drur-lane,Perpetunl
18,Tinler Ivonder,Londcn Stone,LONDON,Old London,Iinker,Keble,London,,,,
19,Isaical,Bavaria,Calabria,,,,,,,,
20,St. James's,St. Peter,"St.
George's",Flapdragon,St.,,,,,,
21,Mlildmay,Holbein,NIGT,Temple-bar,taclee,,,,,,
22,Charing,clvth,Hare,Farquhar,me1,Caxona,,,,,
23,Beaumont,Rougemont,Rlougemont,Reugemet,yenr,Perth,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLmmmmm,Colours,lougemont,,
24,ault,Ovingdean Grange,Chnge,Ingene,Nottingham,penetralia,Abingdon,,,,
25,Riensi,RIENZI,wero drien,las,,,,,,,
26,PAULS,FL,wi,,,,,,,,
27,havre,Jovrel,Havre,,,,,,,,
28,IA,Godolphin,china,Pomneii,Chiesas,niry,,,,,
29,Washington,Hensington,Grafton,I.onton,LYTTON,Haliburton,Paston,PA8TON,OE,Pottleton,
30,LA,IE8OLTION,vI.,Venice,Kenilworth,Vol,Vignettes,,,,
31,Forum,Oxford,it1,EoRE RovLEDGE s,beforo,Mtns,moro,,,,
32,Beehunter,Westminster,hidden1,Zoroaster,"Grei
Western",Leicestershire,Rotterdam,scaly sea-monster,aftera,,
33,tha heaens,mo,Heaen,heaen,,,,,,,
34,8vo,TIE YAUXRALL-oAD,Talbot,talle,lcech,Italy,,,,,
35,palo,Alabama,Mt,Baros,sir7,,,,,,
36,MiII,I0ND0N YLCIIII,,,,,,,,,
37,Vanbrugh,lostl,Curzon,,,,,,,,
38,Fihful,,,,,,,,,,
39,Charles,Orleans,nenar,Fairleigh,Hermetic,Aud,,,,,
40,ST,Blenheim,KoNEIM,KoIIEIM,KRoNHEIM,,,,,,
41,Iiillbank,Albany,Millbank,il,Mrs.- Z,,,,,,
42,IO,mn,Oak Openings,Momning,Oak Oening,,,,,,
43,Thorneyeroft,Cornhl,River,Author,Thoe,Loftus,mnch,Thorneycroft,,,
44,Granada,France,Strand,,,,,,,,
45,M. O.-,campagna,eHe,,,,,,,,
46,Aflont,wero,Byron,withont,sC,slort velet,differont,,,,
47,Wy,Sspin,,,,,,,,,
48,that7,anon,freo,Athanor,,,,,,,
49,Park,Paris,Paradiso,WV,,,,,,,
50,Old Bailey,"Dunleath
OLD",,,,,,,,,
51,Warsaw,New Type,Whitefriars,Mars,,,,,,,
52,Mackintoshes,Packcts,Packet,,,,,,,,
53,Cristofano,Dianas,Cristofana,,,,,,,,
54,MIidhipman Easy,Belvoir,oman,nearest kinsman,,,,,,,
55,Aldgate,LBRARY,ny,Steel,ISTEY,Steel Plates,,,,,
56,Las,Iew,Isle of Ske,Rome,ROME,Olier Cromwell's,,,,,
57,numbcr,bnrber,flagon,not7,Circassia,y. cach,,,,,
58,Watts,Pictures,Turk,"century,-a",,,,,,,
59,"Saint
James's-square","Saint
EDITR TALBOT",Waoodstck,Saint,,,,,,,
60,Ill,Achilles,Damocles,,,,,,,,
61,Streuton,Park-street,I6s,Screehs,Reeks,Bkulking,King-street,,,,
62,neasily.,Eastcheap,Yoar,Miastf,bnt east,,,,,,
63,whceels,Novels,neer,NoyELS,,,,,,,
64,Swan,Rookwood,,,,,,,,,
65,kitehen,tha hall,Challaie,Whitehall,,,,,,,
