cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,tour,toul,tourménter,jura,Ÿ,Tout-à-coup,t’,Tours,Journée,Nousdemeureronstouteslesdeux,léur,meuré,,,,
1,Voyez,sayez,Croyez-,,,,,,,,,,,,,
2,Lameth,Bussy-Lameth,Larneth,Lamethr,Mets,,,,,,,,,,,
3,carioledeM. Cœur-de-Roy,Cœur-de-Roy,,,,,,,,,,,,,,
4,CHATEAU DE PINON,CHATTAU DE PINON,CHATEAU DÉ PINON,"ON ee mere

ee age me

126 LE CHATEAU DË PINON",CHÂTEAU DE PINON,Chavignon,GHAÏEAU DE BINON,CHATEAU DE PIFON,CHATEAU DE BINON,"Ma-

138 LE CHATEAU DE PINON",CHATEAU DE PENON,CHATEAU DE PIKON,1l,LE CHÂTEAU DE PINON,CHATEUA DE PINON,
5,mademoiselle,moi,Mademoiselle,Mesdemoiselles,Made-,Demandes,moiselle,,,,,,,,,
6,château de Fayel,château d’Anizy,château d'Anizy,Ansizy-le-Châtel,Anizy,d’,Aniy,,,,,,,,,
7,séduire,m’,Suivrez,Sire,Cédéz,,,,,,,,,,,
8,Pas,As-tu parlé,span,AS,| Pauvre,Pa-,c1,passe-t-1l,Lassée,assassm,LT Pas,Passionnément,,,,
9,Cour,Courval,Cossé,Corcy,Couey,Hennecourt,Peur,Lanissecourt,Heudicourt,Oui,Mothe-Houdancourt,Couëy,,,,
10,"mys-
Bre",Bre,nature.de,"AI-

bret",noîre,bure,,,,,,,,,,
11,IL,J2À.,Ilen,Ilaura,Etil,Iln',Lil,Voilà,Etils,"75

Ilsortit",soleil,,,,,
12,Prononcez,Pinon,pIXON,PINON,PINOX,Pi-,sion,Noñ,dePinon,PINON.-,Noyon,,,,,
13,Acceptez,b59,Écoutez,Partez,Comptez,lout,A TE,Ajoutez,,,,,,,,
14,Chapelain,maine,sine,Émineñce,E,aimais,Manquerai,Devinez,Bouvines,Jamais,Aixin,Madainè,Eh,Fontainebleau,Rhin,
15,Î,Je,Jen',125,,,,,,,,,,,,
16,Ia,confianée,,,,,,,,,,,,,,
