cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,mérveille,Surveillée,"théâtre de
Corneille",E,c1,,,,,,,,,,,,
1,Jen',Enfer-,Je,Ÿ,,,,,,,,,,,,,
2,feuse,meuré,Nousdemeureronstouteslesdeux,Peur,,,,,,,,,,,,,
3,carioledeM. Cœur-de-Roy,Cœur-de-Roy,,,,,,,,,,,,,,,
4,Etils,"75

Ilsortit",Etil,,,,,,,,,,,,,,
5,Houx,sès,houx,lüi,Choi-,,,,,,,,,,,,
6,Pas,| Pauvre,span,passe-t-1l,As-tu parlé,AS,Passionnément,LT Pas,Pa-,,,,,,,,
7,Ramasse,Fiesque,Céries,"com-

-

tesse",iesse,jéunesse,"| -
Vers le soir la comtesse",gie,Abbesse,Eh,La!comtesse,,,,,,
8,Grois,croisée,Roï,t’,Grois-tu,,,,,,,,,,,,
9,Versailles,"château
de Versailles",château de Versailles,sailles,,,,,,,,,,,,,
10,plir,Plût,"repliqua Pi-

326",nir,,,,,,,,,,,,,
11,Lameth,Mets,Larneth,Bussy-Lameth,Lamethr,,,,,,,,,,,,
12,Comprendre,Tarenie,raccommoda,Vousprendrez,Flandre,Fépondre,rendré,Comptez,,,,,,,,,
13,tour,Tout-à-coup,tourménter,Journée,toul,Tours,,,,,,,,,,,
14,Garde-moi,Picarde,Picardie,Gardez,,,,,,,,,,,,,
15,étre,TR,Lambertremit,Fêtre,,,,,,,,,,,,,
16,adorable Hen.,DO,Adorable Charlotte,,,,,,,,,,,,,,
17,"Cr

66",Cr,1l,,,,,,,,,,,,,,
18,I,CHATEUA DE PINON,CHATEAU DE PINON,CHATEAU DE PIKON,"Ma-

138 LE CHATEAU DE PINON",CHATEAU DÉ PINON,CHATTAU DE PINON,GHAÏEAU DE BINON,CHATEAU DE,GHATEAË DE,LE CHÂTEAU DE PINON,CHATEAU DE BINON,CHATEAU DE PENON,"ON ee mere

ee age me

126 LE CHATEAU DË PINON",CHATEAU,CHATEAU DE PIFON,CHÂTEAU DE PINON
19,Quincy,Cy,m’,Corcy,,,,,,,,,,,,,
20,"Haï-
val",La Vallière,Lavallère,"49

Vallière",Derrière,,,,,,,,,,,,
21,P,la France,de France,France,Cour de France,Écu de France,"Écu

de France",Fr,"Cour de France dans.le vieux
château de François",tyranme,,,,,,,
22,Îlme,Îl,Îls,,,,,,,,,,,,,,
23,SOINS,Soissons,Lopison,SOISSONS,Sissone,sou,,,,,,,,,,,
24,Comrient,homrie,"Hon-

grie",,,,,,,,,,,,,,
25,Sire,séduire,Cédéz,Suivrez,,,,,,,,,,,,,
26,Cossé,Lassée,assassm,,,,,,,,,,,,,,
27,ae Ven nae,AE,,,,,,,,,,,,,,,
28,Causa,s’,au-,FautAl,Faut,|,Nsetut,,,,,,,,,,
29,Etqu,qu’,Quoiqu,,,,,,,,,,,,,,
30,CHATAU,LE.CHATFAU,CHATÉAU,,,,,,,,,,,,,,
31,Rémond,rémonie,abbaye de Prémoniré,,,,,,,,,,,,,,
32,matu,Na-,Ma-,Ja-,Ga-,,,,,,,,,,,,
33,RL,perlé,Orléans,125,LÉ,perle,,,,,,,,,,,
34,Clany,Croix-Blanché,Croïx-Blanche,"auberge

de la Croix-Blanché",,,,,,,,,,,,,
35,soleil,Iln',Ilen,IL,Lil,,,,,,,,,,,,
36,terie,Henneite,Delette,Henriette,Henrietie,riette,Attends,,,,,,,,,,
37,Soyons,Noyon,Noñ,,,,,,,,,,,,,,
38,Aucunes,Lejeune,June,Le - Une,Jui,,,,,,,,,,,,
39,Ursulines de,Ursulines,palais de la reine,couvent des Ursulines,,,,,,,,,,,,,
40,Pi-,PINON.-,Prononcez,Pinon,pIXON,Chavignon,PINON,PINOX,dePinon,,,,,,,,
41,sayez,Voyez,Croyez-,Moyenbrie,,,,,,,,,,,,,
