cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,tour,toul,sou,tourménter,Tours,,,,,,,,,,,,,,
1,Lameth,Bussy-Lameth,Larneth,Lamethr,span,Lauzun,,,,,,,,,,,,,
2,CHATEAU DE PINON,CHATTAU DE PINON,CHATEAU DÉ PINON,"ON ee mere

ee age me

126 LE CHATEAU DË PINON",CHATEAU DE,CHÂTEAU DE PINON,"repliqua Pi-

326",|,GHATEAË DE,GHAÏEAU DE BINON,CHATEAU DE PIFON,RL,CHATEAU DE BINON,"Ma-

138 LE CHATEAU DE PINON",CHATEAU DE PENON,Aixin,CHATEAU DE PIKON,LE CHÂTEAU DE PINON,CHATEUA DE PINON
3,mademoiselle,Mademoiselle,Mesdemoiselles,Made-,Ja-,moiselle,,,,,,,,,,,,,
4,château de Fayel,château d’Anizy,château d'Anizy,Ansizy-le-Châtel,Jen',Anizy,,,,,,,,,,,,,
5,CHATAU,CHATEAU,CHATÉAU,LE.CHATFAU,,,,,,,,,,,,,,,
6,Ga-,Î,CU,,,,,,,,,,,,,,,,
7,"mys-
Bre",Albret,Bre,AÀ,"AI-

bret",Albret etle,Retz,Eh,,,,,,,,,,,
8,Chapelain,Ia,Grâces,Chavignon,E,Chaïlés,Madainè,,,,,,,,,,,,
9,Pinon,Laon,PINON,qu’,PINOX,dePinon,Lil,PINON.-,,,,,,,,,,,
10,Etsi,Mets,Choi-,,,,,,,,,,,,,,,,
11,Anisy,Aniy,,,,,,,,,,,,,,,,,
12,selle de Roucy,"place de Jo-

guet",Mademoiselle de Roucy,M. de Roucy,chambre de mademoiselle de Roucy,moiselle de Roucy,Roucy,,,,,,,,,,,,
13,Acceptez,Partez,Comptez,Paris,,,,,,,,,,,,,,,
14,sailles,Versailles,N E,château de Versailles,Îles,"château
de Versailles",,,,,,,,,,,,,
15,Beaupré,Dangeau,"Cr

66",nir,mmaudant,,,,,,,,,,,,,,
16,feuse,Carrousel,Causa,Jui,arquebuse,,,,,,,,,,,,,,
17,nature.de,Ïl,bure,Maures,,,,,,,,,,,,,,,
18,As-tu parlé,Grois-tu,Ÿ,croisée,Sais-tu ce,Grois,,,,,,,,,,,,,
19,Soyons,Is,Monsei-,,,,,,,,,,,,,,,,
20,Henneite,vienne,Carmélites,Pa-,adorable Hen.,LÉ,,,,,,,,,,,,,
21,dese,Desmonté,perle,"énée

L

des mains",Demandes,jardin des Hespérides,,,,,,,,,,,,,
22,HE,nel,Jo-,,,,,,,,,,,,,,,,
23,Céries,terie,"Hon-

grie",Moyenbrie,homrie,P,Nsetut,Comrient,,,,,,,,,,,
24,La Mothe,Mothe,Mothe-Houdancourt,,,,,,,,,,,,,,,,
25,subjügüer,tyranme,sur-le-champ,Louis-le-Grand,Oui,Louis-le-Gros,Louison,,,,,,,,,,,,
26,perlé,Orléans,el,Noñ,Îl,vingtans,,,,,,,,,,,,,
27,"Écu

de France",la France,NH,Cour de France,Écu de France,de France,écuriés,J',France,"Cour de France dans.le vieux
château de François",Noyon,,,,,,,,
28,Saint-Jean-d'Acre,auberge de Saint-Gabriel,Maintenant,rue Saint-Honoré,Terre-Sainte,TR,TE Se,Saint-Quentin,Rhin,,,,,,,,,,
