cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157
-1,Où,Mortagne,château de Fayel,Beaupré,sou,LE,Väimera,b59,m’,subjügüer,Chapelain,As-tu parlé,Céries,Laon,piers,Roï,AIMÉE JUSQU'A LA MORT,"ON ee mere

ee age me

126 LE CHATEAU DË PINON",Î,moi,longues,Ia,tyranme,J2À.,Partez,Jé,Larneth,ef,Cossé,AÀ,auberge de Saint-Gabriel,supporterai,Ï,Ansizy-le-Châtel,NH,feuse,Ïl,Ÿ,pIXON,Cerbères,125,Carrousel,Henneite,dese,Ilen,pälissant,"Hon-

grie",sur-le-champ,Trouvez-,po,gesie,Orléans,Mesdemoiselles,Suivrez,Klle,Ma-,vis-à-,"AI-

bret",span,s’,Fr,j’,"place de Jo-

guet",tonnelle,Desmonté,Made-,D,Corcy,Jui,vienne,St,Tout-à-coup,|,nemie,Séulemiënt,Le - Une,Venise,écuriés,Moyenbrie,E,Choïisissez-en,GHATEAË DE,Manquerai,SOINS,t’,selle,"Haï-
val",Venez,"théâtre de
Corneille",N E,au-,continua-t,I,gie,Carmélites,YISEON,Hennecourt,CHATEAU,Paris,Quincy,palais de la reine,| Pauvre,confianée,sès,Thurin,Jo-,Normandie,Retz,"Bussy
d'Amboise",Fayel,Chaïlés,Lanissecourt,lout,M,nir,RL,Journée,"237

— Encore",c1,"énée

L

des mains",Tarenie,Allemagne,P,Imsensée,galantin,Majesté,Attends,Îles,DO,d’,Nousdemeureronstouteslesdeux,Yage,Demandes,baïlli,avac,Ellé,TE Se,proménade,lüi,Oui,Cédéz,Eh,1l,ES,soleil,Rentrée,blis,jardin des Hespérides,Fontainebleau,CHATEUA DE PINON,Mothe-Houdancourt,Où voulez,CU,vingtans,Dubois,Rou-,Cy,Choi-
0,Vois,Voilà,Cavois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,IL,Iln',Lil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mademoiselle,Mademoiselle,moiselle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,selle de Roucy,Mademoiselle de Roucy,M. de Roucy,chambre de mademoiselle de Roucy,moiselle de Roucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,brielle,Tcielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Coucy,Roucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Couey,Couëy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cour,Courval,Heudicourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,quellesil,Quelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
