cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64
0,"A
D","1A
I.I",H,I.1,y.,"A
N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.CL,.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,de Versailles,che do Villes,Versailles,Broussailles,M. de Villes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rameau-d'O,rAmeau-d'O,Rames-d'O,Rameau-d'Or,rAmeau-d'Or,hameau-d'O,Menu-d'O,Rameau-,Rameau-d'S,Rameau-d',leau-d'Or,Eau-Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.L,.l,x.L,".L

I
z
2.-",".l

E",L.L,.L-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"I

III","G

III


S
f
IE","II

I","II

II","II 
III","II

II' 

f


II","II

aa
A-",", - II","LIII

I","I

III
H","III

R
II

-'


1GL","MI

IAl
IIII

=FI
II","II'
1I


M","II

l","IB

II


R","I

ii","IIIII

I&","EIG

III","11

Ii","II

H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Plasmide,MI,Dej midi,PL,senior Plasmide,Plasmide Senado de Bia y Cardio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lens,fense,lentz,smolensk,Tiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Vie,"RIVIEnE
La",IE,avie,Vienne,c.,vieux,P,H1V1VIE,Virginie,IVIERNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quoi7,"quoi7
I
La
E","oi7
- Damel",Moi7,- Pourquoi7,.qu',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ia,sonia,Niagara,"IAGO
E",diane,cria-t-,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,rFF3r;(Frc,Prc,rc,percut,crP-erc r;-,Aewerccr-,- Grce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,s-L,s-r,Es-la,s-3,Ou'as-lu,-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,yeux7,Eu,maubeuge,Dieul,W,ceurl,Ih,- Gueusard,auixyeux,Leu,Eu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HH,hha,"W
HH3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Allehany,Alleghanys,Alleghany,ys,ghana,monts Alleghanys,e,rivieres Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,----,".-:---,C-",cr---Prc,C.L:.-'---etre,e:----.--------,gi-'--------------------------------------------------,.-------.-,r-.----L-,rF---------------rF---------c---=e-crire-c,me------,E---:I,Lt2-e---:-------,rs.a---.-,L---E---L,LAn------:-L,L.LL-----,.reasr''.--3- ---------5--a,"P' ``,-
----G--",i----s-i----,s:--,"cesare-ev-err'`r---------------a----------------------

190","nn-.---.-----LL,,,.s.---------r-----le",.'---;--------c=.-,LL-ar-------,CL:---,--------ah,e:-----,"1I
II

-----.---",LL--------,"C----ii
ECCl-CGd
7o",s--,CCC----------=,L-----1,s---=-de,--=--=---====-5,"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l",r7:--,i%--i-de-le--,"W

I
--:a
---------a",L----,Ea--,"F-,----P--,-irE",t.----------F-L.a,"----1--
gE
r","I
W.
3Gla--",Na---,C----L.',"t:.---
L",in----,cF---------e=,.----------==-===-s==il;5a-g,"II
I

III
W

---
-.---------------",--z--,--a,T'---,a-- Hlasl,Y---,Ext---,y---------gee-e,g-----5-,--------.-,"I
A.,
-
300
x---i",L:--a,E---D  Y,--'1
17,indien,Indien,Dieppe,cinIndiens,Dinwidie,toldos indiens,Indiens,Tudient,indiens,Lesindividus,r2,crmonie indienne,L'Indien,Les Indiens,L'indifferenee,pseudo-Indien,Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,L-,Il-,ULL-L,BL-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,angeles,Angeles,M,Angle,Angela,ANGELES,repliqua Angeles,- Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,IWI,wigwvm,IW,Wi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"RI

l
M","I


L","S

l
A
M","PRIVIL
-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Duquesne,point dufour,FORT DUQUESNE,fort Duquesne,fort dUquesne,Fort Duquesne,"fort
Duquesne",fot Duquesne,"fort
Rupert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,rale-www- terre+kkisaisi,"E
Is",pliska,Is,Paris,Agis,Sois,Ois,whiskey,IS,"IS

LU",E IS,"is
E

S

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,eC01e,c0,1(0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BELLE R1YIE,YI,BELLE R1IER,MELLe R1V1ERIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Allez allez,Alle,alluma,Malleval,- Halal,L.aLL,Maleval,LE6AlL,mollet,halles,Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Nouvelle-France,Nouvelle-fRance,Nouvelle-Orleans,l’,Nouvelle-Orl6ans,Nouveau-,TrOuve,Boucle,nouvelle En,Nouvelle-Hollande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sommes,Hommes,comment7,la somme,Sommes-,Lhomme,Femmes,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,N-,bon7,Con-,Wacondah,I5,congo,Facon,Ion-,Junon-,Gascon,Coulon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,tre,Tre,notre cote?1,notres Belle-TIrelire,Centres,samaltresse,K,Montreal,extreme,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ELLe,LA HELLlE,selle,ELle,paallele,"AI

LA BELlE RIV1LEUR",sele,Quelles,LA HELLlE HR1VILlE,BIELLE,luuelle,mademoiselle,lExcellenll,ollert,libell,Telles,BElLE II1EnE,R3ELLE,fidele,Celles-ei,mademoiselle 2,lle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bois-Bre7,BOis-,bois-but6s,"Bois-
Bre",du bois-le,Bois-rappel,Bois-Brales,Bonsoi,Bois-Tach,Bois-Brles,Bois-l'ray,brave Bois-Ble,bois-brul6s,Vois-tu,Crois-tu,Tais-toil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,louga-Hande,Iouha-lande,Iouha-,Iouha-Hande,Iouda-VIande,Iouha-Hand6,Hande,MIkha-Hande,Iouha,Mouha-Hande,Joua-Hande,loua-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wagon,aWA,by God,gonfl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bisons-Hurons,baie d'Hudson,Hurons,i Rollon,Huron,hUdson,Loups-Hurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,WMLR,"WMLR
HI",.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,jou,jou o,Joue,fourr6s,Anjou,jours;.,anjou,vaudou,Jo,Jouons,Ajoutez,- Ajoutant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,M. de Grigny,Grigny,- Signe,Carignan,baron de Grigny,Gigny,NY,Joignez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,verai,terrass6,verrasl,ecrasez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Aide,"N


DE
P2",DE,deput,"leude cheri
de",pyramides de Cholula,DE.-',-de,"hEIDI
El
DE

H",Demohl,"etat de
defense",rideau de verdun,EDEl,Dej,Deja,de-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"S
219","A

t
D-
S
H",".:F'

r
S
I","S
S","I
S
G","I

H
2R
S","LIl

Is
SGE


A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"IM,1
H",P1,IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
