cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43
0.0,"A

L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,piti,amiti6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,fort Necessite,Necessite,cesSeront,w`zxmnecec,fort Ncessite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,"NL


E","2L

EE2EZ",".l

E","W
A pas
l


E.
2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Quoi7,- Pourquoi7,Moi7,"quoi7
I
La
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Serves,reserve,Ferney,Observez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Lovelace,Enveloppe,Placee,chine entrelacees,jela,Enlaces,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Sommes,Femmes,Sommes-,Lhomme,la somme,Hommes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,yeux7,auixyeux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,BELLE R1YIE,MELLe R1V1ERIE,"AI

LA BELlE RIV1LEUR",BELLE IR1VIVRE,BELLE IW1iRE,Belge,BELLE R1IER,libell,BELLE R1VIVRE,BElLE II1EnE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"oi7
- Damel","7
- Rien",Amel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Petit-Fort,Mort,"fort
Rupert",TIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,"IM
i 
E","M
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Etats-Unis,etat,lEtat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,"EEI

E","I

E",ssAeeia5-L,eeieeie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
