cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177,elem_178,elem_179,elem_180,elem_181,elem_182,elem_183,elem_184,elem_185,elem_186,elem_187,elem_188,elem_189,elem_190,elem_191,elem_192,elem_193,elem_194,elem_195,elem_196,elem_197,elem_198,elem_199,elem_200,elem_201,elem_202,elem_203,elem_204,elem_205,elem_206,elem_207,elem_208,elem_209,elem_210,elem_211,elem_212,elem_213,elem_214,elem_215,elem_216,elem_217,elem_218,elem_219,elem_220,elem_221,elem_222,elem_223,elem_224,elem_225,elem_226,elem_227,elem_228,elem_229,elem_230,elem_231,elem_232,elem_233,elem_234,elem_235,elem_236,elem_237,elem_238,elem_239,elem_240,elem_241,elem_242,elem_243,elem_244,elem_245,elem_246,elem_247,elem_248,elem_249,elem_250,elem_251,elem_252,elem_253,elem_254,elem_255,elem_256,elem_257,elem_258,elem_259,elem_260,elem_261,elem_262,elem_263,elem_264,elem_265,elem_266,elem_267,elem_268,elem_269,elem_270,elem_271,elem_272,elem_273,elem_274,elem_275,elem_276,elem_277,elem_278,elem_279,elem_280,elem_281,elem_282,elem_283,elem_284,elem_285,elem_286,elem_287,elem_288,elem_289,elem_290,elem_291,elem_292,elem_293,elem_294,elem_295,elem_296,elem_297,elem_298,elem_299,elem_300,elem_301,elem_302,elem_303,elem_304,elem_305,elem_306,elem_307,elem_308,elem_309,elem_310,elem_311,elem_312,elem_313,elem_314,elem_315,elem_316,elem_317,elem_318,elem_319,elem_320,elem_321,elem_322,elem_323,elem_324,elem_325,elem_326,elem_327,elem_328,elem_329,elem_330,elem_331,elem_332,elem_333,elem_334,elem_335,elem_336,elem_337,elem_338,elem_339,elem_340,elem_341,elem_342,elem_343,elem_344,elem_345,elem_346,elem_347,elem_348,elem_349,elem_350,elem_351,elem_352,elem_353,elem_354,elem_355,elem_356,elem_357,elem_358,elem_359,elem_360,elem_361,elem_362,elem_363,elem_364,elem_365,elem_366,elem_367,elem_368,elem_369,elem_370,elem_371,elem_372,elem_373,elem_374,elem_375,elem_376,elem_377,elem_378,elem_379,elem_380,elem_381,elem_382,elem_383,elem_384
-1,"II

I
I
I",Demohl,"EI

I
IL",rs.a---.-,"C----ii
ECCl-CGd
7o",Pſ,"E
I
I

R",Rameau-,DE.-',Ii-,--'1,KI,IV1EE,"S
 E

PAR

L

I.
I
III


SI
A",alger,"U
III","IB

II


R","IM
i 
E",NY,1(0,lExcellenll,Aewerccr-,"N 

III
II
2i",Yl,L---E---L,"EEl

HEE",".:F'

r
S
I","E
I'

EEE","II
I
M",- Ariverons,Quels,Enveloppe,I1ets,"II
E",luuelle,sonia,chaumiee,miseres,"I
I




L.I

E",in----,bErge;mais,querrezla,Lona,".-:---,C-",amiti6,Na---,".-a.=---af
El
E

IEEE",iiicceiriy;e-,"II
I



II
IR
I",hG,MELLe R1V1ERIE,"E

II
IMI","I
III
H
I

III
III
II
l
III",caractee,"N

III
I
I
I","HEE

III
ULN","AI

LA BELlE RIV1LEUR","W

I
--:a
---------a",Femmes,"I
I

I.",Y---,spee,"E


I
E.
LI",BEI.LE IVOiRE,Menu-d'O,teignit les torches,appiopiees,- Nullement,nouvelle En,Considerez,IY,Americains,"N

I

i
5
R",sE.,".L

I
z
2.-",Parties,LAn------:-L,"II
vOYAGE DE NU1I",curiosit,--a,"aI
II
IIII",beto,Lt2-e---:-------,Dire,tu6s,E---D  Y,Riche,Kouba,Celles-ei,"II
I
IMA",Jullouville,serpentine,opinion2,"R
I",Lhches,vaudou,"II
II
II
f
1",".L.

I
I
DE-",", - II",opiniit6ment,"LIl

Is
SGE


A",audacieusemenl,"W
L",Ehl,paule,hameau-d'O,"WI
 
I

t",i arrete,--z--,E2-,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",rideau de verdun,Voyons,"I
S
G","IJ
ll
I


y- I
III
I
iI
R
II
II
LA BELLE",".l

II
DE

L
I

LEE


III

i
I
2.A",frontiere,"E
I

M
IIIII","I
I
II
II
H
III
I
II",grinca,".2-
-
U
2


E",BELLE IW1iRE,malle la Couleuvre,delicatesse des Europeens,GIIFIROY,"S
L

I
EFE",passee,Pilla,Coulon,Royal-Marine,"M
I","1I
II
I

1
I","E

I
I
I
I1",LL-ar-------,"I
I
III
IL","43 ii

I
E",HE,Veuillez,- Completement,"II
III
I
II

L
 t'
L","II
I
I
I.
I.",".E

I
I
 r T
r-cela5-F-F","II
I
E

E",Inuimurai,E7,toldos indiens,.r.rm-areva.5,"H
I
I
A","7
- Rien",pyramides de Cholula,"II'
1I


M","F-,----P--,-irE",parc du chteau,savoir7,"2-,-GiGU-G",.muraIlLe1LL,"SL

I

IM",Reconnue,cap du Chat,e:-r-les-Ziiciiiaii,maintenant7,Pa-,S A,EG,Indies,"H
I","I

I","H

II

sI
B",.Puis,LLL--,2P-LL,"I

I
I.
I
I","I

II
III


II
Y",Iouda-VIande,A'L,"II

II
t
ET
III
III

LIILLLLILLLLLLLI
Le Canadien",cesSeront,"Bl
I
I
II
I","IS

LU","P
I
W",Lh,"u5
L
I
aa
IIILLE
L",la somme,Eau-Jaune,g;gEE-e,"III

R
II

-'


1GL",Claudere,-eE-reer,Marches armoricaines,QUel moitI,Ext---,"k2--
26",L'Indien,"I
I
I




i1
I
I
I

I",g-----5-,"II
I

III
W

---
-.---------------",r2,"II
I
II 
I1",benfica,"S

E
E",- Halal,"Is
Es
e
’il
¬
J
eoene
vie
vie
pape",crP-erc r;-,TrOuve,"1I
II

-----.---",- Pas,n1,"II
II
II 
IA",c.,"El

B
I



h E

I
I
I
I1
II
II1

DE

RE

I
MI

I
I



ET

1
IL
A

L

Il


A
M
A
 H



  I


MII",Ferney,"EIG

III",T'---,Castille,a.-W.,"II
I

I
II

II1","II

aa
A-",Vienne,Quebec,larzac celtique,SiRI,e:-----,s-3,"I
I
IIl
III
II
I
IW","HE
I
I
l",Lesindividus,rreceesee-cc;cc;c,"leude cheri
de","II

T
L
I
LI","II
I
vI

 U",gand,Hande,lHistorique,Telles,Sans-Piste,H1V1VIE,"I
I
Ma
 IH","P' ``,-
----G--","IlEI
E
ET
DE
L
UE
IIIIY",AU CHATEAU,"--g,.s-I.-r",demeuxez,"I

I
I
l",C.L:.-'---etre,"I
H.
2R
---a-

IL
III

aI","----1--
gE
r","II
I",free7,"IER
I
U
I
II","I
I",moscou,"csS

II
III
e
III
G
II
I","II

I
aT","I
I
E.","I
III
IMI
II1",lle,chateau de Malevil,"II
I
H
I
I
IIII",Franais,Ouie-Fine,"I
L
lE
C
Aa",i----s-i----,ILIY,deput,Il-,cr---Prc,"RI
I
F","I
I
I
.I",ILes Indiens auxiliaires des Anglais,L.LL-----,y---------gee-e,fray6,"S

SS",bravo,"I
I
H. 
I",lEh,briquet,L'indifferenee,Couche,Createur,t.----------F-L.a,Les Indiens,".:AI
i
I",trafiquei,II,me------,coStume,"tES
E
I

I
III
I1
III
II


aI",Cecije,"opinion2
- Pas entierement",Montreal,leau-d'Or,C----L.',"III

I
I
III",stupetaclion,IVIERNE,.-Z-,Nouveau-,"F

I

2",tad,"A

I
1

II
II","IW

i.
I
IIIE",seuil de la maisonnette,"I
I
II

I
H",Am-,cinIndiens,"nn-.---.-----LL,,,.s.---------r-----le","II
I
I
I
III
F",LLE-LLs,"asIE

I

T
I
I
IRG",Washington,"Nouveau-

I.1
1
I
A
I
M




I

LA BELLE",echoue,ssAeeia5-L,Totem,"YI
I",sele,"I'
IR

N1

E",nzz:35-,Desormais,Iouha-lande,toldos,brave Bois-Ble,.reasr''.--3- ---------5--a,dilficulteset,"I

H
2R
S","XI
E
I
ET",eeieeie,Ln,"RIVIEnE
La","LIII

I","I
A.,
-
300
x---i",Quelles,batte,LL.:5,Eetiiiee,.----------==-===-s==il;5a-g,"II
II
E.

I

I





I.",Bernardo,"A
I
II
II
II1
I
N",Ext,Villages,"I
I
Et
IV
IIII",saecades,pseudo-Indien,"I
I
II","II

I
III
Y


SS","S

l
A
M",percut,"II'
II
II

I",- Recensement,Tels,"H
I

II
I
I

l

I
I



I
II","II

21I
I

.2",L.L,"MI

IAl
IIII

=FI
II",tm,cap Rosier,"I
I
F

H
III
r

t

Un",II1ERIE,"I
iII
aI
1","I'
II
l
R","H

III
HI","is
E

S

D",E---:I,souple,"I
I


I
K
Hi
I","H

II

II
I

I

r
II",L1IN,terre Sainte,"II
I

I

x",Sicile,Ea--,"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l","G

III


S
f
IE",Rames-d'O,"II
LE OR RENCES1TE
IL'",Cherie,"11

Ii","pei

I",Vraiment,r-.----L-,"R
St
XIIE
E
I
 WN",ceurl,BElLE II1EnE
0,Y7,P1,I,I5,l’,z=,GG,I4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J1,Z0,9i,H,281,O,D,WC,J',F,A4,M,e’,K,A7,G,W,e,N,I2,N¬,S,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,i,¬¬,7I,T,V8,L,S',R,y.,G¬,E,g3i,B,.,P,JI,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A60,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ys,5I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"WMLR
HI",WMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ih,cac:=-esa-e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I.1,axa;:E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Acceptez,Accepte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
