text,cluster
ia,0
Niagara,0
cria-t-,0
"IAGO
E",0
diane,0
Ia,0
z=,0
sonia,0
merisier,1
galerie',1
guiers,1
Merci,1
Terme,1
chalutier,1
II1ERIE,1
Permet,1
meritee,1
Parisien,1
cap Rosier,1
Nouvelle-Orleans,2
N,2
TrOuve,2
Nouvelle-Hollande,2
Nouvelle-France,2
Nouveau-,2
Nouvelle-Orl6ans,2
i,2
nouvelle En,2
Boucle,2
D,2
Nouvelle-fRance,2
repondre,3
Andre,3
Londres,3
Reviendrez,3
satnis reponse,3
reponde,3
Pourrez-,3
E,3
tibus,4
1(0,4
IB,4
Ilibustier,4
rc,5
crP-erc r;-,5
- Grce,5
percut,5
rFF3r;(Frc,5
Aewerccr-,5
Prc,5
1'Il-de-ben,6
1'Il-de-But,6
Grigny,7
Gigny,7
baron de Grigny,7
- Signe,7
NY,7
Z0,7
Joignez,7
M. de Grigny,7
hG,7
Carignan,7
.r-3-r-,8
r-.:s,8
H,8
r-.:s -,8
Y-:s,8
tete,9
Totem,9
batte,9
sete,9
i arrete,9
repete,9
Palmette,9
GG,9
anxiete,9
remettez-le-moi,9
etendus,9
dilficulteset,9
Losque,10
Risque-Tout,10
lOrsque,10
Alos,10
Quebec,10
Vue,10
Masque,10
AA,11
ra-aZ-iaaf,11
.xLzeAAk,11
aaa-r:- cCZCZL,11
tm,11
Aa-AP4,11
Aa,11
aA,11
Posant,12
Opossum,12
Posait,12
Jan-Pol,12
san,12
Sexes,13
ES,13
Visages-Pales,13
Es-tu fou,13
La9ues,13
est-A,13
Parties,13
Fauves,13
EEs,13
Visages-Les,13
leves,13
hesita,13
Est,13
Ves,13
Ext,13
cac:=-esa-e,13
"EEs

HGI",13
lugubes,13
teignit les torches,13
ESt-ce,13
Tes,13
Alle,14
lle,14
Jerusalem,14
Malleval,14
alluma,14
LE6AlL,14
L.aLL,14
mollet,14
halles,14
- Halal,14
Allez allez,14
Maleval,14
L'Aigle-Volant,15
1'Aigle-Volant,15
L'Aigle-Volont,15
L'Aigle,15
Aigle-Volant,15
1'gle-Volant,15
l'Aigle-Volant,15
Aigle-Volant roula,15
GL,15
Aigle-Volt,15
Quoi7,16
"quoi7
I
La
E",16
- Pourquoi7,16
.qu',16
Moi7,16
e,17
".,-",17
P,17
".,-::Y'",17
"c,-",17
".,.3-",17
".,L",17
Accepte,18
Acceptez,18
Pace,18
Pittsburg,19
Pite,19
- Faites,19
Ln,19
Ponce-Pilate,19
precipitee,19
cupidit,19
profitera-t-il7,19
Sans-Piste,19
hesiter,19
hospilalitel,19
e’,20
Le soleil,20
gand soleil,20
role,20
regardez le soleil,20
desole,20
le soldat',20
dole,20
souple,20
soleil,20
"Y

Ill",21
"Ill
II",21
Il3,21
ILL,21
Jullouville,21
IL,21
Ill,21
.muraIlLe1LL,21
Pilla,21
ILA,21
Villages,21
Leona,22
Lona,22
Leonal,22
Creole,22
Rs,23
vers6s,23
lors7,23
rs,23
Nord,24
born,24
Or,24
Lignorez,24
New-York,24
Mort,24
Marigots,25
Anse-aux-Marigots,25
Mise-aux-,25
Cecije,26
w`zxmnecec,26
IJ,26
piece,26
soci6t,26
A'L,27
R,27
"I1 -
I-",27
".2-
-
U
2


E",27
i-,27
"Z
-
A",27
MW,27
"P-- -
I",27
Comprenait,28
pres,28
Presque aussitot,28
popre,28
Apres,28
resolu,28
resume,28
Aupres,28
Prends,28
.-------.-,29
"cesare-ev-err'`r---------------a----------------------

190",29
g-----5-,29
"AAtsi-'.5.C-2C:--::-----A----e-::=-a--

1l",29
----,29
.----------==-===-s==il;5a-g,29
E---:I,29
e:-----,29
Ext---,29
rF---------------rF---------c---=e-crire-c,29
C.L:.-'---etre,29
Ea--,29
.'---;--------c=.-,29
gi-'--------------------------------------------------,29
rs.a---.-,29
me------,29
"I
W.
3Gla--",29
s:--,29
LL--------,29
L---E---L,29
".-:---,C-",29
"II
I

III
W

---
-.---------------",29
--------.-,29
a-- Hlasl,29
"P' ``,-
----G--",29
.reasr''.--3- ---------5--a,29
L----,29
L-----1,29
i%--i-de-le--,29
"nn-.---.-----LL,,,.s.---------r-----le",29
--=--=---====-5,29
LAn------:-L,29
"t:.---
L",29
C----L.',29
in----,29
t.----------F-L.a,29
"W

I
--:a
---------a",29
r7:--,29
cF---------e=,29
CL:---,29
"1I
II

-----.---",29
cr---Prc,29
r-.----L-,29
LL-ar-------,29
Y---,29
L:--a,29
--'1,29
y---------gee-e,29
E---D  Y,29
CCC----------=,29
Lt2-e---:-------,29
L.LL-----,29
T'---,29
"C----ii
ECCl-CGd
7o",29
"F-,----P--,-irE",29
--a,29
"I
A.,
-
300
x---i",29
"----1--
gE
r",29
Na---,29
--z--,29
e:----.--------,29
"k2--
26",29
--------ah,29
s--,29
s---=-de,29
i----s-i----,29
eC01e,30
c0,30
"REESE

E",31
"NL


E",31
"E


E",31
"Le

E",31
"aſ e e des

aa
eee

aa",31
- E,31
"N

E",31
5E E,31
"E

E",31
"Ee de e ines
daa",31
Sence,32
I4,32
roi de france,32
France,32
Franchement,32
Ocean,32
de france,32
"beto
france",32
de France,32
roi de France,32
Branche,32
fray6,32
la France,32
Nonce,32
bete france,32
france,32
Avez,33
Savez,33
savez-vous7,33
AVec,33
Venez,33
notre cote?1,34
Titres,34
Centres,34
Tre,34
notres Belle-TIrelire,34
Montreal,34
samaltresse,34
