cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
0,pre,Beaupre,Apres,hte,-Prenez,precher,prelat,,,,,,,,,,,,,,,,,,,,
1,sanss',san-,obeir,luil,nuyes,,,,,,,,,,,,,,,,,,,,,,
2,de Versailles,"chateau
de Versailles",Versailles,,,,,,,,,,,,,,,,,,,,,,,,
3,Iais,CHIAITLU,Jetais,N6is,laissel,sais,,,,,,,,,,,,,,,,,,,,,
4,Ion-,E irioN.,tradition124,reunion,dege,,,,,,,,,,,,,,,,,,,,,,
5,echoue,chose3,S,houx,,,,,,,,,,,,,,,,,,,,,,,
6,Gardez,gard,Gardez-vous-en bienl,Eh,Cedez,,,,,,,,,,,,,,,,,,,,,,
7,Moi,moihs,MOI,moiLKE,,,,,,,,,,,,,,,,,,,,,,,
8,Ceslt,Hui-,PIo,Grces,Rhin,,,,,,,,,,,,,,,,,,,,,,
9,tomber332,Cerberes,265s,"marechal de
Schomberg",Lambertremit,si110,,,,,,,,,,,,,,,,,,,,,
10,Louison,Iguison,-Louison,Oh l Louison,,,,,,,,,,,,,,,,,,,,,,,
11,soirl,dehorsne,soiree,sa116,soilt,,,,,,,,,,,,,,,,,,,,,,
12,Ouvre,"decouvre2
- Je",fievre,,,,,,,,,,,,,,,,,,,,,,,,
13,jeler,colere,seLE,faireles,leroi,,,,,,,,,,,,,,,,,,,,,,
14,fepondre,repondre,Flandre,D,IL,au-,argenut,tomprendre,g328,,,,,,,,,,,,,,,,,,
15,chateau,CHATEAU,CHATAU,F0t-LL CHATEAU-,chatelenie,ducdOr-,CHATEAU D INON,CIHATEAU,CHAITEAU,,,,,,,,,,,,,,,,,,
16,gazette7,Delette,unelettre,paysl,l06,"II

hivEr
III 
Lalettre",ce324,- CettE,delre,,,,,,,,,,,,,,,,,,
17,moiselle de Roucy,selle de Roucy,M. de Roucy,Mademoiselle de Roucy,,,,,,,,,,,,,,,,,,,,,,,
18,etpour,El pourquoif,Jour,I9,m0eN,Thurin,h Joguet,Cejour,- TrèS,Bourgogne,,,,,,,,,,,,,,,,,
19,Moyenbrie,I,Croyez-,Mlarie,Voyez,terie,,,,,,,,,,,,,,,,,,,,,
20,dAlbret,Arbre.e,yeu,Albret,C09Or,,,,,,,,,,,,,,,,,,,,,,
21,miains,Ainsi,parc d'Ainsi,chteau d'Ainsi,sil',ainsi-le-Hôtel,,,,,,,,,,,,,,,,,,,,,
22,Heudicourt,"maduame
d'Heudicourt",j-,bonheui,Ieudicourt,,,,,,,,,,,,,,,,,,,,,,
23,blie,italie,Liee,,,,,,,,,,,,,,,,,,,,,,,,
24,recut,emeraudes,recerai,vengeraiNi,,,,,,,,,,,,,,,,,,,,,,,
25,n98,Arrivee,Navarre,sonarrivee,,,,,,,,,,,,,,,,,,,,,,,
26,ecria,crirenl,lieutenanl-criminel,,,,,,,,,,,,,,,,,,,,,,,,
27,Laon f,aon,Laon,,,,,,,,,,,,,,,,,,,,,,,,
28,leeque,Inconsequence,eveques,le330,MI,LB,Corcy,,,,,,,,,,,,,,,,,,,,
29,piers,traferse,Persistez,dheritier mile,,,,,,,,,,,,,,,,,,,,,,,
30,cetle,CHEATLEAU,CHEAU,c0,Orleans,CHATLEAU,A,,,,,,,,,,,,,,,,,,,,
31,Ursulines,Ursulines de,E,Bouvines,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,
32,chavannes,sur-le-champ,Chavigon,lavie,Chavignon,,,,,,,,,,,,,,,,,,,,,,
33,tesl,gie,Père-,gileltes,mantes 0 es,,,,,,,,,,,,,,,,,,,,,,
34,beni,Venise,benis,J',église',,,,,,,,,,,,,,,,,,,,,,
35,eux;1,Dreux,Eux,,,,,,,,,,,,,,,,,,,,,,,,
36,Rouey,Rou-,detoue,aoue,,,,,,,,,,,,,,,,,,,,,,,
37,Crevecaeur,Heure,oleur,soleil,,,,,,,,,,,,,,,,,,,,,,,
38,savez-Y0,couvet,Trouvez-,trouvez-,trouvezR-,,,,,,,,,,,,,,,,,,,,,,
39,Sissone,chteau de Sissone,aulx,Soissons,,,,,,,,,,,,,,,,,,,,,,,
40,deix,Noyon,t63,,,,,,,,,,,,,,,,,,,,,,,,
