cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0.0,pre,Beaupre,Apres,-Prenez,precher,prelat,,,,,,,,,,,,,,,,,,,,
1.0,PINON,Pinon h Anizy,CHATEUA D PINON,DL PINON,IINO,dePinon,PiNON,"terre,206  L cHATA p PINoN.",DII PINON,Pinonl,PINO,CHIIATSAU D PINON,Pinon,,,,,,,,,,,,,
2.0,sanss',san-,Orleans,,,,,,,,,,,,,,,,,,,,,,,
3.0,de Versailles,"chateau
de Versailles",Versailles,,,,,,,,,,,,,,,,,,,,,,,
4.0,leeque,Inconsequence,eveques,,,,,,,,,,,,,,,,,,,,,,,
5.0,Iais,CHIAITLU,Jetais,laissel,sais,,,,,,,,,,,,,,,,,,,,,
6.0,Argus,argenut,,,,,,,,,,,,,,,,,,,,,,,,
7.0,mouy,Rouy,Couy,Mouy,,,,,,,,,,,,,,,,,,,,,,
8.0,Mortagne,gne,Pignerol,Bourgogne,,,,,,,,,,,,,,,,,,,,,,
9.0,Moi,moihs,MOI,moiLKE,,,,,,,,,,,,,,,,,,,,,,
10.0,recut,recerai,vecu,,,,,,,,,,,,,,,,,,,,,,,
11.0,MAi-,"Ai-
y.",,,,,,,,,,,,,,,,,,,,,,,,
12.0,tomber332,"marechal de
Schomberg",Lambertremit,,,,,,,,,,,,,,,,,,,,,,,
13.0,Louison,Iguison,-Louison,Oh l Louison,,,,,,,,,,,,,,,,,,,,,,
14.0,soirl,soiree,soilt,,,,,,,,,,,,,,,,,,,,,,,
15.0,L CHTATEAU,CEATEAU,CIIATEAU,CATEAU,beate,CHRATEAU,CIATEAU,IIE GIIATEAU,,,,,,,,,,,,,,,,,,
16.0,fepondre,repondre,Flandre,,,,,,,,,,,,,,,,,,,,,,,
17.0,Ouvre,"decouvre2
- Je",fievre,,,,,,,,,,,,,,,,,,,,,,,
18.0,jeler,seLE,sujels,leroi,,,,,,,,,,,,,,,,,,,,,,
