cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
0,pre,Beaupre,abbaye de Premontre,Apres,-Prenez,Père-,precher,Premontre,tomprendre,prelat,delre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PINON,Pinon h Anizy,DL PINON,IINO,Noyon,dePinon,P1NON,PiNON,PImNo,DII PINON,Pinonl,PINO,Pinon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sanss',san-,Orleans,".,-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jo-,h Joguet,265s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mouy,A62,L.L,Rouy,Couy,Mouy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s0upconne,Mortagne,gne,I,Espagne,Allemagne,Champagne,Pignerol,ne234,Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,echoue,chose3,houx,aoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gardez,gard,deix,Gardez-vous-en bienl,Cedez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Moi,- Oih,moihs,MOI,moiLKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Louison,Iguison,-Louison,Sissone,Puis',Oh l Louison,bonheui,Soissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ouvre,"decouvre2
- Je",fievre,Bouvines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,galantin,elana,Lanuit,Clany,Grignan,Helasl,Chapelainf,Helas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,fepondre,repondre,Rendez,Flandre,j-,dres,t63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,emeraudes,etrangeres,traferse,vengeraiNi,range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,miains,Ainsi,parc d'Ainsi,chteau d'Ainsi,"cousine ger-
maine",Rhin,ainsi-le-Hôtel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Heudicourt,Mothe-Houdancourt,"maduame
d'Heudicourt",Ieudicourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Crevecaeur,Aureu,Heure,oleur,- Ilaura,Maures,aulx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Coucy,oucy,Roucy,Rouey,Rou-,ducdOr-,RoUcY.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,l188,L1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Accoutumee,S,cOurage,etpour,El pourquoif,Jour,Cour,Lanissecourt,couvet,Coural,murmura,Corcy,Cour7,"Cour'
Vous avez done oublie",Cejour,Hennecourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,leeque,eveques,Fiesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,moiselle de Roucy,selle de Roucy,M. de Roucy,Mademoiselle de Roucy,sire de Coucy,l06,fete de Coucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,IISI0I.,Sis-,I.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,n98,"Coucy ' Y-eut-
ilun possesseur",Lacomtesse,compagnles,E,Cosse,comtessen',c0mtesse,raccommoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,L CHTATEAU,CHA1EAU,CEATEAU,chateau,"chateau
de Versailles",CHEATLEAU,CHEAU,CHATEAU,CHATAU,F0t-LL CHATEAU-,chatelenie,CIIATEAU,CATEAU,le chteau,CGHAEAU,Emi-.LE CHATIEAU,beate,CIHATEAU,CHRATEAU,CHAITEAU,CHATLEAU,CIATEAU,CHAIEAU,CHAEAU,IE CHAIEAU,,,,,,,,,,,,,,,,,,,,
25,chavannes,Chavigon,lavie,Chavignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,II,JUS0I1 IlI III,perduelIIIIIIII,II 10III,III0iL.,"II

hivEr
III 
Lalettre",IIE GIIATEAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
