cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33
0,pre,Beaupre,abbaye de Premontre,Apres,-Prenez,Père-,precher,Premontre,tomprendre,prelat,,,,,,,,,,,,,,,,,,,,,,,,
1,de Versailles,"chateau
de Versailles",Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CHATEAU DE INON,E CHATEAU DE PINON,CIHATRAU DE,CHEATEAU DE PINON,circonstan-E CHATEAU DE PINON,montre272  LE CHATEAU D PINON,IE CHATEAU DE PINON,Père-120  LE CHATEAU DE PINON,folatre et gra-LE CHATEAU DE PINON,CHATEAU DE PINON,CHATEUA D PINON,Sire.220 LL CHATEAU D PINON,LI CHATEAU DE PINON,Ls CHATEAU DE PINON,CHATEAU DE PrNo,le chteau,hol-LE CHATEAU DE PINON,chateau de Fayel,CRATEAU DE PINON,CHATEAU DE P1NON,elleLE CHATEAU DE P1NON,F0t-LL CHATEAU- DE PINON,deLE CHATEAU DE PINON,CHATEAU E PINON,gardeE CIATEAU DE PINON,CHATEAU DkR PINON,"terre,206  L cHATA p PINoN.",LE CnIATEAU D PINOM,EE CIIATEAU DE PINON,LL CHATEAU DE PINON,CHIATEAU Ds PINOa,LB CHATEAU DE PINON,lelaine.128 LE CHATEAU DE PIN0N.,Vraiment?LE CHATEAU D PINON
3,mouy,Rouy,Mouy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mortagne,gne,Allemagne,Pignerol,ne234,Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,echoue,chose3,houx,aoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gardez,gard,Rendez,deix,Gardez-vous-en bienl,Cedez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Moi,- Oih,moihs,MOI,Quedois-jefairedonnez-moivos ordres,moiLKE,J',,,,,,,,,,,,,,,,,,,,,,,,,,,
8,recut,recerai,vecu,t63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,tomber332,"marechal de
Schomberg",Lambertremit,g328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Louison,I9,Iguison,-Louison,Oh l Louison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ouvre,"decouvre2
- Je",fievre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,fepondre,repondre,Flandre,dres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,gazette7,Delette,unelettre,- CettE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,sanss',san-,sa116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,emeraudes,etrangeres,Cerberes,traferse,vengeraiNi,range,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,miains,Ainsi,D,parc d'Ainsi,chteau d'Ainsi,Rhin,ainsi-le-Hôtel,Chapelainf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Heudicourt,"maduame
d'Heudicourt",E,bonheui,Ieudicourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jo-,etpour,Jour,h Joguet,Cejour,I',,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Crevecaeur,Aureu,Heure,Maures,j-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Coucy,oucy,Roucy,Rouey,Rou-,A,RoUcY.,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,l188,L1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Accoutumee,cOurage,El pourquoif,Cour,Lanissecourt,Coural,Cour7,Couy,"Cour'
Vous avez done oublie",Hennecourt,,,,,,,,,,,,,,,,,,,,,,,,
23,leeque,Inconsequence,eveques,Fiesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CHIAITLU,aiti,tradition124,"Ai-
y.",vousaitE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,moiselle de Roucy,selle de Roucy,M. de Roucy,Mademoiselle de Roucy,sire de Coucy,fete de Coucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,cetle,CHEATLEAU,CHEAU,Orleans,CHATLEAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lacomtesse,comtessen',c0mtesse,raccommoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,L CHTATEAU,CEATEAU,chateau,CHATEAU,CHATAU,F0t-LL CHATEAU-,chatelenie,CIIATEAU,CATEAU,Emi-.LE CHATIEAU,beate,CHATEAU D INON,CIHATEAU,CHRATEAU,CHAITEAU,CIATEAU,IIE GIIATEAU,,,,,,,,,,,,,,,,,
29,Ursulines,Thurin,Ursulines de,Bouvines,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,chavannes,Chavigon,lavie,Chavignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,IISI0I.,II,JUS0I1 IlI III,Biissy,IINO,perduelIIIIIIII,II 10III,III0iL.,"II

hivEr
III 
Lalettre",,,,,,,,,,,,,,,,,,,,,,,,,
32,Ceslt,tesl,paysl,gileltes,mantes 0 es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,- Tres,"tresses,104",- TrèS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sissone,chteau de Sissone,Persistez,Soissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ressemblancc,Croix-Blanche,Lanuit,Clany,Croix-Blantchie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,savez-Y0,couvet,Trouvez-,trouvez-,s0nt tous e Ilouvement,trouvezR-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,I,oleur,Nonsieur,Mlonsieur,pensie,messieurs?190 r. c2A E INoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ion-,E irioN.,Sion,sion,PIo,reunion,"va-
sion",si110,"ckaA E IioN.
bas0il `de permissioi",,,,,,,,,,,,,,,,,,,,,,,,,
39,IL,luil,-Ilfaut,sil',il4e,philosophiquemenl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,dAlbret,Arbre.e,Albret,refuset,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ecria,crirenl,lieutenanl-criminel,leerire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,la22,Laon f,aon,Fidoncl,la134,Laon,t1,I.E,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Arrivee,Navarre,sonarrivee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Puis',N6is,Puisqu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Villers-Cotterets,colere,allee,aller-,fallt,Enfer-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Lassee,passee,laissel,Ramasse,Cosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,biehi,Eh,.-Eh,Ehiol,dehorsne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,elana,jeler,seLE,sujels,el,faireles,weLdon-,delre,,,,,,,,,,,,,,,,,,,,,,,,,,
49,clle,hOtellerie,elle-mee eontre,belle-fille',le330,ellE,EllE,Elleaimait,tonnelle,- Est-elle,Rappelez-vousLE,ple,qulelle,,,,,,,,,,,,,,,,,,,,,
50,Picarde,Normandie,Picardie,Picsrdie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Lamethen,Lam-,Bussy-Lameth,Lameth,L.L,larmee,Maame,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,C0te,c0,C09Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,s0upconne,Bohemiens,Bohemienne,Ayohs,cheminee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,beni,m0eN,Venise,obeir,dfend,benis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pa-,MI,MIa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Mlade-,Mladame,Mludame.1,ladame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,grace,Francois I,esperance,deFrance,la France,france,de France,Cour de France,ce324,lyrannie,C0nnaissance,Providence,,,,,,,,,,,,,,,,,,,,,,
