cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,interrom—,l‘inter-,mainte—,"interrom—

DE",,,,,,,,,,,
1,rugisse—,J,dénoû—,jeun,Cesse,Laisse,mugisse—,dissé—,,,,,,,
2,débar—,couar—,& v.,oligar—,IV,ar——,,,,,,,,,
3,espa—,ESpa—,dispa—,r. nt} c.,espè—,,,,,,,,,,
4,Canadien,Sept,ganado,Canadienne,brave Canadien,,,,,,,,,,
5,Mexico,Mexique,cathédrale de Mexico,Mexi—,vic—-,clzicote,,,,,,,,,
6,Oak!,TR,Oak,,,,,,,,,,,,
7,ge—,plongé—,long—,Coulon ®.—ÆÈÊ,Congrès,,,,,,,,,,
8,s’,princi—,priva—,Incas,C’,Vaincue,Es,,,,,,,,
9,la posses—,la plu&fantasüque,déses—,mée,posses—,,,,,,,,,,
10,Boni,Bonjour,2A,bon—-,abomina—,,,,,,,,,,
11,imper—,aﬂidé,impla—,aper—,,,,,,,,,,,
12,conﬁnée,consola—,Enﬁn,Enﬁn l’,condui—,conﬁer,vo,rencon—,,,,,,,
13,Cher,pa.—,cher,eû‘aroucher,Yankees,cher—,lâcherez,,,,,,,,
14,a—,trouvez—-,Turcs,mouve—,trou—,,,,,,,,,,
15,s‘amollir,Mouss ;x,AMOUR,bulﬁes,,,,,,,,,,,
16,Arrivés,arrière—,arrivè—,,,,,,,,,,,,
17,avan—,gigan—,palan—,Ou,circonstan—,Opatas,échan—,plan—,aban—,,,,,,
18,Luz,Coq,dana Luz,Doua Luz,Québec,Luz l’,,,,,,,,,
19,résis—,insis—,saisis—,,,,,,,,,,,,
20,hâte-toi,Hâte—toi,Hâtez,tOi,,,,,,,,,,,
21,N_ul,capi—,"capi—
taine",Certain,plaine,MG,G3PITAINE,,,,,,,,
22,assour—,four—,assezlourd,tète,tour—,sour—,,,,,,,,,
23,"étran—
ger",étran—,"dan—
gers","ven—
ger",,,,,,,,,,,
24,"atta—

DE","Ÿ

DE",atta—,,,,,,,,,,,,
25,répu—,Répondez,Iltliitlï'h.,Bermudez,cendero,dépo—,la ronde,"se—
conde",répondrez,,,,,,
26,mala,Guadalaæw*a,Guaymas,Ala,l‘2,Guadeloupe,,,,,,,,,
27,no—,grigno—,physiono—,,,,,,,,,,,,
28,Slt LES TRAPPEURS,"fran—

302 LES TRAPPEUBS","TRAPPEURS

—- Ooak!","TRAPPEUHS

—-—",rappel—,peut—,"TRAPPEUBS

Dés","TRAPPEUBS

—",trappes,Élevée,"TRAPPEUHS

—",TRAPPEUBS,"Pé-
rou aux grappes rouges",,
